CaseId,PacketId,SourceId,DestinationId,ApplicationBytes,Dscp,GeneratedSeconds,BeforeOutcome,AfterOutcome,BeforeLatencySeconds,AfterLatencySeconds,BothDeliveredLatencyDeltaSeconds,BeforeDropReason,AfterDropReason
offered_load_x1_seed130,16,3,1,64,0,303.0,delivered,delivered,2.48349266658511,2.48349266658511,0.0,,
offered_load_x2_seed128,1,2,1,64,0,240.0,delivered,delivered,1.55395266666685,1.55395266666685,0.0,,
offered_load_x2_seed128,2,3,1,64,0,240.0,delivered,delivered,2.90149266666776,2.90149266666776,0.0,,
offered_load_x2_seed128,3,2,1,64,0,244.5,delivered,delivered,2.37949266666936,2.37949266666936,0.0,,
offered_load_x2_seed128,4,3,1,64,0,244.5,delivered,delivered,0.286492666668522,0.286492666668522,0.0,,
offered_load_x2_seed128,5,2,1,64,0,249.0,delivered,delivered,0.284492666670332,0.284492666670332,0.0,,
offered_load_x2_seed128,6,3,1,64,0,249.0,delivered,delivered,2.41649266667119,2.41649266667119,0.0,,
offered_load_x2_seed128,7,2,1,64,0,253.5,delivered,delivered,0.243492666672125,0.243492666672125,0.0,,
offered_load_x2_seed128,8,3,1,64,0,253.5,delivered,delivered,2.46649266667302,2.46649266667302,0.0,,
offered_load_x2_seed128,9,2,1,64,0,258.0,delivered,delivered,2.42549266666549,2.42549266666549,0.0,,
offered_load_x2_seed128,10,3,1,64,0,258.0,delivered,delivered,0.202492666669457,0.202492666669457,0.0,,
offered_load_x2_seed128,11,2,1,64,0,262.5,delivered,delivered,2.50149266665733,2.50149266665733,0.0,,
offered_load_x2_seed128,12,3,1,64,0,262.5,delivered,delivered,0.25249266666134,0.25249266666134,0.0,,
offered_load_x2_seed128,13,2,1,64,0,267.0,delivered,delivered,0.224492666653362,0.224492666653362,0.0,,
offered_load_x2_seed128,14,3,1,64,0,267.0,delivered,delivered,2.4474926666494,2.4474926666494,0.0,,
offered_load_x2_seed128,15,2,1,64,0,271.5,delivered,delivered,0.274492666645244,0.274492666645244,0.0,,
offered_load_x2_seed128,16,3,1,64,0,271.5,delivered,delivered,2.47149266664132,2.47149266664132,0.0,,
offered_load_x2_seed128,17,2,1,64,0,276.0,delivered,delivered,0.337492666637104,0.337492666637104,0.0,,
offered_load_x2_seed128,18,3,1,64,0,276.0,delivered,delivered,0.207492666637336,0.207492666637336,0.0,,
offered_load_x2_seed128,19,2,1,64,0,280.5,delivered,delivered,0.166492666629381,0.166492666629381,0.0,,
offered_load_x2_seed128,20,3,1,64,0,280.5,delivered,delivered,2.38949266662542,2.38949266662542,0.0,,
offered_load_x2_seed128,21,2,1,64,0,285.0,delivered,delivered,0.372492666620985,0.372492666620985,0.0,,
offered_load_x2_seed128,22,3,1,64,0,285.0,delivered,delivered,0.242492666621217,0.242492666621217,0.0,,
offered_load_x2_seed128,23,2,1,64,0,289.5,delivered,delivered,2.39849266660934,2.39849266660934,0.0,,
offered_load_x2_seed128,24,3,1,64,0,289.5,delivered,delivered,0.188492666613286,0.188492666613286,0.0,,
offered_load_x2_seed128,25,2,1,64,0,294.0,delivered,delivered,0.264492666605122,0.264492666605122,0.0,,
offered_load_x2_seed128,26,3,1,64,0,294.0,delivered,delivered,2.4614926666012,2.4614926666012,0.0,,
offered_load_x2_seed128,27,2,1,64,0,298.5,delivered,delivered,2.31649266659343,2.31649266659343,0.0,,
offered_load_x2_seed128,28,3,1,64,0,298.5,delivered,delivered,0.21049266659719,0.21049266659719,0.0,,
offered_load_x2_seed128,29,2,1,64,0,303.0,delivered,delivered,2.47049266658513,2.47049266658513,0.0,,
offered_load_x2_seed128,30,3,1,64,0,303.0,delivered,delivered,0.156492666589259,0.156492666589259,0.0,,
offered_load_x2_seed129,1,2,1,64,0,240.0,delivered,delivered,2.68049266666767,2.68049266666767,0.0,,
offered_load_x2_seed129,2,3,1,64,0,240.0,delivered,delivered,1.54095266666684,1.54095266666684,0.0,,
offered_load_x2_seed129,3,2,1,64,0,244.5,delivered,delivered,2.41849266666938,2.41849266666938,0.0,,
offered_load_x2_seed129,4,3,1,64,0,244.5,delivered,delivered,0.18249266666848,0.18249266666848,0.0,,
offered_load_x2_seed129,5,2,1,64,0,249.0,delivered,delivered,2.35149266667116,2.35149266667116,0.0,,
offered_load_x2_seed129,6,3,1,64,0,249.0,delivered,delivered,0.193492666670295,0.193492666670295,0.0,,
offered_load_x2_seed129,7,2,1,64,0,253.5,delivered,delivered,0.20449266667211,0.20449266667211,0.0,,
offered_load_x2_seed129,8,3,1,64,0,253.5,delivered,delivered,0.347492666672167,0.347492666672167,0.0,,
offered_load_x2_seed129,9,2,1,64,0,258.0,delivered,delivered,2.39949266666554,2.39949266666554,0.0,,
offered_load_x2_seed129,10,3,1,64,0,258.0,delivered,delivered,0.18949266666948,0.18949266666948,0.0,,
offered_load_x2_seed129,11,2,1,64,0,262.5,delivered,delivered,0.161492666661502,0.161492666661502,0.0,,
offered_load_x2_seed129,12,3,1,64,0,262.5,delivered,delivered,2.43649266665744,2.43649266665744,0.0,,
offered_load_x2_seed129,13,2,1,64,0,267.0,delivered,delivered,0.289492666653246,0.289492666653246,0.0,,
