case,node,generated,offered,admitted,delivered,releases,blocked,pending,resend_queue,ack_queue,data_queue,nwk_waiting,nsdp4,nsdp5,draws_consumed,draws_unused
ok,1,0,0,0,96,0,0,0,0,0,0,0,0,0,227,797
ok,4,48,287,48,0,48,239,0,0,0,0,0,0,0,38,986
ok,5,48,93,48,0,96,45,0,0,0,0,0,0,0,108,916
