seed,node,source,local_at_node,nwk_enqueued,nwk_submitted,nwk_released,nwk_pending_at_stop,nwk_waiting_first_submit_at_stop,hop_admitted,hop_sent_callbacks,hop_retry_requests,hop_acks,hop_dacks,hop_failed,hop_dack_expired,hop_pending_at_stop,dack_pending_at_stop,nwk_custody_app_seconds,nwk_pre_first_submit_app_seconds,nwk_completed_custody_app_seconds,nwk_censored_custody_elapsed_app_seconds,nwk_completed_first_submit_wait_app_seconds,nwk_censored_first_submit_elapsed_app_seconds,hop_capacity_app_seconds,hop_completed_capacity_app_seconds,hop_censored_capacity_elapsed_app_seconds,dack_hold_app_seconds,mean_nwk_custody_traffic_window,mean_nwk_pre_first_submit_traffic_window,mean_hop_capacity_traffic_window,mean_dack_capacity_traffic_window,observed_nwk_custody_seconds_at_or_above_16,first_sent_right_censored_count,capacity_released_without_observed_first_sent_count
128,2,2,True,551,536,535,16,15,536,694,161,143,381,11,381,1,0,91191.43186366266,89641.38312003703,89906.79186366266,1284.6400000000003,88494.22312003703,1147.1600000000008,9590.04875420968,9588.2030478976,1.8457063120804378,8040.0000105840545,15.99849681818643,15.72655844211176,1.6824646937209964,1.4105263176463254,5693.895761059455,0,0
128,2,7,False,687,672,672,15,15,672,907,239,30,634,8,631,3,3,122767.44882970967,120888.0392123264,121938.78405989306,828.6647698165998,120059.37444250981,828.6647698165998,15414.285754015194,15388.410635051174,25.875118964019748,13534.876136631932,21.538148917492926,21.20842793198709,2.704260658599157,2.3745396730933215,5311.958576712618,0,0
128,2,8,False,561,547,547,14,14,547,726,182,126,412,9,409,3,3,97427.28810560066,95902.17877573812,96628.3625204385,798.925585162161,95103.25319057597,798.925585162161,10029.624460327288,10014.454341391047,15.170118936240215,8504.51513046475,17.092506685193097,16.824943644866337,1.75958323865391,1.492020198327149,3871.421882486622,0,0
128,7,7,True,748,732,732,16,16,732,873,141,95,627,10,625,2,2,91188.24314336211,90120.45652031392,90042.0831433621,1146.1600000000008,88974.29652031392,1146.1600000000008,13745.355055523956,13703.704640463397,41.65041506055968,12677.56843247577,15.9979373935723,15.810606407072617,2.4114657992147293,2.224134812715047,5691.506068935336,0,0
128,8,7,False,722,707,707,15,15,707,962,258,77,610,20,607,3,3,117954.80931986921,116403.70496460375,116954.92150649842,999.8878133707904,115403.81715123296,999.8878133707904,14542.965486091045,14477.011372266625,65.95411382442035,12991.86113082559,20.693826196468283,20.42170262536908,2.5513974537001833,2.2792738826009806,5309.618208412605,0,0
128,8,8,True,588,572,572,16,16,572,748,177,244,317,11,316,1,1,91191.01968916508,89945.75637444355,90129.51968916508,1061.5,88884.25637444355,1061.5,7912.44502815426,7904.8993235276,7.545704626660154,6667.181713432726,15.998424506871068,15.779957258674306,1.388148250553379,1.1696810023566186,5693.570170688192,0,0
129,2,2,True,616,600,600,16,16,600,806,206,188,401,11,396,5,5,91190.00694976622,89482.20691514717,90412.38694976622,777.6199999999999,88704.58691514717,777.6199999999999,10135.292577457865,10021.713045897466,113.57953156039912,8427.492542838812,15.998246833292319,15.698632792131082,1.7781215048171692,1.4785074636559319,5692.8362127215805,0,0
129,2,7,False,774,758,758,16,16,758,1001,246,53,691,14,688,3,3,125564.34738540146,123545.26453275693,125093.74643093042,470.6009544710387,123074.6635782859,470.6009544710387,16702.259990859846,16638.696871923607,63.563118936240244,14683.177138215331,22.028832874631835,21.674607812764375,2.930221051028043,2.5759959891605844,5240.974413955872,0,0
129,2,8,False,498,478,477,21,20,478,650,174,155,310,12,309,2,1,80447.91549729202,78988.53533759741,79458.10561954879,989.8098777432397,78104.7616445086,883.7736930887995,8134.0758746460615,8112.788462021901,21.287412624160424,6674.6957149514465,14.113669385489828,13.857637778525861,1.4270308552010633,1.170999248237096,3118.3356751106844,0,0
129,7,7,True,838,822,822,16,16,822,1008,186,84,726,12,723,3,3,91187.47187830892,89916.21984531116,90680.17187830893,507.2999999999993,89408.91984531116,507.2999999999993,16219.954175753348,16164.245053162509,55.70912259083889,14948.70214275558,15.997802083913845,15.7747754114581,2.8456059957462014,2.6225793232904526,5690.5678980694265,0,0
