seed,node,source,start_s,end_s,source_attempts,source_admitted,source_blocked,source_delivered_events,nwk_enqueued,nwk_submitted,nwk_released,hop_admitted,hop_sent_callbacks,hop_retry_requests,hop_acks,hop_dacks,hop_dack_expired,hop_failed,mean_nwk_custody,mean_nwk_pre_first_submit,mean_hop_capacity,mean_dack_hold
129,2,7,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
129,2,7,300.0,600.0,15000,114,14886,0,70,51,51,51,65,15,16,35,33,0,18.06432300353735,17.129826344555763,3.3717047044879926,2.437208045506403
129,2,7,600.0,900.0,15000,53,14947,34,46,47,47,47,56,9,0,44,42,3,18.659314713371657,18.247480991454474,3.421018434923624,3.009184713006444
129,2,7,900.0,1200.0,15000,53,14947,42,42,32,31,32,42,11,0,30,32,1,24.719788548283542,24.441043844999594,2.2764366637961566,1.997691960512208
129,2,7,1200.0,1500.0,15000,57,14943,26,32,28,27,28,32,6,0,26,27,1,30.8829084780374,30.73287710716093,1.9743723521512,1.8243409812747335
129,2,7,1500.0,1800.0,15000,55,14945,26,41,44,46,44,59,13,0,46,41,0,33.588126926402,33.2943116420016,3.38809039432433,3.094275109923934
129,2,7,1800.0,2100.0,15000,42,14958,49,31,44,43,44,66,22,0,43,46,0,18.35324450159707,17.970828820927736,3.614358621252529,3.231942940583195
129,2,7,2100.0,2400.0,15000,42,14958,39,40,39,40,39,46,7,0,40,40,0,16.433270438240005,16.217946133077135,3.098664308866872,2.8833400037040002
129,2,7,2400.0,2700.0,15000,23,14977,28,43,42,41,42,51,10,7,33,34,1,17.16069895154367,16.883667582056198,2.5597723514104063,2.282740981922937
129,2,7,2700.0,3000.0,15000,15,14985,36,56,52,53,52,72,19,9,40,38,4,19.67322576248467,19.196155372049535,3.0957351030715397,2.6186647126364067
129,2,7,3000.0,3300.0,15000,46,14954,38,44,42,42,42,59,17,0,41,45,1,23.747647212499665,23.429104864793263,3.5391529336382064,3.220610585931801
129,2,7,3300.0,3600.0,15000,41,14959,33,38,36,36,36,52,16,3,32,30,1,23.487844313430337,23.201868631464603,2.680480393861338,2.3945047118956064
129,2,7,3600.0,3900.0,15000,30,14970,23,34,36,36,36,47,11,0,36,34,0,29.247682830053066,28.9481261698684,2.696798039117336,2.3972413789326676
129,2,7,3900.0,4200.0,15000,32,14968,45,31,39,39,39,53,14,1,38,39,0,17.828540586498924,17.538100592240134,2.924464309978054,2.6340243157192678
129,2,7,4200.0,4500.0,15000,46,14954,29,37,42,42,42,53,12,5,37,33,0,17.491183882578014,17.136377222763734,2.8801294144386067,2.5253227546243275
129,2,7,4500.0,4800.0,15000,47,14953,21,48,29,29,29,41,12,0,28,31,1,25.54895028382327,25.33138793407967,2.4287719556044522,2.2112096058608555
129,2,7,4800.0,5100.0,15000,42,14958,38,38,47,46,47,65,19,4,42,43,0,27.97260174652428,27.538326065484544,3.601193330462717,3.166917649422982
129,2,7,5100.0,5400.0,15000,32,14968,45,37,42,43,42,56,13,0,42,40,1,18.859207216003938,18.433950556837885,3.233684705320987,2.8084280461549347
129,2,7,5400.0,5700.0,15000,29,14971,26,23,21,21,21,23,2,0,21,24,0,20.18749137777227,20.099778047957738,1.5494829350272055,1.4617696052126696
129,2,7,5700.0,6000.0,15000,39,14961,30,43,45,45,45,63,18,8,37,36,0,16.64177384532373,16.046390518750194,3.339889017799269,2.7445056912257315
129,2,8,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
129,2,8,300.0,600.0,15000,86,14914,5,67,53,51,53,70,17,16,34,30,1,16.825710178311024,15.905446456301227,3.0756898096893153,2.1554260876795195
129,2,8,600.0,900.0,15000,39,14961,22,39,38,39,38,47,12,0,38,41,1,17.51723453193564,17.21755120554668,3.119092933175551,2.8194096067865897
129,2,8,900.0,1200.0,15000,29,14971,36,29,27,28,27,39,11,0,28,29,0,16.276085255616213,16.02049094850855,2.2140919552341836,1.9584976481265173
129,2,8,1200.0,1500.0,15000,15,14985,28,15,16,16,16,22,6,0,16,16,0,16.75036822644787,16.6277715627444,1.322596665185065,1.2000000014815972
129,2,8,1500.0,1800.0,15000,10,14990,17,10,19,19,19,24,5,11,8,8,0,10.846984751864134,10.744978088068068,0.6353399978701995,0.5333333340741334
129,2,8,1800.0,2100.0,15000,9,14991,17,9,13,13,13,14,1,13,0,0,0,5.670141597035466,5.591191599257868,0.07894999777759798,0.0
129,2,8,2100.0,2400.0,15000,6,14994,12,6,4,4,4,4,0,4,0,0,0,2.210200941520267,2.190650942261065,0.019549999259202196,0.0
129,2,8,2400.0,2700.0,15000,10,14990,3,9,11,11,11,16,5,11,0,0,0,4.029122972819734,3.9355129743013366,0.09360999851839703,0.0
