case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm,nwk_waiting,nwk_custody,nsdp4,nsdp5,dack_holds
local,47,440000000,blocked,5,1,5,17,0,0,0,3,0,0,0,1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,48,451501028,ingress_before,1,5,5,1,1,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,128,33,0,0,0,0,0
local,49,451501028,deliver,1,5,5,1,0,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
local,50,451501028,ingress_after,1,5,5,1,1,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,128,33,0,0,0,0,0
local,51,460000000,offer,5,1,5,17,0,0,0,1,0,0,0,0,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,52,460000000,blocked,5,1,5,17,0,0,0,1,0,0,0,0,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,53,480000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,54,480000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,55,500000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,56,500000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,57,520000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,58,520000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,59,540000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,60,540000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,61,560000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,62,560000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,63,580000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,64,580000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,65,600000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,66,600000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,67,620000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,68,620000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,69,640000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,70,640000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,71,660000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,72,660000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,73,680000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,74,680000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,75,700000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,76,700000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,77,720000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,78,720000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,79,740000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,80,740000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,81,760000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,82,760000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,83,776501028,tx_start,1,5,0,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,84,780000000,offer,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,85,780000000,blocked,5,1,5,17,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,16,0,0,15,16,0,16,0
local,86,798582028,ingress_before,5,1,0,0,1,1,0,1,0,0,0,-1,9,1,1,1,0,1,16,128,33,15,16,0,16,0
local,87,798582028,release,5,1,5,0,0,0,0,1,0,0,0,-1,9,1,0,0,0,1,16,0,0,15,15,0,15,0
local,88,798582028,ingress_after,5,1,0,0,1,1,0,1,0,0,0,-1,9,1,0,0,0,0,16,128,33,15,15,0,15,0
local,89,800000000,offer,5,1,5,17,0,0,0,1,0,1,0,-1,9,1,1,1,0,1,16,0,0,14,15,0,15,0
local,90,800000000,admit,5,1,5,17,0,0,0,1,0,1,0,-1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,91,815501028,tx_start,1,5,0,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,92,820000000,offer,5,1,5,18,0,0,0,1,0,1,1,8,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,93,820000000,blocked,5,1,5,18,0,0,0,1,0,1,1,8,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,94,837582028,ingress_before,5,1,0,0,1,1,0,1,0,1,1,7,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,95,837582028,ingress_after,5,1,0,0,1,1,0,1,0,1,1,7,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,96,840000000,offer,5,1,5,18,0,0,0,1,0,1,1,7,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,97,840000000,blocked,5,1,5,18,0,0,0,1,0,1,1,7,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,98,854501028,tx_start,1,5,0,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,99,860000000,offer,5,1,5,18,0,0,0,1,0,1,1,5,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,100,860000000,blocked,5,1,5,18,0,0,0,1,0,1,1,5,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,101,876582028,ingress_before,5,1,0,0,1,1,0,1,0,1,1,4,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,102,876582028,ingress_after,5,1,0,0,1,1,0,1,0,1,1,4,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,103,880000000,offer,5,1,5,18,0,0,0,1,0,1,1,4,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,104,880000000,blocked,5,1,5,18,0,0,0,1,0,1,1,4,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,105,893501028,tx_start,1,5,0,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,106,900000000,offer,5,1,5,18,0,0,0,1,0,1,1,2,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,107,900000000,blocked,5,1,5,18,0,0,0,1,0,1,1,2,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,108,915582028,ingress_before,5,1,0,0,1,1,0,1,0,1,1,1,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,109,915582028,ingress_after,5,1,0,0,1,1,0,1,0,1,1,1,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,110,920000000,offer,5,1,5,18,0,0,0,1,0,1,1,1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,111,920000000,blocked,5,1,5,18,0,0,0,1,0,1,1,1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,112,932501028,tx_start,1,5,0,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,113,936000028,tx_start,5,1,5,2,2,0,0,3,0,1,0,1,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,114,940000000,offer,5,1,5,18,0,0,0,3,0,0,0,1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,115,940000000,blocked,5,1,5,18,0,0,0,3,0,0,0,1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,116,954582028,ingress_before,5,1,0,0,1,1,0,3,0,0,0,1,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,117,954582028,ingress_after,5,1,0,0,1,1,0,3,0,0,0,1,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,118,958501028,ingress_before,1,5,5,2,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,119,958501028,deliver,1,5,5,2,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
local,120,958501028,ingress_after,1,5,5,2,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,121,960000000,offer,5,1,5,18,0,0,0,1,0,0,0,1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,122,960000000,blocked,5,1,5,18,0,0,0,1,0,0,0,1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,123,971501028,tx_start,1,5,0,0,2,3,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,124,980000000,offer,5,1,5,18,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,125,980000000,blocked,5,1,5,18,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,17,0,0,15,16,0,16,0
local,126,993582028,ingress_before,5,1,0,0,2,3,0,1,0,0,0,-1,9,1,1,1,0,1,17,128,33,15,16,0,16,0
local,127,993582028,release,5,1,5,0,0,0,0,1,0,0,0,-1,9,1,0,0,0,1,17,0,0,15,15,0,15,0
local,128,993582028,ingress_after,5,1,0,0,2,3,0,1,0,0,0,-1,9,1,0,0,0,0,17,128,33,15,15,0,15,0
local,129,1000000000,offer,5,1,5,18,0,0,0,1,0,1,0,-1,9,1,1,1,0,1,17,0,0,14,15,0,15,0
local,130,1000000000,admit,5,1,5,18,0,0,0,1,0,1,0,-1,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,131,1010501028,tx_start,1,5,0,0,2,3,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,132,1020000000,offer,5,1,5,19,0,0,0,1,0,1,1,8,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,133,1020000000,blocked,5,1,5,19,0,0,0,1,0,1,1,8,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,134,1032582028,ingress_before,5,1,0,0,2,3,0,1,0,1,1,7,9,1,1,1,0,1,18,128,33,15,16,0,16,0
local,135,1032582028,ingress_after,5,1,0,0,2,3,0,1,0,1,1,7,9,1,1,1,0,1,18,128,33,15,16,0,16,0
local,136,1040000000,offer,5,1,5,19,0,0,0,1,0,1,1,7,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,137,1040000000,blocked,5,1,5,19,0,0,0,1,0,1,1,7,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,138,1049501028,tx_start,1,5,0,0,2,3,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,139,1060000000,offer,5,1,5,19,0,0,0,1,0,1,1,5,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,140,1060000000,blocked,5,1,5,19,0,0,0,1,0,1,1,5,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,141,1071582028,ingress_before,5,1,0,0,2,3,0,1,0,1,1,4,9,1,1,1,0,1,18,128,33,15,16,0,16,0
local,142,1071582028,ingress_after,5,1,0,0,2,3,0,1,0,1,1,4,9,1,1,1,0,1,18,128,33,15,16,0,16,0
local,143,1080000000,offer,5,1,5,19,0,0,0,1,0,1,1,3,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,144,1080000000,blocked,5,1,5,19,0,0,0,1,0,1,1,3,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,145,1088501028,tx_start,1,5,0,0,2,3,0,3,1,0,0,1,1,1,0,0,0,0,0,128,33,0,0,0,0,0
local,146,1100000000,offer,5,1,5,19,0,0,0,1,0,1,1,2,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,147,1100000000,blocked,5,1,5,19,0,0,0,1,0,1,1,2,9,1,1,1,0,1,18,0,0,15,16,0,16,0
local,148,1110582028,ingress_before,5,1,0,0,2,3,0,1,0,1,1,1,9,1,1,1,0,1,18,128,33,15,16,0,16,0
