event,count
app_send,5
hop_admission,9
hop_completion,9
hop_feedback,8
link_disable,1
link_enable,1
mac_state,6105
manual_discovery,9
nwk_admission,32
nwk_delivery,4
nwk_enqueue,9
nwk_forward,9
nwk_nsdp_release,9
post_phy_eligibility_drop,64
reservation_advertise,713
reservation_holdoff,48
reservation_prepare,713
reservation_tick,12817
route_change,125
rx_accept,843
rx_drop,583
statistic_sample,1883
tx_start,713
