app_sequence,generated_s,outcome,delivered_s,latency_s,delivery_count,no_ack_completion_count,no_ack_nodes,no_ack_times_s
1,450,undelivered_retry_exhaustion_observed,,,0,1,3,459.32500002799998
2,486,delivered,590.82841266699995,104.82841266699995,1,0,,
3,522,delivered,592.965012667,70.965012667,1,0,,
4,558,delivered,593.86201266700004,35.862012667000045,1,0,,
5,594,delivered,600.27941266699997,6.279412666999974,1,0,,
