app_sequence,generated_s,outcome,delivered_s,latency_s,delivery_count,no_ack_completion_count,no_ack_nodes,no_ack_times_s
1,450,undelivered_retry_exhaustion_observed,,,0,1,3,458.93500002799999
2,486,undelivered_retry_exhaustion_observed,,,0,1,3,494.75000002799999
3,522,undelivered_retry_exhaustion_observed,,,0,1,3,530.877000028
4,558,delivered,560.97187266699996,2.971872666999957,1,0,,
5,594,delivered,594.69861266700002,0.6986126670000203,1,0,,
