app_sequence,generated_s,outcome,delivered_s,latency_s,delivery_count,no_ack_completion_count,no_ack_nodes,no_ack_times_s
1,450,undelivered_retry_exhaustion_observed,,,0,1,3,458.49300002799998
2,486,undelivered_retry_exhaustion_observed,,,0,1,3,494.69800002800002
3,522,undelivered_retry_exhaustion_observed,,,0,1,3,531.68300002800004
4,558,delivered,588.03421266700002,30.03421266700002,1,0,,
5,594,delivered,597.07301266699994,3.0730126669999436,1,0,,
