time_s,node,nwk_queue,nsdp_3_1,hop_pending_data,hop_resend_queue,mac_queue,mac_ack_queue,selected_route_1,selected_route_cost,active_peer_1,active_peer_2,active_peer_3,inactive_neighbor_drops,post_phy_eligibility_drops,app_deliveries,link_failure_callbacks
130,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
130,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
130,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
135,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
135,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
135,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
140,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
140,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
140,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
145,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
145,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
145,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
150,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
150,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
150,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
155,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
155,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
155,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
160,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
160,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
160,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
165,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
165,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
165,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
170,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
170,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
170,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
175,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
175,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
175,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
180,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
