case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
ab,61,300000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ab,62,300000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ab,63,300000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ab,64,300000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ab,65,320000000,offer,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ab,66,320000000,blocked,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ab,67,320000000,offer,3,1,3,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
ab,68,320000000,blocked,3,1,3,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
ab,69,340000000,offer,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ab,70,340000000,blocked,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ab,71,340000000,offer,3,1,3,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
ab,72,340000000,blocked,3,1,3,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
ab,73,351000000,tx_start,2,1,2,1,1,0,0,3,0,1,0,7,3,7,1,1,0,1,1,128,33
ab,74,360000000,offer,2,1,2,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
ab,75,360000000,blocked,2,1,2,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
ab,76,360000000,offer,3,1,3,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
ab,77,360000000,blocked,3,1,3,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
ab,78,373501000,ingress_before,1,2,2,1,1,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,128,33
ab,79,373501000,ingress_after,1,2,2,1,1,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,128,33
ab,80,380000000,offer,2,1,2,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
ab,81,380000000,blocked,2,1,2,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
ab,82,380000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ab,83,380000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ab,84,400000000,offer,2,1,2,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
ab,85,400000000,blocked,2,1,2,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
ab,86,400000000,offer,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ab,87,400000000,blocked,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ab,88,420000000,offer,2,1,2,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
ab,89,420000000,blocked,2,1,2,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
ab,90,420000000,offer,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ab,91,420000000,blocked,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ab,92,429000000,tx_start,3,1,3,1,1,0,0,3,0,1,0,1,9,1,1,1,0,1,1,128,33
ab,93,440000000,offer,2,1,2,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
ab,94,440000000,blocked,2,1,2,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
ab,95,440000000,offer,3,1,3,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
ab,96,440000000,blocked,3,1,3,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
ab,97,451501000,ingress_before,1,3,3,1,1,0,0,1,1,0,1,1,-1,-1,0,0,0,0,0,128,33
ab,98,451501000,ingress_after,1,3,3,1,1,0,0,1,2,0,1,1,-1,-1,0,0,0,0,0,128,33
ab,99,460000000,offer,2,1,2,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
ab,100,460000000,blocked,2,1,2,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
ab,101,460000000,offer,3,1,3,2,0,0,0,1,0,0,0,0,9,1,1,1,0,1,1,0,0
ab,102,460000000,blocked,3,1,3,2,0,0,0,1,0,0,0,0,9,1,1,1,0,1,1,0,0
ab,103,480000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,104,480000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,105,480000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
