case,node,admitted,delivered,releases,wakes,blocked,pending,resend_queue,ack_queue,data_queue,draws_consumed,draws_unused
slow,1,0,8,0,0,0,0,0,0,0,9,119
slow,2,4,0,4,8,92,0,0,0,0,8,120
slow,3,4,0,4,8,92,0,0,0,0,8,120
