case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
slow,55,260000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,56,260000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,57,280000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,58,280000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,59,280000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,60,280000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,61,300000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,62,300000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,63,300000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,64,300000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,65,320000000,offer,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
slow,66,320000000,blocked,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
slow,67,320000000,offer,3,1,3,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
slow,68,320000000,blocked,3,1,3,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
slow,69,340000000,offer,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
slow,70,340000000,blocked,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
slow,71,340000000,offer,3,1,3,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
slow,72,340000000,blocked,3,1,3,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
slow,73,351000000,tx_start,2,1,2,1,1,0,0,3,0,1,0,7,3,7,1,1,0,1,1,128,33
slow,74,360000000,offer,2,1,2,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
slow,75,360000000,blocked,2,1,2,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
slow,76,360000000,offer,3,1,3,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
slow,77,360000000,blocked,3,1,3,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
slow,78,373501000,ingress_before,1,2,2,1,1,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,128,33
slow,79,373501000,ingress_after,1,2,2,1,1,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,128,33
slow,80,380000000,offer,2,1,2,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
slow,81,380000000,blocked,2,1,2,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
slow,82,380000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,83,380000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,84,400000000,offer,2,1,2,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
slow,85,400000000,blocked,2,1,2,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
slow,86,400000000,offer,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
slow,87,400000000,blocked,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
