case,node,ordinal,time_ns,min,max,draw,resolved,purpose
ok,1,83,7265961028,0,31,1,1,advertise
ok,1,84,7304961028,0,31,1,1,advertise
ok,1,85,7343961028,0,31,1,1,advertise
ok,5,35,8008000028,0,31,9,9,prepare
ok,5,36,8138000028,0,31,1,1,advertise
ok,1,86,8162961028,0,31,1,1,prepare
ok,1,87,8188961028,0,31,1,1,advertise
ok,1,88,8227961028,0,31,1,1,advertise
ok,1,89,8266961028,0,31,1,1,advertise
ok,1,90,8305961028,0,31,1,1,advertise
ok,1,91,8344961028,0,31,1,1,advertise
ok,5,37,9009000028,0,31,9,9,prepare
ok,5,38,9139000028,0,31,1,1,advertise
ok,1,92,9163961028,0,31,1,1,prepare
ok,1,93,9189961028,0,31,1,1,advertise
ok,1,94,9228961028,0,31,1,1,advertise
ok,1,95,9267961028,0,31,1,1,advertise
ok,1,96,9306961028,0,31,1,1,advertise
ok,1,97,9345961028,0,31,1,1,advertise
ok,5,39,10010000028,0,31,9,9,prepare
ok,5,40,10140000028,0,31,1,1,advertise
ok,1,98,10164961028,0,31,1,1,prepare
ok,1,99,10190961028,0,31,1,1,advertise
ok,1,100,10229961028,0,31,1,1,advertise
ok,1,101,10268961028,0,31,1,1,advertise
ok,1,102,10307961028,0,31,1,1,advertise
ok,1,103,10346961028,0,31,1,1,advertise
ok,5,41,11011000028,0,31,9,9,prepare
ok,5,42,11141000028,0,31,1,1,advertise
ok,1,104,11165961028,0,31,1,1,prepare
ok,1,105,11191961028,0,31,1,1,advertise
ok,1,106,11230961028,0,31,1,1,advertise
ok,1,107,11269961028,0,31,1,1,advertise
ok,1,108,11308961028,0,31,1,1,advertise
ok,1,109,11347961028,0,31,1,1,advertise
ok,5,43,12012000028,0,31,9,9,prepare
ok,5,44,12142000028,0,31,1,1,advertise
ok,1,110,12166961028,0,31,1,1,prepare
ok,1,111,12192961028,0,31,1,1,advertise
ok,1,112,12231961028,0,31,1,1,advertise
ok,1,113,12270961028,0,31,1,1,advertise
ok,1,114,12309961028,0,31,1,1,advertise
ok,1,115,12348961028,0,31,1,1,advertise
ok,5,45,13013000028,0,31,9,9,prepare
ok,5,46,13143000028,0,31,1,1,advertise
ok,1,116,13167961028,0,31,1,1,prepare
ok,1,117,13193961028,0,31,1,1,advertise
ok,1,118,13232961028,0,31,1,1,advertise
ok,1,119,13271961028,0,31,1,1,advertise
ok,1,120,13310961028,0,31,1,1,advertise
ok,1,121,13349961028,0,31,1,1,advertise
ok,5,47,14001000028,0,31,9,9,prepare
ok,5,48,14131000028,0,31,1,1,advertise
ok,1,122,14155961028,0,31,1,1,prepare
ok,1,123,14181961028,0,31,1,1,advertise
ok,1,124,14220961028,0,31,1,1,advertise
ok,1,125,14259961028,0,31,1,1,advertise
ok,1,126,14298961028,0,31,1,1,advertise
ok,1,127,14337961028,0,31,1,1,advertise
ok,5,49,15002000028,0,31,9,9,prepare
ok,5,50,15132000028,0,31,1,1,advertise
ok,1,128,15156961028,0,31,1,1,prepare
ok,1,129,15182961028,0,31,1,1,advertise
ok,1,130,15221961028,0,31,1,1,advertise
ok,1,131,15260961028,0,31,1,1,advertise
ok,1,132,15299961028,0,31,1,1,advertise
ok,1,133,15338961028,0,31,1,1,advertise
ok,5,51,16003000028,0,31,9,9,prepare
ok,5,52,16133000028,0,31,1,1,advertise
ok,1,134,16157961028,0,31,1,1,prepare
ok,1,135,16183961028,0,31,1,1,advertise
ok,1,136,16222961028,0,31,1,1,advertise
ok,1,137,16261961028,0,31,1,1,advertise
ok,1,138,16300961028,0,31,1,1,advertise
ok,1,139,16339961028,0,31,1,1,advertise
ok,5,53,17004000028,0,31,9,9,prepare
ok,5,54,17134000028,0,31,1,1,advertise
ok,1,140,17158961028,0,31,1,1,prepare
ok,1,141,17184961028,0,31,1,1,advertise
ok,1,142,17223961028,0,31,1,1,advertise
ok,1,143,17262961028,0,31,1,1,advertise
ok,1,144,17301961028,0,31,1,1,advertise
ok,1,145,17340961028,0,31,1,1,advertise
ok,5,55,18005000028,0,31,9,9,prepare
ok,5,56,18135000028,0,31,1,1,advertise
ok,1,146,18159961028,0,31,1,1,prepare
ok,1,147,18185961028,0,31,1,1,advertise
ok,1,148,18224961028,0,31,1,1,advertise
ok,1,149,18263961028,0,31,1,1,advertise
ok,1,150,18302961028,0,31,1,1,advertise
ok,1,151,18341961028,0,31,1,1,advertise
ok,5,57,19006000028,0,31,9,9,prepare
ok,5,58,19136000028,0,31,1,1,advertise
ok,1,152,19160961028,0,31,1,1,prepare
ok,1,153,19186961028,0,31,1,1,advertise
ok,1,154,19225961028,0,31,1,1,advertise
ok,1,155,19264961028,0,31,1,1,advertise
ok,1,156,19303961028,0,31,1,1,advertise
ok,1,157,19342961028,0,31,1,1,advertise
ok,5,59,20007000028,0,31,9,9,prepare
ok,5,60,20137000028,0,31,1,1,advertise
ok,1,158,20161961028,0,31,1,1,prepare
ok,1,159,20187961028,0,31,1,1,advertise
ok,1,160,20226961028,0,31,1,1,advertise
ok,1,161,20265961028,0,31,1,1,advertise
ok,1,162,20304961028,0,31,1,1,advertise
ok,1,163,20343961028,0,31,1,1,advertise
ok,5,61,21008000028,0,31,9,9,prepare
ok,5,62,21138000028,0,31,1,1,advertise
ok,1,164,21162961028,0,31,1,1,prepare
ok,1,165,21188961028,0,31,1,1,advertise
ok,1,166,21227961028,0,31,1,1,advertise
ok,1,167,21266961028,0,31,1,1,advertise
ok,1,168,21305961028,0,31,1,1,advertise
ok,1,169,21344961028,0,31,1,1,advertise
