case,node,supplied,consumed,unused
ok,1,1024,227,797
ok,4,1024,38,986
ok,5,1024,108,916
data,1,1024,218,806
data,4,1024,38,986
data,5,1024,98,926
ack,1,1024,238,786
ack,4,1024,37,987
ack,5,1024,112,912
out,1,1024,215,809
out,4,1024,38,986
out,5,1024,108,916
