case,node,supplied,consumed,unused
ab,1,128,21,107
ab,2,128,7,121
ab,3,128,8,120
ba,1,128,21,107
ba,2,128,8,120
ba,3,128,7,121
slow,1,128,9,119
slow,2,128,8,120
slow,3,128,8,120
track,1,128,21,107
track,2,128,7,121
track,3,128,8,120
