seed,node,peer,source,destination,sequence,hop_sequence,completion_s,reason,resend_count,capacity_released,nsdp_released,event_index,unique_delivered_by_stop,first_delivery_s,delivery_after_hop_completion
130,8,2,7,1,1060,46,350.142295346,ack,0,1,1,68974,True,716.336811086,True
130,8,2,7,1,1048,48,350.649295346,dack,0,0,1,69392,True,718.455811086,True
130,8,2,7,1,1072,49,351.351295346,dack,0,0,1,69915,True,726.086811086,True
130,8,2,7,1,1053,50,351.780295346,dack,0,0,1,70246,True,725.735811086,True
130,8,2,7,1,1042,42,352.885295346,dack,2,0,1,71107,True,736.473811086,True
130,8,2,8,1,1239,53,353.704295346,dack,0,0,1,71736,True,721.523811086,True
130,8,2,8,1,1221,52,353.704295346,dack,0,0,1,71738,True,747.458811086,True
130,7,8,7,1,1105,37,354.263292442,ack,0,1,1,72241,False,,
130,7,8,7,1,1119,38,354.835292442,ack,0,1,1,72664,True,808.831811086,True
130,4,5,4,1,998,24,356.105000028,no_ack,2,1,1,73732,False,,
130,8,2,8,1,1256,55,356.967295346,dack,0,0,1,74629,True,757.182811086,True
130,8,2,8,1,1253,54,356.967295346,dack,0,0,1,74631,True,741.465811086,True
130,8,2,8,1,1206,51,357.539295346,dack,2,0,1,75362,True,740.425811086,True
130,7,8,7,1,1136,41,358.267292442,ack,0,1,1,76136,True,823.924811086,True
130,4,5,4,1,1004,25,358.475292444,ack,0,1,1,76324,True,402.594811086,True
130,4,5,4,1,1010,26,359.905292444,ack,0,1,1,77705,True,387.982811086,True
130,7,8,7,1,1172,45,360.776292442,ack,0,1,1,78812,False,,
130,7,8,7,1,1141,42,360.776292442,ack,0,1,1,78815,True,825.744811086,True
130,7,8,7,1,1125,40,361.595292442,ack,1,1,1,79853,False,,
130,7,8,7,1,1120,39,361.595292442,ack,2,1,1,79856,True,836.612811086,True
130,7,8,7,1,1173,46,362.245292442,ack,0,1,1,80377,True,836.989811086,True
130,7,8,7,1,1187,47,362.791292442,ack,0,1,1,80891,False,,
130,7,8,7,1,1193,48,363.649292442,ack,0,1,1,81572,True,845.803811086,True
130,7,8,7,1,1150,43,363.649292442,ack,1,1,1,81575,True,844.685811086,True
130,4,5,4,1,1016,27,364.143292444,ack,0,1,1,82047,True,389.022811086,True
130,7,8,7,1,1317,50,364.338292442,dack,0,0,1,82324,True,891.927811086,True
130,7,8,7,1,1297,49,364.338292442,ack,0,1,1,82326,False,,
130,4,5,4,1,1022,28,364.572292444,ack,0,1,1,82536,False,,
130,7,8,7,1,1155,44,365.040292442,dack,2,0,1,83066,True,890.887811086,True
130,4,5,4,1,1028,29,365.534292444,ack,0,1,1,83435,True,394.677811086,True
130,7,8,7,1,1329,51,365.703292442,dack,0,0,1,83709,True,892.226811086,True
130,7,8,7,1,1332,52,366.210292442,dack,0,0,1,84177,True,902.769811086,True
130,7,8,7,1,1452,53,366.821292442,dack,0,0,1,84674,True,903.185811086,True
130,4,5,4,1,1034,30,367.783292444,ack,1,1,1,85518,True,396.172811086,True
130,7,8,7,1,1509,56,368.004292442,dack,0,0,1,85831,True,924.518811086,True
130,7,8,7,1,1485,55,368.004292442,dack,0,0,1,85833,True,906.071811086,True
130,7,8,7,1,1456,54,368.004292442,dack,0,0,1,85835,True,922.789811086,True
130,4,5,4,1,1046,32,368.693292444,ack,0,1,1,86368,True,398.460811086,True
130,4,5,4,1,1040,31,368.693292444,ack,1,1,1,86371,True,396.770811086,True
130,8,2,8,1,1263,56,370.773295346,dack,0,0,1,88091,True,761.628811086,True
130,8,2,8,1,1267,57,371.254295346,dack,0,0,1,88533,True,762.928811086,True
130,8,2,8,1,1274,58,372.138295346,dack,0,0,1,89386,True,761.199811086,True
130,8,2,8,1,1279,59,372.840295346,dack,0,0,1,90083,True,765.632811086,True
130,4,5,4,1,1061,34,374.881292444,ack,2,1,1,91878,True,403.985811086,True
130,8,2,8,1,1290,61,374.920295346,dack,0,0,1,92018,True,767.465811086,True
130,8,2,8,1,1294,62,377.351295346,dack,0,0,1,94267,True,769.194811086,True
130,8,2,7,1,1078,63,377.923295346,dack,0,0,1,94808,False,,
130,8,2,8,1,1289,60,379.236295346,dack,2,0,1,95816,True,773.250811086,True
130,7,8,7,1,1510,57,385.008292442,dack,0,0,1,100727,True,934.190811086,True
130,7,8,7,1,1518,59,386.854292442,dack,0,0,1,102573,True,942.614811086,True
130,7,8,7,1,1534,62,389.064292442,dack,0,0,1,104484,True,934.463811086,True
130,7,8,7,1,1527,61,389.064292442,dack,0,0,1,104486,True,932.435811086,True
130,7,8,7,1,1535,63,389.740292442,dack,0,0,1,105135,True,935.984811086,True
130,7,8,7,1,1517,58,390.156292442,dack,1,0,1,105542,True,1001.842811086,True
130,7,8,7,1,1523,60,391.118292442,dack,1,0,1,106723,False,,
130,8,2,7,1,1092,66,394.017295346,dack,0,0,1,109625,True,787.459811086,True
130,8,2,7,1,1103,64,394.017295346,dack,0,0,1,109627,True,792.958811086,True
130,8,2,8,1,1350,68,394.862295346,dack,0,0,1,110455,True,802.643811086,True
130,8,2,7,1,1081,65,396.188295346,dack,1,0,1,111624,True,794.492811086,True
130,8,2,8,1,1342,67,396.708295346,dack,1,0,1,112079,True,793.829811086,True
130,8,2,8,1,1446,72,398.983295346,dack,0,0,1,113959,True,792.360811086,True
130,8,2,8,1,1379,70,398.983295346,dack,0,0,1,113961,True,792.113811086,True
130,8,2,8,1,1351,69,398.983295346,dack,1,0,1,113963,True,806.673811086,True
130,8,2,8,1,1445,71,400.764295346,dack,1,0,1,115460,False,,
130,7,8,7,1,1544,65,406.133292442,dack,0,0,1,120310,True,1060.407811086,True
130,7,8,7,1,1543,64,406.133292442,dack,0,0,1,120312,True,1054.778811086,True
130,7,8,7,1,1551,66,407.706292442,dack,0,0,1,121793,True,1076.891811086,True
130,7,8,7,1,1556,67,409.578292442,dack,0,0,1,123600,True,1066.478811086,True
130,7,8,7,1,1564,69,411.008292442,dack,0,0,1,125114,False,,
130,7,8,7,1,1572,70,411.593292442,dack,0,0,1,125886,True,1060.667811086,True
130,7,8,7,1,1573,71,412.152292442,dack,0,0,1,126491,True,1071.197811086,True
130,7,8,7,1,1558,68,412.685292442,dack,1,0,1,127027,False,,
130,8,2,8,1,1471,75,415.649295346,dack,0,0,1,129515,True,808.038811086,True
130,8,2,7,1,1119,74,415.649295346,dack,0,0,1,129517,True,808.831811086,True
130,8,2,8,1,1472,76,416.975295346,dack,0,0,1,130955,True,810.729811086,True
130,8,2,8,1,1478,77,418.093295346,dack,0,0,1,131884,False,,
130,8,2,7,1,1105,73,418.093295346,dack,1,0,1,131886,False,,
130,8,2,7,1,1136,78,419.926295346,dack,0,0,1,133612,True,823.924811086,True
130,8,2,7,1,1141,79,420.524295346,dack,0,0,1,134146,True,825.744811086,True
130,8,2,7,1,1172,80,420.927295346,dack,0,0,1,134565,False,,
130,8,2,7,1,1120,82,422.292295346,dack,0,0,1,135960,True,836.612811086,True
130,8,2,7,1,1125,81,422.292295346,dack,0,0,1,135962,False,,
130,7,8,7,1,1695,74,428.207292442,dack,0,0,1,141482,True,1078.516811086,True
130,7,8,7,1,1684,73,428.207292442,dack,0,0,1,141484,True,1075.058811086,True
130,7,8,7,1,1575,72,429.728292442,dack,1,0,1,142901,True,1089.332811086,True
130,7,8,7,1,1709,75,430.326292442,dack,0,0,1,143579,False,,
130,7,8,7,1,1710,76,431.743292442,dack,0,0,1,145003,True,1086.004811086,True
130,7,8,7,1,1714,77,432.666292442,dack,0,0,1,146080,True,1079.400811086,True
130,7,8,7,1,1727,79,433.511292442,dack,0,0,1,146912,True,1091.243811086,True
130,7,8,7,1,1719,78,435.383292442,dack,1,0,1,148575,True,1084.184811086,True
130,8,2,7,1,1173,83,437.086295346,ack,0,1,1,150311,True,836.989811086,True
130,8,2,7,1,1187,84,437.580295346,dack,0,0,1,150829,False,,
130,8,2,7,1,1193,86,438.230295346,dack,0,0,1,151421,True,845.803811086,True
130,8,2,7,1,1150,85,438.230295346,dack,0,0,1,151423,True,844.685811086,True
130,8,2,7,1,1297,87,439.010295346,dack,0,0,1,152273,False,,
130,8,2,7,1,1317,88,439.946295346,dack,0,0,1,153262,True,891.927811086,True
130,8,2,7,1,1155,89,440.570295346,dack,0,0,1,153762,True,890.887811086,True
130,8,2,7,1,1329,90,440.973295346,dack,0,0,1,154194,True,892.226811086,True
130,8,2,7,1,1332,91,442.000295346,dack,0,0,1,154969,True,902.769811086,True
130,8,2,7,1,1456,93,445.965295346,dack,1,0,1,158420,True,922.789811086,True
130,8,2,7,1,1452,92,448.006295346,dack,2,0,1,160270,True,903.185811086,True
130,7,8,7,1,1819,81,449.501292442,dack,0,0,1,161887,True,1123.106811086,True
130,7,8,7,1,1818,80,449.501292442,dack,0,0,1,161889,True,1110.496811086,True
130,7,8,7,1,1826,82,450.268292442,dack,0,0,1,162947,True,1102.631811086,True
130,7,8,7,1,1838,83,450.970292442,dack,0,0,1,163688,True,1100.421811086,True
130,7,8,7,1,1848,84,454.623292442,dack,1,0,1,167493,True,1102.956811086,True
130,7,8,7,1,1853,85,455.273292442,dack,1,0,1,168168,True,1111.913811086,True
130,7,8,7,1,1862,87,456.677292442,dack,0,0,1,169347,False,,
130,7,8,7,1,1858,86,456.677292442,dack,1,0,1,169349,True,1125.589811086,True
130,8,2,7,1,1485,94,459.004295346,dack,0,0,1,171462,True,906.071811086,True
130,8,2,7,1,1509,95,459.784295346,dack,0,0,1,172166,True,924.518811086,True
130,8,2,8,1,1590,96,460.252295346,dack,0,0,1,172685,True,908.918811086,True
130,8,2,8,1,1594,97,460.902295346,dack,0,0,1,173372,True,909.945811086,True
130,8,2,8,1,1599,98,461.539295346,dack,0,0,1,173961,False,,
130,8,2,8,1,1621,100,462.449295346,dack,0,0,1,175001,True,917.290811086,True
130,8,2,8,1,1607,99,462.449295346,dack,0,0,1,175003,True,917.810811086,True
130,8,2,8,1,1636,101,463.333295346,dack,0,0,1,176114,True,918.369811086,True
130,8,2,8,1,1643,102,467.389295346,dack,0,0,1,179625,True,916.692811086,True
130,7,8,7,1,1967,90,471.068292442,dack,0,0,1,183016,True,1132.869811086,True
130,7,8,7,1,1958,89,471.068292442,dack,0,0,1,183018,False,,
130,7,8,7,1,1971,91,471.809292442,dack,0,0,1,183788,True,1133.558811086,True
130,7,8,7,1,1957,88,472.407292442,dack,1,0,1,184490,True,1135.326811086,True
130,7,8,7,1,1993,94,477.022292442,dack,0,0,1,189318,True,1137.887811086,True
130,7,8,7,1,2008,95,477.620292442,dack,0,0,1,190096,True,1140.110811086,True
130,7,8,7,1,1988,93,478.530292442,dack,1,0,1,191010,True,1140.773811086,True
130,7,8,7,1,1982,92,478.530292442,dack,1,0,1,191012,True,1139.161811086,True
130,4,5,4,1,1196,55,479.726292444,ack,1,1,1,191985,True,545.360811086,True
130,8,2,7,1,1527,105,481.156295346,dack,0,0,1,193961,True,932.435811086,True
130,8,2,7,1,1510,103,481.156295346,dack,0,0,1,193963,True,934.190811086,True
130,8,2,7,1,1535,107,482.027295346,dack,0,0,1,194834,True,935.984811086,True
130,8,2,7,1,1534,106,482.027295346,dack,0,0,1,194836,True,934.463811086,True
130,8,2,7,1,1518,104,483.093295346,dack,1,0,1,195948,True,942.614811086,True
130,4,5,4,1,1223,57,483.795292444,ack,1,1,1,196507,True,558.945811086,True
130,4,5,4,1,1244,58,484.328292444,ack,0,1,1,197104,True,559.543811086,True
130,8,2,8,1,1746,110,484.718295346,dack,0,0,1,197635,True,952.533811086,True
130,8,2,7,1,1523,109,484.718295346,dack,0,0,1,197637,False,,
130,4,5,4,1,1284,59,484.978292444,ack,0,1,1,197920,True,606.681811086,True
130,8,2,8,1,1758,111,488.540295346,dack,0,0,1,201570,False,,
130,8,2,7,1,1517,108,488.540295346,dack,2,0,1,201572,True,1001.842811086,True
130,4,5,4,1,1293,60,488.709292444,ack,1,1,1,201782,True,565.016811086,True
130,8,2,8,1,1770,112,489.359295346,dack,0,0,1,202554,True,1053.244811086,True
130,7,8,7,1,2091,97,492.401292442,dack,0,0,1,205955,False,,
130,7,8,7,1,2090,96,492.401292442,dack,0,0,1,205957,True,1150.627811086,True
130,7,8,7,1,2095,98,492.960292442,dack,0,0,1,206714,False,,
130,7,8,7,1,2101,99,493.493292442,dack,0,0,1,207373,True,1172.428811086,True
130,7,8,7,1,2127,100,497.731292442,dack,0,0,1,211541,True,1165.239811086,True
130,7,8,7,1,2142,103,499.317292442,dack,0,0,1,213144,True,1157.738811086,True
130,7,8,7,1,2132,101,500.669292442,dack,1,0,1,214401,True,1176.367811086,True
130,8,2,7,1,1543,116,503.776295346,dack,0,0,1,217563,True,1054.778811086,True
130,8,2,8,1,1773,114,503.776295346,dack,0,0,1,217565,False,,
130,8,2,8,1,1772,113,503.776295346,dack,0,0,1,217567,True,1044.794811086,True
130,7,8,7,1,2141,102,503.997292442,dack,2,0,1,217981,True,1181.333811086,True
130,4,5,4,1,1400,66,504.985292444,ack,0,1,1,219041,True,617.614811086,True
130,8,2,7,1,1551,118,506.246295346,dack,0,0,1,220581,True,1076.891811086,True
130,8,2,7,1,1544,117,506.246295346,dack,0,0,1,220583,True,1060.407811086,True
130,4,5,4,1,1464,68,507.338292444,ack,0,1,1,221678,True,615.339811086,True
130,8,2,7,1,1556,119,507.364295346,dack,0,0,1,221907,True,1066.478811086,True
130,4,5,4,1,1487,69,508.027292444,ack,0,1,1,222432,True,619.200811086,True
130,4,5,4,1,1498,72,510.003292444,ack,0,1,1,224383,True,624.192811086,True
130,4,5,4,1,1541,76,511.576292444,ack,0,1,1,225856,True,641.703811086,True
130,7,8,7,1,2223,104,513.162292442,dack,0,0,1,227664,False,,
130,8,2,8,1,1784,115,513.392000028,no_ack,2,1,1,227946,False,,
130,7,8,7,1,2224,105,513.981292442,dack,0,0,1,228784,True,1230.850811086,True
130,8,2,7,1,1572,121,516.295295346,dack,2,0,1,231240,True,1060.667811086,True
130,7,8,7,1,2234,106,516.464292442,dack,1,0,1,231533,True,1232.033811086,True
130,7,8,7,1,2237,107,517.023292442,dack,1,0,1,232094,True,1236.076811086,True
130,7,8,7,1,2265,108,518.882292442,dack,0,0,1,234209,True,1235.140811086,True
130,8,2,7,1,1564,120,519.086000028,no_ack,2,1,1,234492,False,,
130,7,8,7,1,2271,109,520.377292442,dack,0,0,1,235610,False,,
130,7,8,7,1,2278,110,521.157292442,dack,0,0,1,236549,True,1252.703811086,True
130,8,2,7,1,1573,122,525.096295346,dack,0,0,1,240547,True,1071.197811086,True
130,4,5,4,1,1554,78,526.214292444,ack,2,1,1,241381,True,641.248811086,True
130,4,5,4,1,1547,77,526.214292444,ack,2,1,1,241384,True,634.774811086,True
130,8,2,8,1,1896,126,527.332295346,dack,0,0,1,242774,True,1080.284811086,True
130,8,2,8,1,1889,125,527.332295346,ack,0,1,1,242776,True,1073.316811086,True
130,8,2,7,1,1695,128,529.581295346,dack,0,0,1,244935,True,1078.516811086,True
130,8,2,7,1,1684,127,529.581295346,dack,0,0,1,244937,True,1075.058811086,True
130,4,5,4,1,1580,81,530.530292444,ack,1,1,1,245784,True,646.916811086,True
130,4,5,4,1,1579,80,530.530292444,ack,2,1,1,245787,True,642.093811086,True
130,4,5,4,1,1569,79,530.530292444,ack,2,1,1,245790,True,648.333811086,True
130,8,2,8,1,1880,124,530.920295346,dack,2,0,1,246514,True,1076.462811086,True
130,4,5,8,1,959,86,532.571292444,ack,0,1,1,248010,True,649.464811086,True
130,7,8,7,1,2279,111,533.741292442,dack,0,0,1,249409,True,1275.180811086,True
130,8,2,7,1,1558,123,534.101000028,no_ack,2,1,1,249848,False,,
130,4,5,8,1,965,88,534.144292444,ack,0,1,1,249954,True,650.530811086,True
130,7,8,7,1,2367,112,534.859292442,dack,0,0,1,250980,True,1274.413811086,True
130,7,8,7,1,2368,113,537.004292442,dack,0,0,1,253430,True,1274.751811086,True
130,8,2,7,1,1575,129,537.134295346,dack,2,0,1,253579,True,1089.332811086,True
130,4,5,4,1,1620,82,538.785292444,ack,2,1,1,255421,True,656.614811086,True
130,7,8,7,1,2376,115,539.409292442,dack,0,0,1,256214,True,1354.740811086,True
130,7,8,7,1,2373,114,540.072292442,dack,1,0,1,256902,True,1335.929811086,True
130,4,5,8,1,983,92,540.072292444,ack,0,1,1,256906,True,664.934811086,True
130,4,5,8,1,977,91,540.072292444,ack,0,1,1,256909,True,687.021811086,True
130,7,8,7,1,2412,117,542.022292442,dack,0,0,1,259358,False,,
130,7,8,7,1,2401,116,543.738292442,dack,1,0,1,261142,True,1287.179811086,True
130,7,8,7,1,2419,118,544.869292442,dack,0,0,1,262370,True,1336.540811086,True
