seed,node,source,destination,sequence,peer,time_s,reason,resend_count,event_index,enqueue_s,admission_s,admission_event_index,hop_admission_to_nsdp_release_completion_s,enqueue_to_nsdp_release_completion_s
130,4,4,1,956,5,302.562292444,ack,1,27157,300.0,300.000000028,24279,2.562292415999991,2.5622924439999792
130,4,4,1,962,5,317.447292444,ack,0,41243,300.02,302.562292472,27160,14.884999972000003,17.427292444000045
130,8,8,1,959,2,319.384295346,ack,0,42942,300.0,300.000000028,24300,19.384295318,19.384295345999988
130,8,8,1,965,2,322.348295346,ack,1,45048,300.02,319.384295374,42945,2.9639999720000105,22.328295346000004
130,4,4,1,968,5,322.556292444,ack,1,45256,300.04,317.447292472,41246,5.108999971999992,22.516292443999987
130,8,8,1,971,2,325.286295346,ack,1,47492,300.04,322.348295374,45051,2.937999972,25.246295345999954
130,4,4,1,974,5,326.170292444,ack,1,48180,300.06,322.556292472,45259,3.613999971999988,26.11029244399998
130,8,8,1,977,2,328.055295346,ack,1,49695,300.06,325.286295374,47495,2.7689999719999605,27.995295345999978
130,8,8,1,983,2,328.770295346,ack,0,50269,300.08,328.055295374,49698,0.7149999719999869,28.690295346000028
130,8,8,1,989,2,329.316295346,ack,0,50825,300.1,328.770295374,50272,0.5459999720000042,29.21629534599998
130,8,8,1,995,2,329.979295346,ack,0,51373,300.12,329.316295374,50828,0.6629999720000228,29.85929534600001
130,8,8,1,1001,2,330.655295346,ack,0,51935,300.14,329.979295374,51376,0.6759999719999996,30.515295346000016
130,8,8,1,1007,2,331.500295346,ack,0,52623,300.16,329.979295374,51383,1.52099997199997,31.340295345999948
130,4,4,1,980,5,332.098292444,ack,2,53185,300.08,326.170292472,48183,5.927999971999952,32.018292444
130,8,8,1,1019,2,332.631295346,ack,0,53701,300.2,331.500295374,52626,1.1309999719999837,32.43129534600001
130,8,8,1,1013,2,332.631295346,ack,0,53704,300.18,330.655295374,51938,1.975999972000011,32.451295345999995
130,4,4,1,986,5,332.995292444,ack,0,54068,300.1,332.098292472,53188,0.8969999719999464,32.89529244399995
130,8,8,1,1025,2,333.008295346,ack,0,54172,300.22,332.631295374,53707,0.37699997200002144,32.788295345999984
130,8,8,1,1037,2,339.911295346,ack,0,60633,300.26,332.631295374,53721,7.279999971999985,39.65129534599998
130,8,8,1,1049,2,341.159295346,ack,0,61649,300.3,339.911295374,60636,1.2479999720000023,40.85929534600001
