seed,node,source,start_s,end_s,mean_nsdp,nsdp_at_least16_seconds
130,4,2,300,600,24.80294431706666,262.1606651799999
130,4,2,600,900,19.171126410826663,265.51595762400007
130,4,2,900,1200,18.021039703813337,253.61291524800004
130,4,2,1200,1500,19.222613996000003,300.0
130,4,2,1500,1800,21.501696581626668,300.0
130,4,2,1800,2100,18.586814082133333,300.0
130,4,2,2100,2400,16.809386667666665,283.73477125599993
130,4,2,2400,2700,13.806655142613339,89.66843643600077
130,4,2,2700,3000,5.9919373292400016,0.0
130,4,2,3000,3300,17.281758811693333,233.959622804
130,4,2,3300,3600,18.66383302309333,271.5447712559999
130,4,2,3600,3900,9.663715961493336,1.5884788120001758
130,4,2,3900,4200,7.529534845240005,0.0
130,4,2,4200,4500,15.231533669080003,162.67166517999976
130,4,2,4500,4800,18.33975402357334,289.79687287199977
130,4,2,4800,5100,18.402927711333337,278.90595765200123
130,4,2,5100,5400,16.21716508361333,223.57058042799872
130,4,2,5400,5700,10.555817557626666,7.415292444000443
130,4,2,5700,6000,5.6705195775199995,0.0
130,4,4,300,600,15.990563552733335,299.3208960439998
130,4,4,600,900,15.999373647573332,299.82850938399986
130,4,4,900,1200,15.999364622293333,299.8288017999997
130,4,4,1200,1500,15.999466980906666,299.8400942720002
130,4,4,1500,1800,15.999795848973326,299.93875469199975
130,4,4,1800,2100,15.99963877332,299.90533955199976
130,4,4,2100,2400,15.999414622293335,299.832094244
130,4,4,2400,2700,15.999276980906664,299.8065093839996
130,4,4,2700,3000,15.99901242126667,299.7194339360003
130,4,4,3000,3300,15.998334118839999,299.57506587599937
130,4,4,3300,3600,15.998589244680007,299.6333111840004
130,4,4,3600,3900,15.998807860973335,299.6627734040003
130,4,4,3900,4200,15.998203553480007,299.5131887120024
130,4,4,4200,4500,15.998612987280007,299.609018852002
130,4,4,4500,4800,15.998379810693338,299.5654809880016
130,4,4,4800,5100,15.99842704318667,299.5629431799989
130,4,4,5100,5400,15.998541603386668,299.57618857200123
130,4,4,5400,5700,15.998380219306673,299.5886035720032
130,4,4,5700,6000,15.997830533546649,299.4204053999956
130,4,7,300,600,13.784650572840004,164.099186368
130,4,7,600,900,38.14318176017334,300.0
130,4,7,900,1200,46.96524449876,300.0
130,4,7,1200,1500,80.63320747869334,300.0
130,4,7,1500,1800,91.45837662046662,300.0
130,4,7,1800,2100,90.04878182354668,300.0
130,4,7,2100,2400,81.98564038371998,300.0
130,4,7,2400,2700,60.52984367723999,300.0
130,4,7,2700,3000,24.70732648446666,271.3659576240002
130,4,7,3000,3300,19.46578719117334,261.2439152480001
130,4,7,3300,3600,24.37163672109333,300.0
130,4,7,3600,3900,22.64109742845334,300.0
130,4,7,3900,4200,19.143806792266673,290.38743643600037
130,4,7,4200,4500,22.73806290797334,292.87847881200014
130,4,7,4500,4800,19.993223206066652,298.50747881200004
130,4,7,4800,5100,17.852568897733324,260.7263940599996
130,4,7,5100,5400,19.80017643758667,255.68928804000006
130,4,7,5400,5700,23.493186256893335,300.0
130,4,7,5700,6000,17.81987120160001,257.3469152760008
130,4,8,300,600,15.17586226950667,149.123186368
130,4,8,600,900,20.549339249600003,293.40718639599993
130,4,8,900,1200,15.395968249213329,162.46925006800018
130,4,8,1200,1500,16.3827639252,144.037186368
130,4,8,1500,1800,16.923415621866667,160.08300002800001
130,4,8,1800,2100,15.21569163766667,80.51162280400013
130,4,8,2100,2400,13.396549748133333,176.50829244399984
130,4,8,2400,2700,9.634717611840001,0.0
130,4,8,2700,3000,3.659294945333331,0.0
130,4,8,3000,3300,0.24938790921333445,0.0
130,4,8,3300,3600,3.966708460173333,0.0
130,4,8,3600,3900,2.2287377125600005,0.0
130,4,8,3900,4200,1.3417404800666661,0.0
130,4,8,4200,4500,0.0,0.0
130,4,8,4500,4800,0.0,0.0
130,4,8,4800,5100,0.0,0.0
130,4,8,5100,5400,2.99615199016,0.0
130,4,8,5400,5700,2.938970551146664,0.0
130,4,8,5700,6000,1.5117134045066631,0.0
130,8,7,300,600,31.01916632444,271.31267046199997
130,8,7,600,900,67.31579724692669,300.0
130,8,7,900,1200,84.32313627681337,300.0
130,8,7,1200,1500,97.39996277408672,300.0
130,8,7,1500,1800,108.36394205889333,300.0
130,8,7,1800,2100,137.86243617236667,300.0
130,8,7,2100,2400,173.82212375070668,300.0
130,8,7,2400,2700,226.40128419571332,300.0
130,8,7,2700,3000,289.9792792494201,300.0
130,8,7,3000,3300,315.8841528709868,300.0
130,8,7,3300,3600,309.3706526950865,300.0
130,8,7,3600,3900,305.14339857374665,300.0
130,8,7,3900,4200,318.0379443902933,300.0
130,8,7,4200,4500,333.86778067718,300.0
130,8,7,4500,4800,342.93721264624656,300.0
130,8,7,4800,5100,353.07445166157333,300.0
130,8,7,5100,5400,352.09432032566,300.0
130,8,7,5400,5700,336.40152008034005,300.0
130,8,7,5700,6000,323.3741656692201,300.0
130,8,8,300,600,15.989624526733332,299.10069990599953
130,8,8,600,900,15.998768929986666,299.6687929579997
130,8,8,900,1200,15.999432418453335,299.82972553600007
130,8,8,1200,1500,15.99957946499333,299.8738394979998
130,8,8,1500,1800,15.999738860380003,299.92436276800004
130,8,8,1800,2100,15.999827875893335,299.9483627680004
130,8,8,2100,2400,15.9996468915,299.89406744999997
130,8,8,2400,2700,16.0,300.0
130,8,8,2700,3000,16.0,300.0
130,8,8,3000,3300,15.999880224739996,299.9640674219986
130,8,8,3300,3600,15.999762573586668,299.92877207600077
130,8,8,3600,3900,15.999942953460002,299.98288603800074
130,8,8,3900,4200,16.0,300.0
130,8,8,4200,4500,16.0,300.0
130,8,8,4500,4800,16.0,300.0
130,8,8,4800,5100,16.0,300.0
130,8,8,5100,5400,15.999518480506664,299.87395345999903
130,8,8,5400,5700,15.999863937946666,299.95918138399975
130,8,8,5700,6000,16.0,300.0
130,4,shared_NWK_queue,300,600,66.8762404710133,297.92947884000006
130,4,shared_NWK_queue,600,900,91.75247749230677,300.0
130,4,shared_NWK_queue,900,1200,94.0282287811733,300.0
130,4,shared_NWK_queue,1200,1500,130.73122392844,300.0
130,4,shared_NWK_queue,1500,1800,144.52057483733336,300.0
130,4,shared_NWK_queue,1800,2100,137.66290607441329,300.0
130,4,shared_NWK_queue,2100,2400,126.78578492206663,300.0
130,4,shared_NWK_queue,2400,2700,98.08685512174662,300.0
130,4,shared_NWK_queue,2700,3000,48.77256622175998,300.0
130,4,shared_NWK_queue,3000,3300,50.41796599980002,300.0
130,4,shared_NWK_queue,3300,3600,60.79337720986667,300.0
130,4,shared_NWK_queue,3600,3900,48.783203596226706,300.0
130,4,shared_NWK_queue,3900,4200,41.80280973760002,300.0
130,4,shared_NWK_queue,4200,4500,52.15343752957333,300.0
130,4,shared_NWK_queue,4500,4800,52.09019110828001,300.0
130,4,shared_NWK_queue,4800,5100,49.37739649492,300.0
130,4,shared_NWK_queue,5100,5400,53.22351210470669,300.0
130,4,shared_NWK_queue,5400,5700,50.95038239486662,300.0
130,4,shared_NWK_queue,5700,6000,38.73037268418662,300.0
130,8,shared_NWK_queue,300,600,45.67063480862663,295.994482932
130,8,shared_NWK_queue,600,900,82.24842816268662,300.0
130,8,shared_NWK_queue,900,1200,99.51230439359334,300.0
130,8,shared_NWK_queue,1200,1500,112.67886558706664,300.0
130,8,shared_NWK_queue,1500,1800,123.87866290028673,300.0
130,8,shared_NWK_queue,1800,2100,153.4667573914866,300.0
130,8,shared_NWK_queue,2100,2400,189.4621326203266,300.0
130,8,shared_NWK_queue,2400,2700,242.2345251835599,300.0
130,8,shared_NWK_queue,2700,3000,305.85509690346674,300.0
130,8,shared_NWK_queue,3000,3300,331.36221075444,300.0
130,8,shared_NWK_queue,3300,3600,324.9109662662267,300.0
130,8,shared_NWK_queue,3600,3900,320.8044191874133,300.0
130,8,shared_NWK_queue,3900,4200,333.8309810644264,300.0
130,8,shared_NWK_queue,4200,4500,349.58893265352674,300.0
130,8,shared_NWK_queue,4500,4800,358.65433363717324,300.0
130,8,shared_NWK_queue,4800,5100,368.76427833523996,300.0
130,8,shared_NWK_queue,5100,5400,367.64607548664645,300.0
130,8,shared_NWK_queue,5400,5700,351.9628440313533,300.0
130,8,shared_NWK_queue,5700,6000,338.8759533326,300.0
