seed,source,start_s,end_s,admitted,unique_delivered,delivery_events,duplicate_events,delivery_mean_delay_s
130,2,0,300,0,0,0,0,
130,2,300,600,77,17,17,0,173.6468699095294
130,2,600,900,25,34,34,0,357.0181346154118
130,2,900,1200,18,22,23,1,510.08308381327276
130,2,1200,1500,16,12,12,0,620.7891444193334
130,2,1500,1800,11,8,8,0,752.617311086
130,2,1800,2100,13,14,14,0,846.3848825145715
130,2,2100,2400,8,8,8,0,885.5849360860001
130,2,2400,2700,11,16,16,0,906.0730610859999
130,2,2700,3000,16,15,15,0,779.0828777526666
130,2,3000,3300,48,23,23,0,547.0242458686088
130,2,3300,3600,32,36,36,0,354.9978944193333
130,2,3600,3900,20,30,31,1,394.5335777526667
130,2,3900,4200,20,15,15,0,434.0503444193334
130,2,4200,4500,40,26,26,0,419.4910803167692
130,2,4500,4800,45,33,33,0,345.67168987387885
130,2,4800,5100,45,36,36,0,341.74439441933345
130,2,5100,5400,34,38,38,0,329.6679163491579
130,2,5400,5700,20,24,25,1,377.3088944193334
130,2,5700,6000,14,15,15,0,425.0804110859999
130,3,0,300,0,0,0,0,
130,3,300,600,484,468,468,0,9.802676581273504
130,3,600,900,426,425,425,0,11.055302194647059
130,3,900,1200,425,428,428,0,11.157002002233646
130,3,1200,1500,453,450,450,0,10.29334585477777
130,3,1500,1800,446,446,446,0,10.599861888659188
130,3,1800,2100,456,457,457,0,10.207274160151
130,3,2100,2400,448,448,448,0,10.420890666285725
130,3,2400,2700,441,439,439,0,10.715092815041025
130,3,2700,3000,446,446,446,0,10.580592830363225
130,3,3000,3300,446,446,446,0,10.470503144264569
130,3,3300,3600,461,460,460,0,10.14406242482609
130,3,3600,3900,455,455,455,0,10.34542126381319
130,3,3900,4200,451,451,451,0,10.43001872001551
130,3,4200,4500,439,439,439,0,10.620400332125293
130,3,4500,4800,450,450,450,0,10.491110299222237
130,3,4800,5100,471,470,470,0,9.93715063019148
130,3,5100,5400,451,451,451,0,10.31128701269844
130,3,5400,5700,459,459,459,0,10.169527031248364
130,3,5700,6000,462,463,463,0,10.163008940930924
130,4,0,300,0,0,0,0,
130,4,300,600,49,18,18,0,110.2431999748889
130,4,600,900,16,27,27,0,280.06392219711114
130,4,900,1200,16,15,15,0,367.03807775266665
130,4,1200,1500,16,14,14,0,378.463311086
130,4,1500,1800,7,3,3,0,509.90414441933336
130,4,1800,2100,9,12,12,0,575.3959777526667
130,4,2100,2400,16,14,14,0,541.3589539431429
130,4,2400,2700,16,10,10,0,428.3143110860001
130,4,2700,3000,29,17,17,0,330.39228167423533
130,4,3000,3300,39,30,30,0,207.5440777526667
130,4,3300,3600,33,35,35,0,246.02743965742857
130,4,3600,3900,35,31,31,0,261.04048850535486
130,4,3900,4200,41,29,29,0,202.01729384462067
130,4,4200,4500,34,39,39,0,199.05163159882045
130,4,4500,4800,38,27,27,0,227.986699974889
130,4,4800,5100,41,34,34,0,227.40719343894122
130,4,5100,5400,34,34,34,0,219.77754638011757
130,4,5400,5700,32,36,36,0,238.36367219711104
130,4,5700,6000,48,30,30,0,199.82951108599997
130,5,0,300,0,0,0,0,
130,5,300,600,129,111,111,0,33.95616243735135
130,5,600,900,80,79,79,0,70.77870982017721
130,5,900,1200,96,92,92,0,53.26910456426087
130,5,1200,1500,131,131,131,0,39.463177498213746
130,5,1500,1800,144,143,143,0,32.80592297411189
130,5,1800,2100,86,86,86,0,58.77565992320928
130,5,2100,2400,101,101,101,0,43.64086059095052
130,5,2400,2700,92,91,91,0,56.110096800285696
130,5,2700,3000,64,64,64,0,80.49832671099998
130,5,3000,3300,49,48,48,0,86.56222775266663
130,5,3300,3600,44,42,42,0,119.258311086
130,5,3600,3900,42,43,43,0,108.24141573716275
130,5,3900,4200,83,81,81,0,60.145465406987626
130,5,4200,4500,69,67,67,0,75.90776630988053
130,5,4500,4800,46,49,49,0,93.70048455538776
130,5,4800,5100,48,45,45,0,98.5356777526667
130,5,5100,5400,47,48,48,0,105.27537358600001
130,5,5400,5700,57,55,55,0,92.80910199509094
130,5,5700,6000,59,57,57,0,78.10775845442106
130,7,0,300,0,0,0,0,
130,7,300,600,142,0,0,0,
130,7,600,900,103,33,33,0,457.88256866175755
130,7,900,1200,93,44,44,0,670.6736065405455
130,7,1200,1500,84,34,34,0,864.0741640271764
130,7,1500,1800,81,37,37,0,1031.8486489238378
130,7,1800,2100,82,50,50,0,1160.208651086
130,7,2100,2400,85,47,47,0,1273.2448961923828
130,7,2400,2700,86,60,60,0,1354.8818277526666
130,7,2700,3000,70,60,60,0,1397.1073277526666
130,7,3000,3300,56,42,43,1,1489.6190729907619
130,7,3300,3600,55,33,33,0,1622.4631444193333
130,7,3600,3900,57,49,49,0,1735.6081376166123
130,7,3900,4200,56,35,35,0,1818.3099539431428
130,7,4200,4500,56,48,48,0,1948.877456919333
130,7,4500,4800,56,34,34,0,2073.790722850706
130,7,4800,5100,56,42,42,0,2197.8194063240953
130,7,5100,5400,54,38,38,0,2296.761468980737
130,7,5400,5700,53,43,43,0,2366.6680203883257
130,7,5700,6000,56,42,42,0,2374.7667634669524
130,8,0,300,0,0,0,0,
130,8,300,600,69,0,0,0,
130,8,600,900,26,33,33,0,415.03093229812123
130,8,900,1200,16,19,19,0,613.4100216123159
130,8,1200,1500,13,9,9,0,798.8370333082222
130,8,1500,1800,9,6,6,0,987.5876444193333
130,8,1800,2100,8,9,9,0,1115.920588863778
130,8,2100,2400,8,9,9,0,1241.5631444193334
130,8,2400,2700,0,9,9,0,1299.986699974889
130,8,2700,3000,0,11,11,0,1329.8631747223635
130,8,3000,3300,7,1,1,0,1396.819811086
130,8,3300,3600,6,2,2,0,1605.429811086
130,8,3600,3900,3,8,8,0,1666.512186086
130,8,3900,4200,0,5,5,0,1771.3272110860003
130,8,4200,4500,0,0,0,0,
130,8,4500,4800,0,0,0,0,
130,8,4800,5100,0,0,0,0,
130,8,5100,5400,12,0,0,0,
130,8,5400,5700,4,8,8,0,2283.092186086
130,8,5700,6000,0,4,4,0,2301.918561086
