seed,time_s,event_index,node,destination,next_hop,cost,reason,detail
128,13.342691086,129,5,1,1,7450,neighbor admitted,num_hop=1;path=1
128,13.342691086,132,5,1,1,7450,ARL self UPDATE,num_hop=1;path=1
128,47.163072444,954,4,1,5,14900,candidate update,num_hop=2;path=5>1
128,62.328473632,1426,2,1,4,22350,candidate update,num_hop=3;path=4>5>1
128,71.185292444,1776,4,1,5,14900,source candidate replacement,num_hop=2;path=5>1
128,71.359093632,1793,2,1,4,22350,source candidate replacement,num_hop=3;path=4>5>1
128,78.627935346,2080,8,1,2,29800,candidate update,num_hop=4;path=2>4>5>1
128,86.728193632,2434,2,1,4,22350,source candidate replacement,num_hop=3;path=4>5>1
128,88.337375346,2546,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
128,92.238432442,2775,7,1,8,37250,candidate update,num_hop=5;path=8>2>4>5>1
128,102.234655346,3175,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
128,103.950892442,3224,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
128,117.440832442,3363,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
