seed,node,source,start_s,end_s,mean_nsdp,nsdp_at_least16_seconds
129,4,2,300,600,17.980082232773334,276.69533038799983
129,4,2,600,900,22.512439799839996,300.0
129,4,2,900,1200,21.340811299853332,300.0
129,4,2,1200,1500,15.238322077293333,211.36947884000006
129,4,2,1500,1800,13.555368668533335,82.325186368
129,4,2,1800,2100,26.220964038346672,300.0
129,4,2,2100,2400,27.902221694786665,300.0
129,4,2,2400,2700,14.556119437080003,127.83239408800046
129,4,2,2700,3000,19.575959941906657,285.9321439919995
129,4,2,3000,3300,17.891226567853323,290.1881440199995
129,4,2,3300,3600,16.74951464445333,261.26133041599996
129,4,2,3600,3900,17.981903952586663,216.11976685199988
129,4,2,3900,4200,20.869888165173343,293.02147881200017
129,4,2,4200,4500,17.090414391933326,213.4281016440009
129,4,2,4500,4800,16.20760552268,169.35187287199915
129,4,2,4800,5100,17.94838475948001,258.8339576240005
129,4,2,5100,5400,15.420043063093342,157.08743205999963
129,4,2,5400,5700,23.166695759333326,300.0
129,4,2,5700,6000,23.414692871133337,230.61329244399985
129,4,4,300,600,15.990689244586665,299.35160359999986
129,4,4,600,900,15.999327955626669,299.81109424400006
129,4,4,900,1200,15.999009339519999,299.7856320799998
129,4,4,1200,1500,15.999483647573333,299.8638018280001
129,4,4,1500,1800,15.998283961813334,299.6004338520004
129,4,4,1800,2100,15.99894770404,299.71214143600037
129,4,4,2100,2400,15.99930600646668,299.7918019400022
129,4,4,2400,2700,15.999234370519995,299.7703111559995
129,4,4,2700,3000,15.998986163493337,299.69584904800104
129,4,4,3000,3300,15.999321289240003,299.80409432800116
129,4,4,3300,3600,15.998637861066673,299.6147734320007
129,4,4,3600,3900,15.9988753458,299.68831126800023
129,4,4,3900,4200,15.99860257801333,299.59718851599973
129,4,4,4200,4500,15.99818688634666,299.5924339079975
129,4,4,4500,4800,15.998742987093328,299.6430187959986
129,4,4,4800,5100,15.999338521640007,299.8015564920024
129,4,4,5100,5400,15.99852632024001,299.62372629600304
129,4,4,5400,5700,15.999360314239988,299.820509383997
129,4,4,5700,6000,15.999297955626663,299.78938668799856
129,4,7,300,600,12.944038803626668,131.053186368
129,4,7,600,900,40.65991909438668,300.0
129,4,7,900,1200,45.77394187748002,300.0
129,4,7,1200,1500,39.70842007454669,300.0
129,4,7,1500,1800,23.398278513600008,280.8974364359999
129,4,7,1800,2100,32.08524297895999,300.0
129,4,7,2100,2400,31.653979957866675,300.0
129,4,7,2400,2700,23.746389786600016,300.0
129,4,7,2700,3000,27.123204210893327,298.07847881199996
129,4,7,3000,3300,23.944795705213334,290.65129244399986
129,4,7,3300,3600,16.769372906693334,219.728580428
129,4,7,3600,3900,25.88880739853334,282.5849576239998
129,4,7,3900,4200,23.870447261626655,290.3434788119994
129,4,7,4200,4500,18.69570944788,282.3144364359996
129,4,7,4500,4800,18.970374730213344,282.9254364360004
129,4,7,4800,5100,23.37999145227999,297.9094788120001
129,4,7,5100,5400,22.71597042278668,300.0
129,4,7,5400,5700,30.920371845586676,300.0
129,4,7,5700,6000,28.740233210319985,283.63225006799985
129,4,8,300,600,13.904766602599999,148.356186368
129,4,8,600,900,33.213426113640004,300.0
129,4,8,900,1200,33.40436295238668,300.0
129,4,8,1200,1500,20.535081330586667,234.4202924440001
