seed,source,start_s,end_s,admitted,unique_delivered,delivery_events,duplicate_events,delivery_mean_delay_s
129,2,0,300,0,0,0,0,
129,2,300,600,71,31,31,0,185.80787560212903
129,2,600,900,27,14,14,0,470.69466822885715
129,2,900,1200,19,17,17,0,554.1116934389412
129,2,1200,1500,13,12,12,0,589.4677277526666
129,2,1500,1800,36,24,24,0,642.4942694193334
129,2,1800,2100,39,26,26,0,452.84727262446154
129,2,2100,2400,34,35,35,0,411.9995253717143
129,2,2400,2700,24,34,34,0,458.4212816742353
129,2,2700,3000,32,17,17,0,462.08763461541173
129,2,3000,3300,27,31,31,0,428.87413366664526
129,2,3300,3600,38,31,31,0,400.20771431180646
129,2,3600,3900,44,28,28,0,351.2354539431429
129,2,3900,4200,35,27,27,0,381.29425553044445
129,2,4200,4500,39,36,36,0,404.3251444193333
129,2,4500,4800,31,35,35,0,369.3876968002858
129,2,4800,5100,23,27,27,0,407.7865147897036
129,2,5100,5400,31,17,17,0,483.57122285070596
129,2,5400,5700,29,20,20,0,464.54491108599996
129,2,5700,6000,15,18,18,0,565.0392555304444
129,3,0,300,0,0,0,0,
129,3,300,600,450,432,432,0,10.529873956629629
129,3,600,900,425,425,425,0,11.237092782882346
129,3,900,1200,456,457,457,0,10.38690873345514
129,3,1200,1500,465,464,464,0,10.095635663206899
129,3,1500,1800,455,456,456,0,10.202244480508769
129,3,1800,2100,462,463,463,0,10.230965744386605
129,3,2100,2400,456,454,454,0,10.205105433828194
129,3,2400,2700,460,461,461,0,10.206270116045564
129,3,2700,3000,460,460,460,0,10.130718946565224
129,3,3000,3300,430,429,429,0,11.052369848561765
129,3,3300,3600,424,425,425,0,11.15854925347057
129,3,3600,3900,457,456,456,0,10.245009831385946
129,3,3900,4200,462,462,462,0,10.114035349727287
129,3,4200,4500,445,446,446,0,10.71781480345742
129,3,4500,4800,445,444,444,0,10.498720239162163
129,3,4800,5100,448,447,447,0,10.499454609438507
129,3,5100,5400,474,474,474,0,9.754122422991552
129,3,5400,5700,440,440,440,0,10.647819440636374
129,3,5700,6000,443,443,443,0,10.610097016051906
129,4,0,300,0,0,0,0,
129,4,300,600,48,29,29,0,142.75019039634483
129,4,600,900,16,16,16,0,345.176936086
129,4,900,1200,16,14,14,0,415.01295394314286
129,4,1200,1500,16,4,4,0,407.32081108599994
129,4,1500,1800,32,31,31,0,343.79342398922574
129,4,1800,2100,29,22,22,0,258.82403835872725
129,4,2100,2400,19,19,19,0,302.9821268754737
129,4,2400,2700,27,21,21,0,318.80862060980957
129,4,2700,3000,26,21,21,0,270.05571584790476
129,4,3000,3300,19,23,23,0,273.02863717295656
129,4,3300,3600,36,31,31,0,239.17245624729034
129,4,3600,3900,33,27,27,0,212.1656629378518
129,4,3900,4200,33,19,19,0,256.34133740178953
129,4,4200,4500,36,31,32,1,273.73697237632257
129,4,4500,4800,32,32,32,0,243.4354985859999
129,4,4800,5100,21,24,24,0,260.4271027526668
129,4,5100,5400,30,22,22,0,301.34426563145456
129,4,5400,5700,16,27,27,0,267.59366293785183
129,4,5700,6000,16,13,13,0,426.2786572398459
129,5,0,300,0,0,0,0,
129,5,300,600,148,128,128,0,35.8055063985
129,5,600,900,99,97,97,0,43.785759539608236
129,5,900,1200,60,59,59,0,80.22662464532203
129,5,1200,1500,93,94,94,0,56.75780044770213
129,5,1500,1800,41,39,39,0,117.11696493215383
129,5,1800,2100,41,41,41,0,103.94785986648778
129,5,2100,2400,91,86,86,0,60.199706434837196
129,5,2400,2700,40,41,41,0,104.90146962258535
129,5,2700,3000,82,80,80,0,65.97737358600001
129,5,3000,3300,86,88,88,0,59.04241335872728
129,5,3300,3600,63,63,63,0,77.2792237844127
129,5,3600,3900,68,68,68,0,67.80103167423528
129,5,3900,4200,40,39,39,0,104.18617006035889
129,5,4200,4500,39,39,39,0,133.8064521116409
129,5,4500,4800,52,53,53,0,101.87856580298113
129,5,4800,5100,74,73,73,0,61.34219464764382
129,5,5100,5400,48,48,48,0,111.92764441933333
129,5,5400,5700,125,123,123,0,42.02075417543087
129,5,5700,6000,110,112,112,0,36.613953943142896
129,7,0,300,0,0,0,0,
129,7,300,600,107,0,0,0,
129,7,600,900,70,28,29,1,477.8289896574286
129,7,900,1200,44,35,35,0,686.804211086
129,7,1200,1500,43,28,29,1,758.0270968002858
129,7,1500,1800,40,49,51,2,893.5321580247755
129,7,1800,2100,40,39,39,0,922.530452111641
129,7,2100,2400,42,35,35,0,865.3554396574285
129,7,2400,2700,43,41,42,1,866.4453720616098
129,7,2700,3000,41,34,34,0,805.6896640271764
129,7,3000,3300,43,34,34,0,799.672105203647
129,7,3300,3600,40,37,37,0,783.4786759508648
129,7,3600,3900,40,31,31,0,786.2277788279355
129,7,3900,4200,40,39,39,0,733.1200674962563
129,7,4200,4500,43,39,39,0,687.4167854449745
129,7,4500,4800,43,37,37,0,634.0169191941081
129,7,4800,5100,43,18,18,0,633.5983666415555
129,7,5100,5400,37,36,36,0,726.9674221971112
129,7,5400,5700,35,27,27,0,756.4235888637779
129,7,5700,6000,36,17,17,0,861.9592228507059
129,8,0,300,0,0,0,0,
129,8,300,600,84,8,8,0,263.374936086
129,8,600,900,37,22,22,0,489.07576563145454
129,8,900,1200,24,25,25,0,637.408011086
129,8,1200,1500,13,19,19,0,682.848916349158
129,8,1500,1800,14,33,33,0,822.6621747223636
129,8,1800,2100,16,16,16,0,812.011311086
129,8,2100,2400,23,16,16,0,757.862498586
129,8,2400,2700,17,12,12,0,754.7036444193333
129,8,2700,3000,17,17,17,0,699.5411640271765
129,8,3000,3300,16,17,17,0,697.6488110859999
129,8,3300,3600,18,18,18,0,679.4004777526667
129,8,3600,3900,28,11,11,0,686.2972656314546
129,8,3900,4200,30,20,20,0,615.3498610859999
129,8,4200,4500,38,25,25,0,564.484291086
129,8,4500,4800,35,25,25,0,507.958211086
129,8,4800,5100,28,22,22,0,524.4351292678181
129,8,5100,5400,24,24,24,0,624.3655610860002
129,8,5400,5700,34,26,26,0,639.7916187783077
129,8,5700,6000,32,12,12,0,753.360061086
