seed,node,source,start_s,end_s,metric,value
129,2,7,300,600,hop_feedback:ack,16
129,2,7,300,600,hop_feedback:dack,51
129,2,7,3000,3300,hop_feedback:ack,7
129,2,7,3000,3300,hop_feedback:dack,20
129,2,7,3300,3600,hop_feedback:ack,15
129,2,7,3300,3600,hop_feedback:dack,36
129,2,7,3600,3900,hop_feedback:ack,13
129,2,7,3600,3900,hop_feedback:dack,37
129,2,7,3900,4200,hop_feedback:ack,10
129,2,7,3900,4200,hop_feedback:dack,27
129,2,7,4200,4500,hop_feedback:ack,9
129,2,7,4200,4500,hop_feedback:dack,33
129,2,7,4500,4800,hop_feedback:ack,3
129,2,7,4500,4800,hop_feedback:dack,40
129,2,7,4800,5100,hop_feedback:dack,39
129,2,7,5100,5400,hop_feedback:dack,35
129,2,7,5400,5700,hop_feedback:ack,4
129,2,7,5400,5700,hop_feedback:dack,40
129,2,7,5700,6000,hop_feedback:dack,35
129,2,7,600,900,hop_feedback:dack,59
129,2,7,900,1200,hop_feedback:dack,40
129,2,7,1200,1500,hop_feedback:dack,26
129,2,7,1500,1800,hop_feedback:ack,11
129,2,7,1500,1800,hop_feedback:dack,31
129,2,7,1800,2100,hop_feedback:ack,7
129,2,7,1800,2100,hop_feedback:dack,39
129,2,7,2100,2400,hop_feedback:ack,3
129,2,7,2100,2400,hop_feedback:dack,47
129,2,7,2400,2700,hop_feedback:dack,37
129,2,7,2700,3000,hop_feedback:ack,4
129,2,7,2700,3000,hop_feedback:dack,37
129,2,8,300,600,hop_feedback:ack,17
129,2,8,300,600,hop_feedback:dack,50
129,2,8,3000,3300,hop_feedback:ack,15
129,2,8,3300,3600,hop_feedback:ack,18
129,2,8,3600,3900,hop_feedback:ack,27
129,2,8,3900,4200,hop_feedback:ack,27
129,2,8,3900,4200,hop_feedback:dack,1
129,2,8,4200,4500,hop_feedback:ack,26
129,2,8,4200,4500,hop_feedback:dack,11
129,2,8,4500,4800,hop_feedback:ack,12
129,2,8,4500,4800,hop_feedback:dack,22
129,2,8,4800,5100,hop_feedback:ack,5
129,2,8,4800,5100,hop_feedback:dack,23
129,2,8,5100,5400,hop_feedback:ack,15
129,2,8,5100,5400,hop_feedback:dack,8
129,2,8,5400,5700,hop_feedback:ack,15
129,2,8,5400,5700,hop_feedback:dack,19
129,2,8,5700,6000,hop_feedback:dack,32
129,2,8,600,900,hop_feedback:dack,37
