case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
track,56,260000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,57,260000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,58,280000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,59,280000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,60,280000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,61,280000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,62,300000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,63,300000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,64,300000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,65,300000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,66,320000000,offer,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
track,67,320000000,blocked,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
track,68,320000000,offer,3,1,3,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
track,69,320000000,blocked,3,1,3,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
track,70,340000000,offer,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
track,71,340000000,blocked,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
track,72,340000000,offer,3,1,3,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
track,73,340000000,blocked,3,1,3,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
track,74,351000000,tx_start,2,1,2,1,1,0,0,3,0,1,0,7,3,7,1,1,0,1,1,128,33
track,75,360000000,offer,2,1,2,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
track,76,360000000,blocked,2,1,2,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
track,77,360000000,offer,3,1,3,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
track,78,360000000,blocked,3,1,3,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
track,79,373501000,ingress_before,1,2,2,1,1,0,0,2,0,0,0,-1,-1,-1,0,0,0,0,0,128,33
track,80,373501000,ingress_after,1,2,2,1,1,0,0,2,1,0,0,-1,-1,-1,0,0,0,0,0,128,33
track,81,380000000,offer,2,1,2,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
track,82,380000000,blocked,2,1,2,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
track,83,380000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,84,380000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,85,400000000,offer,2,1,2,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
track,86,400000000,blocked,2,1,2,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
track,87,400000000,offer,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
track,88,400000000,blocked,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
track,89,420000000,offer,2,1,2,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
track,90,420000000,blocked,2,1,2,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
track,91,420000000,offer,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
track,92,420000000,blocked,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
track,93,429000000,tx_start,3,1,3,1,1,0,0,3,0,1,0,1,9,1,1,1,0,1,1,128,33
track,94,440000000,offer,2,1,2,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
track,95,440000000,blocked,2,1,2,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
track,96,440000000,offer,3,1,3,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
track,97,440000000,blocked,3,1,3,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
track,98,451501000,ingress_before,1,3,3,1,1,0,0,2,1,0,0,-1,-1,-1,0,0,0,0,0,128,33
track,99,451501000,ingress_after,1,3,3,1,1,0,0,2,2,0,0,-1,-1,-1,0,0,0,0,0,128,33
track,100,460000000,offer,2,1,2,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
