seed,node,source,destination,app_sequence,origin,ingress_peer,enqueue_event,identity_ordinal,same_app_nsdp_owners_before_enqueue,same_app_waiting_before_enqueue,forward_event,hop_admission_event,next_hop,hop_sequence,nsdp_release_event,completion_event,completion_reason,completion_resend_count,capacity_release_event,receiver_feedback_event,receiver_feedback_reason,ingress_hop_sequence,ingress_previous_feedback_event,ingress_previous_feedback_reason,ingress_same_hop_replay,enqueue_s,forward_s,hop_admission_s,completion_s,capacity_release_s,app_unique_delivered_by_stop,app_destination_delivery_events,app_first_delivery_event,app_first_delivery_s,status_at_stop
130,2,2,1,954,local,,24244,1,0,0,24268,24270,4,14,26657,26658,ack,0,26658,,,,,,,300.0,300.000000028,300.000000028,302.146293632,302.146293632,True,1,115350,400.592811086,released
130,3,3,1,955,local,,24248,1,0,0,24275,24277,1,17,26734,26735,ack,0,26735,,,,,,,300.0,300.000000028,300.000000028,302.185288077,302.185288077,True,1,26441,301.888268077,released
130,4,4,1,956,local,,24252,1,0,0,24282,24284,5,17,27156,27157,ack,1,27157,,,,,,,300.0,300.000000028,300.000000028,302.562292444,302.562292444,True,1,60533,339.778811086,released
130,5,5,1,957,local,,24256,1,0,0,24289,24291,1,18,29058,29059,ack,0,29059,,,,,,,300.0,300.000000028,300.000000028,304.554111086,304.554111086,True,1,28825,304.262811086,released
130,7,7,1,958,local,,24260,1,0,0,24296,24298,8,12,25612,25613,ack,0,25613,,,,,,,300.0,300.000000028,300.000000028,300.521292442,300.521292442,True,1,431273,697.278811086,released
130,8,8,1,959,local,,24264,1,0,0,24303,24305,2,14,42941,42942,ack,0,42942,,,,,,,300.0,300.000000028,300.000000028,319.384295346,319.384295346,True,1,374722,649.464811086,released
130,2,2,1,960,local,,24322,1,0,0,26664,26666,4,15,27927,27928,ack,0,27928,,,,,,,300.02,302.14629366,302.14629366,303.264293632,303.264293632,True,1,118541,404.544811086,released
130,3,3,1,961,local,,24326,1,0,0,26741,26743,1,18,27470,27471,ack,0,27471,,,,,,,300.02,302.185288105,302.185288105,302.900288077,302.900288077,True,1,27217,302.598808077,released
130,4,4,1,962,local,,24330,1,0,0,27163,27165,5,18,41242,41243,ack,0,41243,,,,,,,300.02,302.562292472,302.562292472,317.447292444,317.447292444,True,1,65245,345.433811086,released
130,5,5,1,963,local,,24334,1,0,0,29065,29067,1,19,30096,30097,ack,0,30097,,,,,,,300.02,304.554111114,304.554111114,305.594111086,305.594111086,True,1,29627,305.081811086,released
130,7,7,1,964,local,,24338,1,0,0,25619,25621,8,13,26095,26096,ack,0,26096,,,,,,,300.02,300.52129247,300.52129247,301.327292442,301.327292442,True,1,439877,705.377811086,released
