seed,node,source,destination,origin,distinct_application_identities,identities_enqueued_more_than_once,repeat_enqueue_count,repeat_while_same_app_nsdp_owned,repeat_after_same_app_nsdp_released,maximum_simultaneous_owners_of_one_identity,maximum_enqueues_of_one_identity,unique_apps_delivered_by_stop,all_instances_enqueues,all_instances_forwards,all_instances_waiting_at_stop,all_instances_active_hop_at_stop,all_instances_dack_hold_at_stop,all_instances_nsdp_owner_seconds,all_instances_nwk_wait_owner_seconds,all_instances_hop_capacity_owner_seconds,all_instances_dack_hold_owner_seconds,all_instances_ingress_same_hop_replays,first_instances_enqueues,first_instances_forwards,first_instances_waiting_at_stop,first_instances_active_hop_at_stop,first_instances_dack_hold_at_stop,first_instances_nsdp_owner_seconds,first_instances_nwk_wait_owner_seconds,first_instances_hop_capacity_owner_seconds,first_instances_dack_hold_owner_seconds,first_instances_ingress_same_hop_replays,repeated_instances_enqueues,repeated_instances_forwards,repeated_instances_waiting_at_stop,repeated_instances_active_hop_at_stop,repeated_instances_dack_hold_at_stop,repeated_instances_nsdp_owner_seconds,repeated_instances_nwk_wait_owner_seconds,repeated_instances_hop_capacity_owner_seconds,repeated_instances_dack_hold_owner_seconds,repeated_instances_ingress_same_hop_replays,mean_nsdp_owners,simultaneous_extra_owner_seconds
129,8,7,1,relay,849,0,0,0,0,1,1,604,849,834,15,0,4,168768.782552356,166918.627974814,16624.133415842,14773.9788383,0,849,834,15,0,4,168768.782552356,166918.627974814,16624.133415842,14773.9788383,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,29.608558342518595,0.0
129,8,8,1,local,528,0,0,0,0,1,1,368,528,512,16,0,1,91191.551968654,90008.890946446,6371.935733638,5189.27471143,0,528,512,16,0,1,91191.551968654,90008.890946446,6371.935733638,5189.27471143,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.998517889237544,0.0
130,2,2,1,local,513,0,0,0,0,1,1,422,513,499,14,2,0,91191.562999064,89810.486253124,7481.076754228,6100.000008288,0,513,499,14,2,0,91191.562999064,89810.486253124,7481.076754228,6100.000008288,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.998519824397192,0.0
130,2,7,1,relay,1027,1,1,1,0,2,2,771,1028,954,74,0,1,246910.302489952,244302.545996448,20715.842223924,18108.08573042,1,1027,953,74,0,1,246630.930011666,244024.220518106,20694.795223952,18088.085730392,0,1,1,0,0,0,279.372478286,278.325478342,21.046999972,20.000000028,1,43.317596928061754,270.493478286
130,2,8,1,relay,163,0,0,0,0,1,1,133,163,163,0,0,0,36941.087079806,36406.395968626,2094.691113196,1560.000002016,0,163,163,0,0,0,36941.087079806,36406.395968626,2094.691113196,1560.000002016,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6.480892470141404,0.0
130,3,3,1,local,8570,0,0,0,0,1,1,8551,8570,8570,0,16,0,91048.061291775,664.179958833,90383.881332942,0.0,0,8570,8570,0,16,0,91048.061291775,664.179958833,90383.881332942,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.973344086276315,0.0
130,4,2,1,relay,487,2,2,2,0,2,2,422,489,488,1,0,0,88641.232348576,85877.900060532,3563.332288996,800.000000952,2,487,486,1,0,0,88177.153390952,85418.150102852,3559.003289052,800.000000952,0,2,2,0,0,0,464.078957624,459.74995768,4.328999944,0.0,2,15.551093394487017,459.437957624
130,4,4,1,local,549,0,0,0,0,1,1,455,549,533,16,0,2,91191.004327692,88325.789794844,3088.196948184,222.982415336,0,549,533,16,0,2,91191.004327692,88325.789794844,3088.196948184,222.982415336,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.99842181187579,0.0
130,4,7,1,relay,932,2,2,2,0,2,2,771,934,925,9,1,4,220672.701102224,215696.855127356,9449.077810188,4473.23183532,1,932,923,9,1,4,220056.812437016,215099.045169676,9430.99910266,4473.23183532,0,2,2,0,0,0,615.888665208,597.80995768,18.078707528,0.0,1,38.71450896530246,573.729665208
130,4,8,1,relay,160,0,0,0,0,1,1,133,160,160,0,0,0,42470.104129856,41361.307030352,1408.797099896,300.000000392,0,160,160,0,0,0,42470.104129856,41361.307030352,1408.797099896,300.000000392,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7.450895461378246,0.0
130,5,2,1,relay,434,3,3,3,0,2,2,422,437,431,6,0,0,38816.52213492,28846.199852106,9970.322282814,0.0,1,434,428,6,0,0,38543.792238994,28644.865956096,9898.926282898,0.0,0,3,3,0,0,0,272.729895926,201.33389601,71.395999916,0.0,1,6.809916164021053,269.011895926
130,5,4,1,relay,475,0,0,0,0,1,1,455,475,459,16,2,0,40565.466177588,30079.592630426,10485.873547162,0.0,0,475,459,16,2,0,40565.466177588,30079.592630426,10485.873547162,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7.116748452208421,0.0
130,5,5,1,local,1467,0,0,0,0,1,1,1433,1467,1464,3,13,0,91176.348754938,57618.194560714,33558.154194224,0.0,0,1467,1464,3,13,0,91176.348754938,57618.194560714,33558.154194224,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.995850658761052,0.0
130,5,7,1,relay,799,1,1,1,0,2,2,771,800,785,15,2,0,63762.234588076,46865.06744929,16897.167138786,0.0,0,799,784,15,2,0,63687.739289434,46796.18815062,16891.551138814,0.0,0,1,1,0,0,0,74.495298642,68.87929867,5.615999972,0.0,0,11.186356945276492,70.153298642
130,5,8,1,relay,134,0,0,0,0,1,1,133,134,133,1,0,0,11575.23079684,8808.753612024,2766.477184816,0.0,0,134,133,1,0,0,11575.23079684,8808.753612024,2766.477184816,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2.030742245059649,0.0
130,7,7,1,local,1381,0,0,0,0,1,1,771,1381,1365,16,0,4,91181.179013674,89378.08096632,29186.215914798,27383.117867444,0,1381,1365,16,0,4,91181.179013674,89378.08096632,29186.215914798,27383.117867444,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.996698072574386,0.0
130,8,7,1,relay,1361,0,0,0,0,1,1,771,1361,1043,318,0,4,1352001.81829191,1349680.673365936,21903.209770658,19582.064844684,0,1361,1043,318,0,4,1352001.81829191,1349680.673365936,21903.209770658,19582.064844684,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,237.19330145472105,0.0
130,8,8,1,local,181,0,0,0,0,1,1,133,181,165,16,0,0,91195.676141454,90741.847444108,1293.828698438,840.000001092,0,181,165,16,0,0,91195.676141454,90741.847444108,1293.828698438,840.000001092,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15.999241428325263,0.0
