seed,node,source,destination,app_sequence,origin,ingress_peer,enqueue_event,identity_ordinal,same_app_nsdp_owners_before_enqueue,same_app_waiting_before_enqueue,forward_event,hop_admission_event,next_hop,hop_sequence,nsdp_release_event,completion_event,completion_reason,completion_resend_count,capacity_release_event,receiver_feedback_event,receiver_feedback_reason,ingress_hop_sequence,ingress_previous_feedback_event,ingress_previous_feedback_reason,ingress_same_hop_replay,enqueue_s,forward_s,hop_admission_s,completion_s,capacity_release_s,app_unique_delivered_by_stop,app_destination_delivery_events,app_first_delivery_event,app_first_delivery_s,status_at_stop,upstream_node,upstream_enqueue_event,upstream_identity_ordinal,upstream_hop_admission_event,upstream_hop_admission_s,mechanism
130,4,2,1,2407,relay,2,398885,2,1,1,708514,708516,5,240,710361,710362,ack,0,710362,398886,dack,181,398495,dack,True,669.575813632,962.039292472,962.039292472,963.638292444,963.638292444,True,2,805784,1052.126811086,released,2,212634,1,386537,658.865293688,same-HOP DACK-marked replay
130,5,2,1,2407,relay,4,709654,2,1,1,773891,773893,1,449,808272,808273,ack,0,808273,709655,ack,240,,,False,962.933812444,1022.856111114,1022.856111114,1054.940111086,1054.940111086,True,2,805784,1052.126811086,released,4,398885,2,708516,962.039292472,propagated upstream repeated owner
130,2,7,1,3474,relay,8,711533,2,1,1,1013625,1013627,4,373,1014677,1014678,dack,0,1037062,711534,dack,268,709529,dack,True,965.000815346,1243.326293688,1243.326293688,1244.373293632,1264.37329366,False,0,,,released,8,459974,1,708809,962.136295402,same-HOP DACK-marked replay
130,4,7,1,3474,relay,2,1014447,2,1,1,1530830,1530832,5,453,1543255,1543256,no_ack,2,1543256,1014449,dack,373,,,False,1244.266813632,1701.167292472,1701.167292472,1713.383000028,1713.383000028,False,0,,,released,2,711533,2,1013627,1243.326293688,propagated upstream repeated owner
130,4,7,1,8846,relay,2,2793680,2,1,1,2930814,2930816,5,922,2936183,2936184,ack,0,2936184,2793681,dack,768,2791678,dack,True,2906.732813632,3047.642292472,3047.642292472,3053.505292444,3053.505292444,True,2,3004048,3123.039811086,released,2,2333064,1,2789789,2903.08229366,same-HOP DACK-marked replay
130,5,7,1,8846,relay,4,2935796,2,1,1,3002165,3002167,1,1738,3009634,3009635,ack,0,3009635,2935798,ack,922,,,False,3053.060812444,3121.940111114,3121.940111114,3127.556111086,3127.556111086,True,2,3004048,3123.039811086,released,4,2793680,2,2930816,3047.642292472,propagated upstream repeated owner
130,4,2,1,17338,relay,2,3322162,2,1,1,3542942,3542944,5,1139,3545711,3545712,ack,1,3545712,3322163,dack,922,3320388,dack,True,3392.477813632,3559.764292472,3559.764292472,3562.494292444,3562.494292444,True,2,3645883,3645.860811086,released,2,3181222,1,3319556,3389.470293688,same-HOP DACK-marked replay
130,5,2,1,17338,relay,4,3543565,2,1,1,3639126,3639128,1,2008,3645959,3645960,ack,0,3645960,3543566,ack,1139,,,False,3560.125812444,3639.509111114,3639.509111114,3645.970111086,3645.970111086,True,2,3645883,3645.860811086,released,4,3322162,2,3542944,3559.764292472,propagated upstream repeated owner
130,5,2,1,26597,relay,4,5434339,2,1,1,5514866,5514868,1,2957,5557667,5557668,ack,0,5557668,5434340,dack,1843,5433830,dack,True,5308.677812444,5370.706111114,5370.706111114,5403.557111086,5403.557111086,True,2,5556548,5402.082811086,released,4,5289215,1,5423439,5298.267292472,same-HOP DACK-marked replay
