case,node,generated,offered,admitted,delivered,releases,blocked,pending,resend_queue,ack_queue,data_queue,nwk_waiting,nsdp4,nsdp5,draws_consumed,draws_unused
data,1,0,0,0,96,0,0,0,0,0,0,0,0,0,218,806
data,4,48,529,48,0,48,481,0,0,0,0,0,0,0,38,986
data,5,48,207,48,0,96,159,0,0,0,0,0,0,0,98,926
