case,node,ordinal,time_ns,min,max,draw,resolved,probes
data,4,17,3757000028,0,31,3,3,0
data,5,17,3770000028,0,31,9,9,0
data,1,24,3781961028,0,31,1,1,0
data,4,18,3809000028,0,31,7,8,1
data,1,25,3820961028,0,31,1,1,0
data,1,26,3859961028,0,31,1,1,0
data,1,27,3898961028,0,31,1,1,0
data,5,18,3913000028,0,31,1,1,0
data,1,28,3937961028,0,31,1,1,0
data,4,19,3952000028,0,31,3,3,0
data,5,19,3965000028,0,31,9,9,0
data,1,29,3976961028,0,31,1,1,0
data,4,20,4004000028,0,31,7,8,1
data,1,30,4015961028,0,31,1,1,0
data,1,31,4054961028,0,31,1,1,0
data,1,32,4093961028,0,31,1,1,0
data,5,20,4108000028,0,31,1,1,0
data,1,33,4132961028,0,31,1,1,0
data,4,21,4147000028,0,31,3,3,0
data,5,21,4160000028,0,31,9,9,0
data,1,34,4171961028,0,31,1,1,0
data,4,22,4199000028,0,31,7,8,1
data,1,35,4210961028,0,31,1,1,0
data,1,36,4249961028,0,31,1,1,0
data,1,37,4288961028,0,31,1,1,0
data,5,22,4303000028,0,31,1,2,1
data,1,38,4327961028,0,31,1,1,0
data,1,39,4366961028,0,31,1,1,0
data,5,23,4381000028,0,31,9,9,0
data,1,40,4405961028,0,31,1,1,0
data,1,41,4444961028,0,31,1,1,0
data,1,42,4483961028,0,31,1,1,0
data,1,43,4522961028,0,31,1,1,0
data,5,24,4524000028,0,31,1,1,0
data,1,44,4574961028,0,31,1,1,0
data,5,25,4589000028,0,31,9,9,0
data,1,45,4600961028,0,31,1,1,0
data,1,46,4639961028,0,31,1,1,0
data,1,47,4678961028,0,31,1,1,0
data,1,48,4717961028,0,31,1,1,0
data,5,26,4732000028,0,31,1,1,0
data,1,49,4756961028,0,31,1,1,0
data,1,50,4795961028,0,31,1,1,0
data,1,51,4834961028,0,31,1,1,0
data,1,52,4873961028,0,31,1,1,0
data,1,53,4912961028,0,31,1,1,0
data,1,54,4951961028,0,31,1,1,0
data,5,27,5005000028,0,31,9,9,0
data,5,28,5135000028,0,31,1,1,0
data,1,55,5159961028,0,31,1,1,0
data,1,56,5185961028,0,31,1,1,0
data,1,57,5224961028,0,31,1,1,0
data,1,58,5263961028,0,31,1,1,0
data,1,59,5302961028,0,31,1,1,0
data,1,60,5341961028,0,31,1,1,0
data,5,29,6006000028,0,31,9,9,0
data,5,30,6136000028,0,31,1,1,0
data,1,61,6160961028,0,31,1,1,0
data,1,62,6186961028,0,31,1,1,0
data,1,63,6225961028,0,31,1,1,0
data,1,64,6264961028,0,31,1,1,0
data,1,65,6303961028,0,31,1,1,0
data,1,66,6342961028,0,31,1,1,0
data,5,31,7007000028,0,31,9,9,0
data,5,32,7137000028,0,31,1,1,0
data,1,67,7161961028,0,31,1,1,0
data,1,68,7187961028,0,31,1,1,0
data,1,69,7226961028,0,31,1,1,0
data,1,70,7265961028,0,31,1,1,0
data,1,71,7304961028,0,31,1,1,0
data,1,72,7343961028,0,31,1,1,0
data,5,33,8008000028,0,31,9,9,0
data,5,34,8138000028,0,31,1,1,0
data,1,73,8162961028,0,31,1,1,0
data,1,74,8188961028,0,31,1,1,0
data,1,75,8227961028,0,31,1,1,0
data,1,76,8266961028,0,31,1,1,0
data,1,77,8305961028,0,31,1,1,0
data,1,78,8344961028,0,31,1,1,0
data,5,35,9009000028,0,31,9,9,0
data,5,36,9139000028,0,31,1,1,0
data,1,79,9163961028,0,31,1,1,0
data,1,80,9189961028,0,31,1,1,0
data,1,81,9228961028,0,31,1,1,0
data,1,82,9267961028,0,31,1,1,0
data,1,83,9306961028,0,31,1,1,0
data,1,84,9345961028,0,31,1,1,0
data,5,37,10010000028,0,31,9,9,0
data,5,38,10140000028,0,31,1,1,0
data,1,85,10164961028,0,31,1,1,0
data,1,86,10190961028,0,31,1,1,0
data,1,87,10229961028,0,31,1,1,0
data,1,88,10268961028,0,31,1,1,0
data,1,89,10307961028,0,31,1,1,0
data,1,90,10346961028,0,31,1,1,0
data,5,39,11011000028,0,31,9,9,0
data,5,40,11141000028,0,31,1,1,0
data,1,91,11165961028,0,31,1,1,0
data,1,92,11191961028,0,31,1,1,0
data,1,93,11230961028,0,31,1,1,0
data,1,94,11269961028,0,31,1,1,0
data,1,95,11308961028,0,31,1,1,0
data,1,96,11347961028,0,31,1,1,0
data,5,41,12012000028,0,31,9,9,0
data,5,42,12142000028,0,31,1,1,0
data,1,97,12166961028,0,31,1,1,0
data,1,98,12192961028,0,31,1,1,0
data,1,99,12231961028,0,31,1,1,0
data,1,100,12270961028,0,31,1,1,0
data,1,101,12309961028,0,31,1,1,0
data,1,102,12348961028,0,31,1,1,0
data,5,43,13013000028,0,31,9,9,0
data,5,44,13143000028,0,31,1,1,0
data,1,103,13167961028,0,31,1,1,0
data,1,104,13193961028,0,31,1,1,0
data,1,105,13232961028,0,31,1,1,0
data,1,106,13271961028,0,31,1,1,0
data,1,107,13310961028,0,31,1,1,0
data,1,108,13349961028,0,31,1,1,0
data,5,45,14001000028,0,31,9,9,0
data,5,46,14131000028,0,31,1,1,0
data,1,109,14155961028,0,31,1,1,0
data,1,110,14181961028,0,31,1,1,0
data,1,111,14220961028,0,31,1,1,0
data,1,112,14259961028,0,31,1,1,0
data,1,113,14298961028,0,31,1,1,0
data,1,114,14337961028,0,31,1,1,0
data,5,47,15002000028,0,31,9,9,0
data,5,48,15132000028,0,31,1,1,0
data,1,115,15156961028,0,31,1,1,0
data,1,116,15182961028,0,31,1,1,0
data,1,117,15221961028,0,31,1,1,0
data,1,118,15260961028,0,31,1,1,0
data,1,119,15299961028,0,31,1,1,0
data,1,120,15338961028,0,31,1,1,0
data,5,49,16003000028,0,31,9,9,0
data,5,50,16133000028,0,31,1,1,0
data,1,121,16157961028,0,31,1,1,0
data,1,122,16183961028,0,31,1,1,0
data,1,123,16222961028,0,31,1,1,0
data,1,124,16261961028,0,31,1,1,0
data,1,125,16300961028,0,31,1,1,0
data,1,126,16339961028,0,31,1,1,0
data,5,51,17004000028,0,31,9,9,0
data,5,52,17134000028,0,31,1,1,0
data,1,127,17158961028,0,31,1,1,0
data,1,128,17184961028,0,31,1,1,0
data,1,129,17223961028,0,31,1,1,0
data,1,130,17262961028,0,31,1,1,0
data,1,131,17301961028,0,31,1,1,0
data,1,132,17340961028,0,31,1,1,0
data,5,53,18005000028,0,31,9,9,0
data,5,54,18135000028,0,31,1,1,0
data,1,133,18159961028,0,31,1,1,0
data,1,134,18185961028,0,31,1,1,0
data,1,135,18224961028,0,31,1,1,0
data,1,136,18263961028,0,31,1,1,0
data,1,137,18302961028,0,31,1,1,0
data,1,138,18341961028,0,31,1,1,0
data,5,55,19006000028,0,31,9,9,0
data,5,56,19136000028,0,31,1,1,0
data,1,139,19160961028,0,31,1,1,0
data,1,140,19186961028,0,31,1,1,0
data,1,141,19225961028,0,31,1,1,0
data,1,142,19264961028,0,31,1,1,0
data,1,143,19303961028,0,31,1,1,0
data,1,144,19342961028,0,31,1,1,0
data,5,57,20007000028,0,31,9,9,0
data,5,58,20137000028,0,31,1,1,0
data,1,145,20161961028,0,31,1,1,0
data,1,146,20187961028,0,31,1,1,0
data,1,147,20226961028,0,31,1,1,0
data,1,148,20265961028,0,31,1,1,0
data,1,149,20304961028,0,31,1,1,0
data,1,150,20343961028,0,31,1,1,0
data,5,59,21008000028,0,31,9,9,0
data,5,60,21138000028,0,31,1,1,0
data,1,151,21162961028,0,31,1,1,0
data,1,152,21188961028,0,31,1,1,0
data,1,153,21227961028,0,31,1,1,0
data,1,154,21266961028,0,31,1,1,0
data,1,155,21305961028,0,31,1,1,0
data,1,156,21344961028,0,31,1,1,0
data,5,61,22009000028,0,31,9,9,0
data,5,62,22139000028,0,31,1,1,0
data,1,157,22163961028,0,31,1,1,0
data,1,158,22189961028,0,31,1,1,0
data,1,159,22228961028,0,31,1,1,0
data,1,160,22267961028,0,31,1,1,0
data,1,161,22306961028,0,31,1,1,0
data,1,162,22345961028,0,31,1,1,0
data,5,63,23010000028,0,31,9,9,0
data,5,64,23140000028,0,31,1,1,0
data,1,163,23164961028,0,31,1,1,0
data,1,164,23190961028,0,31,1,1,0
data,1,165,23229961028,0,31,1,1,0
data,1,166,23268961028,0,31,1,1,0
data,1,167,23307961028,0,31,1,1,0
data,1,168,23346961028,0,31,1,1,0
data,5,65,24011000028,0,31,9,9,0
data,5,66,24141000028,0,31,1,1,0
data,4,23,24154000028,0,31,3,3,0
data,1,169,24165961028,0,31,1,1,0
data,1,170,24191961028,0,31,1,1,0
data,4,24,24206000028,0,31,7,7,0
data,1,171,24230961028,0,31,1,1,0
data,5,67,24245000028,0,31,9,9,0
data,1,172,24269961028,0,31,1,1,0
data,1,173,24308961028,0,31,1,1,0
data,1,174,24347961028,0,31,1,1,0
data,4,25,24349000028,0,31,3,3,0
data,5,68,24375000028,0,31,1,1,0
data,4,26,24401000028,0,31,7,7,0
data,1,175,24412961028,0,31,1,1,0
data,5,69,24427000028,0,31,9,9,0
data,1,176,24438961028,0,31,1,1,0
data,1,177,24477961028,0,31,1,1,0
data,1,178,24516961028,0,31,1,1,0
data,4,27,24518000028,0,31,3,4,1
data,1,179,24555961028,0,31,1,1,0
data,5,70,24570000028,0,31,1,1,0
data,1,180,24594961028,0,31,1,2,1
data,4,28,24622000028,0,31,7,7,0
data,5,71,24635000028,0,31,9,9,0
data,1,181,24646961028,0,31,1,1,0
data,1,182,24685961028,0,31,1,1,0
data,1,183,24724961028,0,31,1,1,0
data,4,29,24726000028,0,31,3,4,1
data,1,184,24763961028,0,31,1,1,0
data,5,72,24778000028,0,31,1,1,0
data,1,185,24802961028,0,31,1,1,0
data,4,30,24830000028,0,31,7,7,0
data,1,186,24841961028,0,31,1,1,0
data,5,73,24843000028,0,31,9,9,0
data,1,187,24880961028,0,31,1,1,0
data,1,188,24919961028,0,31,1,1,0
data,4,31,24934000028,0,31,3,4,1
data,1,189,24958961028,0,31,1,1,0
data,5,74,24986000028,0,31,1,1,0
data,1,190,24997961028,0,31,1,1,0
data,4,32,25025000028,0,31,7,7,0
data,1,191,25036961028,0,31,1,1,0
data,5,75,25038000028,0,31,9,9,0
data,1,192,25075961028,0,31,1,1,0
data,1,193,25114961028,0,31,1,1,0
data,1,194,25153961028,0,31,1,1,0
data,5,76,25181000028,0,31,1,1,0
data,1,195,25192961028,0,31,1,2,1
data,5,77,25220000028,0,31,9,9,0
data,1,196,25244961028,0,31,1,1,0
data,1,197,25283961028,0,31,1,1,0
data,1,198,25322961028,0,31,1,1,0
data,1,199,25361961028,0,31,1,1,0
data,5,78,25363000028,0,31,1,1,0
data,1,200,25400961028,0,31,1,1,0
data,5,79,25402000028,0,31,9,9,0
data,5,80,25545000028,0,31,1,1,0
data,4,33,26013000028,0,31,3,3,0
data,5,81,26013000028,0,31,9,9,0
data,4,34,26065000028,0,31,7,7,0
data,5,82,26143000028,0,31,1,1,0
data,1,201,26180961028,0,31,1,1,0
data,5,83,26195000028,0,31,9,9,0
data,1,202,26206961028,0,31,1,1,0
data,1,203,26245961028,0,31,1,1,0
data,1,204,26284961028,0,31,1,1,0
data,1,205,26323961028,0,31,1,1,0
data,5,84,26338000028,0,31,1,1,0
data,1,206,26362961028,0,31,1,1,0
data,5,85,26377000028,0,31,9,9,0
data,5,86,26520000028,0,31,1,1,0
data,4,35,27001000028,0,31,3,3,0
data,5,87,27001000028,0,31,9,9,0
data,4,36,27053000028,0,31,7,7,0
data,5,88,27131000028,0,31,1,1,0
data,1,207,27168961028,0,31,1,1,0
data,5,89,27183000028,0,31,9,9,0
data,1,208,27194961028,0,31,1,1,0
data,1,209,27233961028,0,31,1,1,0
data,1,210,27272961028,0,31,1,1,0
data,1,211,27311961028,0,31,1,1,0
data,5,90,27326000028,0,31,1,1,0
data,1,212,27350961028,0,31,1,1,0
data,5,91,27365000028,0,31,9,9,0
data,5,92,27508000028,0,31,1,1,0
data,4,37,28002000028,0,31,3,3,0
data,5,93,28002000028,0,31,9,9,0
data,4,38,28054000028,0,31,7,7,0
data,5,94,28132000028,0,31,1,1,0
data,1,213,28169961028,0,31,1,1,0
data,5,95,28184000028,0,31,9,9,0
data,1,214,28195961028,0,31,1,1,0
data,1,215,28234961028,0,31,1,1,0
data,1,216,28273961028,0,31,1,1,0
data,1,217,28312961028,0,31,1,1,0
data,5,96,28327000028,0,31,1,1,0
data,1,218,28351961028,0,31,1,1,0
data,5,97,28366000028,0,31,9,9,0
data,5,98,28509000028,0,31,1,1,0
