case,node,ordinal,time_ns,min,max,draw,resolved,probes
ack,1,91,8162961028,0,31,1,1,0
ack,1,92,8188961028,0,31,1,1,0
ack,1,93,8227961028,0,31,1,1,0
ack,1,94,8266961028,0,31,1,1,0
ack,1,95,8305961028,0,31,1,1,0
ack,1,96,8344961028,0,31,1,1,0
ack,5,39,9009000028,0,31,9,9,0
ack,5,40,9139000028,0,31,1,1,0
ack,1,97,9163961028,0,31,1,1,0
ack,1,98,9189961028,0,31,1,1,0
ack,1,99,9228961028,0,31,1,1,0
ack,1,100,9267961028,0,31,1,1,0
ack,1,101,9306961028,0,31,1,1,0
ack,1,102,9345961028,0,31,1,1,0
ack,5,41,10010000028,0,31,9,9,0
ack,5,42,10140000028,0,31,1,1,0
ack,1,103,10164961028,0,31,1,1,0
ack,1,104,10190961028,0,31,1,1,0
ack,1,105,10229961028,0,31,1,1,0
ack,1,106,10268961028,0,31,1,1,0
ack,1,107,10307961028,0,31,1,1,0
ack,1,108,10346961028,0,31,1,1,0
ack,5,43,11011000028,0,31,9,9,0
ack,5,44,11141000028,0,31,1,1,0
ack,1,109,11165961028,0,31,1,1,0
ack,1,110,11191961028,0,31,1,1,0
ack,1,111,11230961028,0,31,1,1,0
ack,1,112,11269961028,0,31,1,1,0
ack,1,113,11308961028,0,31,1,1,0
ack,1,114,11347961028,0,31,1,1,0
ack,5,45,12012000028,0,31,9,9,0
ack,5,46,12142000028,0,31,1,1,0
ack,1,115,12166961028,0,31,1,1,0
ack,1,116,12192961028,0,31,1,1,0
ack,1,117,12231961028,0,31,1,1,0
ack,1,118,12270961028,0,31,1,1,0
ack,1,119,12309961028,0,31,1,1,0
ack,1,120,12348961028,0,31,1,1,0
ack,5,47,13013000028,0,31,9,9,0
ack,5,48,13143000028,0,31,1,1,0
ack,1,121,13167961028,0,31,1,1,0
ack,1,122,13193961028,0,31,1,1,0
ack,1,123,13232961028,0,31,1,1,0
ack,1,124,13271961028,0,31,1,1,0
ack,1,125,13310961028,0,31,1,1,0
ack,1,126,13349961028,0,31,1,1,0
ack,5,49,14001000028,0,31,9,9,0
ack,5,50,14131000028,0,31,1,1,0
ack,1,127,14155961028,0,31,1,1,0
ack,1,128,14181961028,0,31,1,1,0
ack,1,129,14220961028,0,31,1,1,0
ack,1,130,14259961028,0,31,1,1,0
ack,1,131,14298961028,0,31,1,1,0
ack,1,132,14337961028,0,31,1,1,0
ack,5,51,15002000028,0,31,9,9,0
ack,5,52,15132000028,0,31,1,1,0
ack,1,133,15156961028,0,31,1,1,0
ack,1,134,15182961028,0,31,1,1,0
ack,1,135,15221961028,0,31,1,1,0
ack,1,136,15260961028,0,31,1,1,0
ack,1,137,15299961028,0,31,1,1,0
ack,1,138,15338961028,0,31,1,1,0
ack,5,53,16003000028,0,31,9,9,0
ack,5,54,16133000028,0,31,1,1,0
ack,1,139,16157961028,0,31,1,1,0
ack,1,140,16183961028,0,31,1,1,0
ack,1,141,16222961028,0,31,1,1,0
ack,1,142,16261961028,0,31,1,1,0
ack,1,143,16300961028,0,31,1,1,0
ack,1,144,16339961028,0,31,1,1,0
ack,5,55,17004000028,0,31,9,9,0
ack,5,56,17134000028,0,31,1,1,0
ack,1,145,17158961028,0,31,1,1,0
ack,1,146,17184961028,0,31,1,1,0
ack,1,147,17223961028,0,31,1,1,0
ack,1,148,17262961028,0,31,1,1,0
ack,1,149,17301961028,0,31,1,1,0
ack,1,150,17340961028,0,31,1,1,0
ack,5,57,18005000028,0,31,9,9,0
ack,5,58,18135000028,0,31,1,1,0
ack,1,151,18159961028,0,31,1,1,0
ack,1,152,18185961028,0,31,1,1,0
ack,1,153,18224961028,0,31,1,1,0
ack,1,154,18263961028,0,31,1,1,0
ack,1,155,18302961028,0,31,1,1,0
ack,1,156,18341961028,0,31,1,1,0
ack,5,59,19006000028,0,31,9,9,0
ack,5,60,19136000028,0,31,1,1,0
ack,1,157,19160961028,0,31,1,1,0
ack,1,158,19186961028,0,31,1,1,0
ack,1,159,19225961028,0,31,1,1,0
ack,1,160,19264961028,0,31,1,1,0
ack,1,161,19303961028,0,31,1,1,0
ack,1,162,19342961028,0,31,1,1,0
ack,5,61,20007000028,0,31,9,9,0
ack,5,62,20137000028,0,31,1,1,0
ack,1,163,20161961028,0,31,1,1,0
ack,1,164,20187961028,0,31,1,1,0
ack,1,165,20226961028,0,31,1,1,0
ack,1,166,20265961028,0,31,1,1,0
ack,1,167,20304961028,0,31,1,1,0
ack,1,168,20343961028,0,31,1,1,0
ack,5,63,21008000028,0,31,9,9,0
ack,5,64,21138000028,0,31,1,1,0
ack,1,169,21162961028,0,31,1,1,0
ack,1,170,21188961028,0,31,1,1,0
ack,1,171,21227961028,0,31,1,1,0
ack,1,172,21266961028,0,31,1,1,0
ack,1,173,21305961028,0,31,1,1,0
ack,1,174,21344961028,0,31,1,1,0
ack,4,18,21775000028,0,31,7,7,0
ack,4,19,21879000028,0,31,3,3,0
ack,5,65,21918000028,0,31,9,9,0
ack,4,20,21983000028,0,31,7,7,0
ack,5,66,22048000028,0,31,1,1,0
ack,1,175,22085961028,0,31,1,1,0
ack,4,21,22087000028,0,31,3,3,0
ack,5,67,22100000028,0,31,9,9,0
ack,1,176,22111961028,0,31,1,1,0
ack,1,177,22150961028,0,31,1,1,0
ack,1,178,22189961028,0,31,1,1,0
ack,1,179,22228961028,0,31,1,1,0
ack,5,68,22243000028,0,31,1,1,0
ack,1,180,22267961028,0,31,1,1,0
ack,4,22,22295000028,0,31,7,7,0
ack,1,181,22306961028,0,31,1,1,0
ack,5,69,22308000028,0,31,9,9,0
ack,1,182,22345961028,0,31,1,1,0
ack,1,183,22384961028,0,31,1,1,0
ack,4,23,22399000028,0,31,3,4,1
ack,1,184,22423961028,0,31,1,1,0
ack,5,70,22451000028,0,31,1,1,0
ack,1,185,22462961028,0,31,1,1,0
ack,1,186,22501961028,0,31,1,1,0
ack,4,24,22503000028,0,31,7,7,0
ack,5,71,22516000028,0,31,9,9,0
ack,1,187,22527961028,0,31,1,1,0
ack,1,188,22566961028,0,31,1,1,0
ack,1,189,22605961028,0,31,1,1,0
ack,4,25,22607000028,0,31,3,4,1
ack,1,190,22644961028,0,31,1,1,0
ack,5,72,22659000028,0,31,1,1,0
ack,1,191,22683961028,0,31,1,1,0
ack,5,73,22711000028,0,31,9,9,0
ack,1,192,22722961028,0,31,1,1,0
ack,1,193,22761961028,0,31,1,1,0
ack,1,194,22800961028,0,31,1,1,0
ack,1,195,22839961028,0,31,1,1,0
ack,5,74,22854000028,0,31,1,1,0
ack,1,196,22878961028,0,31,1,1,0
ack,5,75,22893000028,0,31,9,9,0
ack,4,26,23010000028,0,31,7,7,0
ack,5,76,23036000028,0,31,1,1,0
ack,1,197,23060961028,0,31,1,1,0
ack,1,198,23086961028,0,31,1,1,0
ack,4,27,23114000028,0,31,3,3,0
ack,1,199,23125961028,0,31,1,1,0
ack,5,77,23140000028,0,31,9,9,0
ack,1,200,23164961028,0,31,1,1,0
ack,1,201,23203961028,0,31,1,1,0
ack,1,202,23242961028,0,31,1,1,0
ack,5,78,23270000028,0,31,1,1,0
ack,1,203,23294961028,0,31,1,1,0
ack,5,79,23309000028,0,31,9,9,0
ack,1,204,23320961028,0,31,1,1,0
ack,1,205,23359961028,0,31,1,1,0
ack,1,206,23398961028,0,31,1,1,0
ack,1,207,23437961028,0,31,1,1,0
ack,5,80,23452000028,0,31,1,1,0
ack,1,208,23476961028,0,31,1,1,0
ack,5,81,23491000028,0,31,9,9,0
ack,5,82,23634000028,0,31,1,1,0
ack,4,28,24011000028,0,31,7,7,0
ack,5,83,24011000028,0,31,9,9,0
ack,4,29,24115000028,0,31,3,3,0
ack,5,84,24141000028,0,31,1,1,0
ack,1,209,24178961028,0,31,1,1,0
ack,5,85,24193000028,0,31,9,9,0
ack,1,210,24204961028,0,31,1,1,0
ack,1,211,24243961028,0,31,1,1,0
ack,1,212,24282961028,0,31,1,1,0
ack,1,213,24321961028,0,31,1,1,0
ack,5,86,24336000028,0,31,1,1,0
ack,1,214,24360961028,0,31,1,1,0
ack,5,87,24375000028,0,31,9,9,0
ack,5,88,24518000028,0,31,1,1,0
ack,4,30,25012000028,0,31,7,7,0
ack,5,89,25012000028,0,31,9,9,0
ack,4,31,25116000028,0,31,3,3,0
ack,5,90,25142000028,0,31,1,1,0
ack,1,215,25179961028,0,31,1,1,0
ack,5,91,25194000028,0,31,9,9,0
ack,1,216,25205961028,0,31,1,1,0
ack,1,217,25244961028,0,31,1,1,0
ack,1,218,25283961028,0,31,1,1,0
ack,1,219,25322961028,0,31,1,1,0
ack,5,92,25337000028,0,31,1,1,0
ack,1,220,25361961028,0,31,1,1,0
ack,5,93,25376000028,0,31,9,9,0
ack,5,94,25519000028,0,31,1,1,0
ack,4,32,26013000028,0,31,7,7,0
ack,5,95,26013000028,0,31,9,9,0
ack,4,33,26117000028,0,31,3,3,0
ack,5,96,26143000028,0,31,1,1,0
ack,1,221,26180961028,0,31,1,1,0
ack,5,97,26195000028,0,31,9,9,0
ack,1,222,26206961028,0,31,1,1,0
ack,1,223,26245961028,0,31,1,1,0
ack,1,224,26284961028,0,31,1,1,0
ack,1,225,26323961028,0,31,1,1,0
ack,5,98,26338000028,0,31,1,1,0
ack,1,226,26362961028,0,31,1,1,0
ack,5,99,26377000028,0,31,9,9,0
ack,5,100,26520000028,0,31,1,1,0
ack,4,34,27001000028,0,31,7,7,0
ack,5,101,27001000028,0,31,9,9,0
ack,4,35,27105000028,0,31,3,3,0
ack,5,102,27131000028,0,31,1,1,0
ack,1,227,27168961028,0,31,1,1,0
ack,5,103,27183000028,0,31,9,9,0
ack,1,228,27194961028,0,31,1,1,0
ack,1,229,27233961028,0,31,1,1,0
ack,1,230,27272961028,0,31,1,1,0
ack,1,231,27311961028,0,31,1,1,0
ack,5,104,27326000028,0,31,1,1,0
ack,1,232,27350961028,0,31,1,1,0
ack,5,105,27365000028,0,31,9,9,0
ack,5,106,27508000028,0,31,1,1,0
ack,4,36,28002000028,0,31,7,7,0
ack,5,107,28002000028,0,31,9,9,0
ack,4,37,28106000028,0,31,3,3,0
ack,5,108,28132000028,0,31,1,1,0
ack,1,233,28169961028,0,31,1,1,0
ack,5,109,28184000028,0,31,9,9,0
ack,1,234,28195961028,0,31,1,1,0
ack,1,235,28234961028,0,31,1,1,0
ack,1,236,28273961028,0,31,1,1,0
ack,1,237,28312961028,0,31,1,1,0
ack,5,110,28327000028,0,31,1,1,0
ack,1,238,28351961028,0,31,1,1,0
ack,5,111,28366000028,0,31,9,9,0
ack,5,112,28509000028,0,31,1,1,0
