case,node,generated,offered,admitted,delivered,releases,blocked,pending,resend_queue,ack_queue,data_queue,nwk_waiting,nsdp4,nsdp5,draws_consumed,draws_unused
ack,1,0,0,0,96,0,0,0,0,0,0,0,0,0,238,786
ack,4,48,291,48,0,48,243,0,0,0,0,0,0,0,37,987
ack,5,48,101,48,0,96,53,0,0,0,0,0,0,0,112,912
