seed,source,metric,matlab,ns3,difference_percent,within_5_percent,within_10_percent
128,total,admitted,12484.0,12417.0,0.5395828299911412,True,True
128,total,unique_delivered,11825.0,11769.0,0.47582632339196196,True,True
128,total,mean_delivered_delay_s,98.97012338799513,104.19477083093882,-5.014308684858035,False,True
128,2,admitted,551.0,547.0,0.7312614259597806,True,True
128,2,unique_delivered,411.0,410.0,0.24390243902439024,True,True
128,2,mean_delivered_delay_s,487.3300714266931,456.845567183561,6.672824786517716,False,True
128,3,admitted,8489.0,8551.0,-0.7250613963279149,True,True
128,3,unique_delivered,8472.0,8535.0,-0.7381370826010545,True,True
128,3,mean_delivered_delay_s,10.328367385680105,10.44845909750381,-1.149372464427744,True,True
128,4,admitted,439.0,498.0,-11.847389558232932,False,False
128,4,unique_delivered,348.0,419.0,-16.94510739856802,False,False
128,4,mean_delivered_delay_s,299.1536214308882,269.68891848456803,10.925440730708479,False,False
128,5,admitted,1669.0,1397.0,19.470293486041516,False,False
128,5,unique_delivered,1644.0,1369.0,20.087655222790357,False,False
128,5,mean_delivered_delay_s,53.46351789871244,67.30344765283712,-20.563478152729182,False,False
128,7,admitted,748.0,803.0,-6.8493150684931505,False,True
128,7,unique_delivered,533.0,574.0,-7.142857142857143,False,True
128,7,mean_delivered_delay_s,784.5565033937527,777.8483145703206,0.8624032086689927,True,True
128,8,admitted,588.0,621.0,-5.314009661835748,False,True
128,8,unique_delivered,417.0,462.0,-9.74025974025974,False,True
128,8,mean_delivered_delay_s,653.1391396232308,645.3700600037489,1.2038177940012829,True,True
129,total,admitted,12551.0,12463.0,0.706090026478376,True,True
129,total,unique_delivered,11851.0,11787.0,0.5429710698226861,True,True
129,total,mean_delivered_delay_s,103.0414246755,102.26438602187496,0.7598330991385683,True,True
129,2,admitted,616.0,607.0,1.4827018121911038,True,True
129,2,unique_delivered,466.0,480.0,-2.9166666666666665,True,True
129,2,mean_delivered_delay_s,434.4137510002236,428.9726465026667,1.26840360146905,True,True
129,3,admitted,8599.0,8557.0,0.4908262241439757,True,True
129,3,unique_delivered,8579.0,8538.0,0.48020613726868117,True,True
129,3,mean_delivered_delay_s,10.183659745396952,10.437482059197237,-2.4318347314103717,True,True
129,4,admitted,503.0,501.0,0.3992015968063872,True,True
129,4,unique_delivered,398.0,426.0,-6.572769953051643,False,True
129,4,mean_delivered_delay_s,271.1764367142011,276.50659277614085,-1.9276777484488565,True,True
129,5,admitted,1469.0,1400.0,4.928571428571429,True,True
129,5,unique_delivered,1440.0,1371.0,5.032822757111598,False,True
129,5,mean_delivered_delay_s,61.06266455828287,66.34614806630634,-7.963512068165825,False,True
129,7,admitted,838.0,870.0,-3.67816091954023,True,True
129,7,unique_delivered,608.0,604.0,0.6622516556291391,True,True
129,7,mean_delivered_delay_s,821.6631022044813,767.6681438674569,7.033632796718863,False,True
129,8,admitted,526.0,528.0,-0.3787878787878788,True,True
129,8,unique_delivered,360.0,368.0,-2.1739130434782608,True,True
129,8,mean_delivered_delay_s,655.3107610860604,646.5877431512174,1.349084950532843,True,True
130,total,admitted,12454.0,12661.0,-1.6349419477134508,True,True
130,total,unique_delivered,11758.0,11765.0,-0.05949851253718657,True,True
130,total,mean_delivered_delay_s,99.13992284565688,156.01851986033412,-36.456311126136995,False,False
130,2,admitted,601.0,513.0,17.153996101364523,False,False
130,2,unique_delivered,463.0,422.0,9.71563981042654,False,True
130,2,mean_delivered_delay_s,440.8535994229936,453.04337980637916,-2.690643087775653,True,True
130,3,admitted,8608.0,8570.0,0.44340723453908987,True,True
130,3,unique_delivered,8592.0,8551.0,0.4794760846684598,True,True
130,3,mean_delivered_delay_s,10.189931734260496,10.408345377900483,-2.0984473104028063,True,True
130,4,admitted,512.0,549.0,-6.739526411657559,False,True
130,4,unique_delivered,426.0,455.0,-6.373626373626373,False,True
130,4,mean_delivered_delay_s,277.1538768137601,260.9899231739121,6.193324800926167,False,True
130,5,admitted,1277.0,1467.0,-12.951601908657123,False,False
130,5,unique_delivered,1251.0,1433.0,-12.70062805303559,False,False
130,5,mean_delivered_delay_s,70.38961880788298,63.68024304692114,10.536039813821393,False,False
130,7,admitted,802.0,1381.0,-41.92614047791456,False,False
130,7,unique_delivered,543.0,771.0,-29.571984435797667,False,False
130,7,mean_delivered_delay_s,708.3573690971101,1563.0184064167393,-54.680164597610975,False,False
130,8,admitted,654.0,181.0,261.3259668508287,False,False
130,8,unique_delivered,483.0,133.0,263.1578947368421,False,False
130,8,mean_delivered_delay_s,586.4535957651494,1054.7400291311128,-44.39828018585152,False,False
