schema,scenario,application_profile,flow_index,source,configured_destination,destination_mode,attempts,admitted,blocked_discovery,blocked_topology,blocked_gateway_route,blocked_destination,blocked_nsdp,first_admitted_s,last_admitted_s
csr-app-admission-diagnostics-v1,blue_radio_campus-multihop,legacy-send-only-no-dscp,0,2,1,fixed,285000,547,0,0,0,0,284453,300,5988.8599999999997
csr-app-admission-diagnostics-v1,blue_radio_campus-multihop,legacy-send-only-no-dscp,1,3,1,fixed,285000,8551,0,0,0,0,276449,300,5998.8599999999997
csr-app-admission-diagnostics-v1,blue_radio_campus-multihop,legacy-send-only-no-dscp,2,4,1,fixed,285000,498,0,0,0,0,284502,300,5995.0200000000004
csr-app-admission-diagnostics-v1,blue_radio_campus-multihop,legacy-send-only-no-dscp,3,5,1,fixed,285000,1397,0,0,0,0,283603,300,5988.1400000000003
csr-app-admission-diagnostics-v1,blue_radio_campus-multihop,legacy-send-only-no-dscp,4,7,1,fixed,285000,803,0,0,0,0,284197,300,5998.2200000000003
csr-app-admission-diagnostics-v1,blue_radio_campus-multihop,legacy-send-only-no-dscp,5,8,1,fixed,285000,621,0,0,0,0,284379,300,5995.3199999999997
