Source,T7_generated,T7_delivered,T7_mean_packet_latency_seconds,T7_first_delivery_seconds,T7_delivered_300_to_320,T7_delivered_320_to_stop,T7_dropped,T7_pending,T10_generated,T10_delivered,T10_mean_packet_latency_seconds,T10_first_delivery_seconds,T10_delivered_300_to_320,T10_delivered_320_to_stop,T10_dropped,T10_pending,NS3_generated,NS3_delivered,NS3_mean_packet_latency_seconds,NS3_first_delivery_seconds,NS3_delivered_300_to_320,NS3_delivered_320_to_stop,NS3_unresolved,T10_delivery_delta_vs_NS3_percent
2,506,395,445.78536803392035,424.785811085869,0,395,68,43,551,411,487.3300714266931,408.821811086064,0,411,97,43,547,410,456.845567183561,394.807811086,0,410,137,0.24390243902439024
3,8608,8593,10.189931590953798,301.654268077372,26,8567,1,14,8489,8472,10.328367385680105,301.654268077373,26,8446,1,16,8551,8535,10.44845909750381,303.071268077,27,8508,16,-0.7381370826010545
4,566,454,253.2403837608147,339.505811086021,0,454,80,32,439,348,299.1536214308882,329.014811086064,0,348,62,29,498,419,269.68891848456803,358.017811086,0,419,79,-16.94510739856802
5,1309,1285,68.33825387614925,307.278811086051,12,1273,9,15,1669,1644,53.46351789871244,307.278811086064,12,1632,9,16,1397,1369,67.30344765283712,301.758271086,8,1361,28,20.087655222790357
7,832,617,799.4138726612474,610.828811085968,0,617,126,89,748,533,784.5565033937527,647.670811086064,0,533,127,88,803,574,777.8483145703206,717.519811086,0,574,229,-7.142857142857143
8,561,383,677.5661322225724,445.845811085831,0,383,117,61,588,417,653.1391396232308,445.988811086064,0,417,106,65,621,462,645.3700600037489,690.882811086,0,462,159,-9.74025974025974
