source,destination,matlab_generated,matlab_delivered,matlab_dropped,matlab_pending,matlab_packet_mean_latency_s,ns3_generated,ns3_delivered,ns3_packet_mean_latency_s,delivered_delta,delivered_relative_delta_pct,latency_relative_delta_pct,matlab_delivery_pct,ns3_delivery_pct
2,1,551,411,97,43,487.3300714266966,547,410,456.845567183561,1,0.24390243902439024,6.672824786518472,74.59165154264973,74.95429616087752
3,1,8489,8472,1,16,10.328367385682965,8551,8535,10.44845909750381,-63,-0.7381370826010545,-1.1493724644003778,99.79974084108846,99.8128873815928
4,1,439,348,62,29,299.1536214308915,498,419,269.68891848456803,-71,-16.94510739856802,10.925440730709713,79.27107061503416,84.13654618473896
5,1,1669,1644,9,16,53.46351789871596,1397,1369,67.30344765283712,275,20.087655222790357,-20.563478152723945,98.50209706411025,97.99570508231926
7,1,748,533,127,88,784.5565033937563,803,574,777.8483145703206,-41,-7.142857142857143,0.86240320866946,71.2566844919786,71.48194271481943
8,1,588,417,106,65,653.1391396232342,621,462,645.3700600037489,-45,-9.74025974025974,1.2038177940018047,70.91836734693878,74.39613526570048
