case,app_source,app_id
relay,4,1
relay,4,2
relay,4,3
relay,4,4
relay,4,5
relay,4,6
relay,4,7
relay,4,8
relay,4,9
relay,4,10
relay,4,11
relay,4,12
relay,4,13
relay,4,14
relay,4,15
relay,4,16
relay,4,17
relay,4,18
relay,4,19
relay,4,20
