case,node,offered,admitted,delivered,releases,blocked,pending,resend_queue,ack_queue,data_queue,nwk_waiting,nsdp4,nsdp5,draws_consumed,draws_unused
relay,1,0,0,20,0,0,0,0,0,0,0,0,0,43,213
relay,4,71,20,0,20,51,0,0,0,0,0,0,0,18,238
relay,5,0,0,0,20,0,0,0,0,0,0,0,0,22,234
