case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm,nwk_waiting,nwk_custody,nsdp4,nsdp5,dack_holds
relay,47,420000000,blocked,4,5,4,17,0,0,0,1,0,0,0,3,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,48,440000000,offer,4,5,4,17,0,0,0,1,0,0,0,2,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,49,440000000,blocked,4,5,4,17,0,0,0,1,0,0,0,2,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,50,460000000,offer,4,5,4,17,0,0,0,1,0,0,0,0,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,51,460000000,blocked,4,5,4,17,0,0,0,1,0,0,0,0,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,52,480000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,53,480000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,54,500000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,55,500000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,56,520000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,57,520000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,58,540000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,59,540000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,60,560000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,61,560000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,62,580000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,63,580000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,64,600000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,65,600000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,66,620000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,67,620000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,68,640000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,69,640000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,70,660000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,71,660000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,72,680000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,73,680000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,74,700000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,75,700000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,76,720000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,77,720000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,78,740000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,79,740000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,80,760000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,81,760000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,82,780000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,83,780000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,84,800000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,85,800000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,86,802501028,tx_start,5,4,0,0,1,1,0,3,1,1,0,1,9,1,1,0,0,1,0,128,33,0,1,1,0,0
relay,87,802501028,tx_start,5,1,4,1,1,0,0,3,1,1,0,1,9,1,1,1,0,1,0,128,33,0,1,1,0,0
relay,88,820000000,offer,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,89,820000000,blocked,4,5,4,17,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,16,0,0,15,16,16,0,0
relay,90,827462028,ingress_before,4,5,0,0,1,1,0,1,0,0,0,-1,3,7,1,1,0,1,16,128,33,15,16,16,0,0
relay,91,827462028,release,4,5,4,0,0,0,0,1,0,0,0,-1,3,7,0,0,0,1,16,0,0,15,15,15,0,0
relay,92,827462028,ingress_after,4,5,0,0,1,1,0,1,0,0,0,-1,3,7,0,0,0,0,16,128,33,15,15,15,0,0
relay,93,827462028,ingress_before,1,5,4,1,1,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,128,33,0,0,0,0,0
relay,94,827462028,deliver,1,5,4,1,0,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
relay,95,827462028,ingress_after,1,5,4,1,1,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,128,33,0,0,0,0,0
relay,96,840000000,offer,4,5,4,17,0,0,0,1,0,1,1,3,3,7,1,1,0,1,16,0,0,14,15,15,0,0
