case,node,offered,admitted,delivered,releases,blocked,pending,resend_queue,ack_queue,data_queue,nwk_waiting,nsdp4,nsdp5,draws_consumed,draws_unused
mix,1,0,0,40,0,0,0,0,0,0,0,0,0,55,201
mix,4,52,20,0,20,32,0,0,0,0,0,0,0,17,239
mix,5,65,20,0,40,45,0,0,0,0,0,0,0,24,232
