app_sequence,generated_s,outcome,delivered_s,latency_s,delivery_count,no_ack_completion_count,no_ack_nodes,no_ack_times_s
1,450,delivered,585.655212667,135.655212667,1,0,,
2,486,delivered,586.26339266699995,100.26339266699995,1,0,,
3,522,delivered,587.90673266700003,65.90673266700003,1,0,,
4,558,delivered,588.26741266700003,30.26741266700003,1,0,,
5,594,delivered,594.40801266699998,0.40801266699997996,1,0,,
