event,count
app_send,5
hop_admission,10
hop_completion,10
hop_feedback,10
link_disable,1
link_enable,1
mac_state,5931
manual_discovery,9
nwk_admission,45
nwk_delivery,5
nwk_enqueue,10
nwk_forward,10
nwk_nsdp_release,10
post_phy_eligibility_drop,139
reservation_advertise,670
reservation_holdoff,47
reservation_prepare,670
reservation_tick,11771
route_change,117
rx_accept,826
rx_drop,514
statistic_sample,1979
tx_start,670
