case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
ba,55,260000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,56,260000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,57,280000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,58,280000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,59,280000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,60,280000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,61,300000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,62,300000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,63,300000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,64,300000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,65,320000000,offer,2,1,2,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
ba,66,320000000,blocked,2,1,2,2,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,1,0,0
ba,67,320000000,offer,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ba,68,320000000,blocked,3,1,3,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ba,69,340000000,offer,2,1,2,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
ba,70,340000000,blocked,2,1,2,2,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,1,0,0
ba,71,340000000,offer,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ba,72,340000000,blocked,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ba,73,351000000,tx_start,3,1,3,1,1,0,0,3,0,1,0,7,3,7,1,1,0,1,1,128,33
ba,74,360000000,offer,2,1,2,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
ba,75,360000000,blocked,2,1,2,2,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,1,0,0
ba,76,360000000,offer,3,1,3,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
ba,77,360000000,blocked,3,1,3,2,0,0,0,3,0,0,0,7,3,7,1,1,0,1,1,0,0
ba,78,373501000,ingress_before,1,3,3,1,1,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,128,33
ba,79,373501000,ingress_after,1,3,3,1,1,0,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,128,33
ba,80,380000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,81,380000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,82,380000000,offer,3,1,3,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
ba,83,380000000,blocked,3,1,3,2,0,0,0,1,0,0,0,6,3,7,1,1,0,1,1,0,0
ba,84,400000000,offer,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ba,85,400000000,blocked,2,1,2,2,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,1,0,0
ba,86,400000000,offer,3,1,3,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
ba,87,400000000,blocked,3,1,3,2,0,0,0,1,0,0,0,5,3,7,1,1,0,1,1,0,0
ba,88,420000000,offer,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ba,89,420000000,blocked,2,1,2,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
ba,90,420000000,offer,3,1,3,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
ba,91,420000000,blocked,3,1,3,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
ba,92,429000000,tx_start,2,1,2,1,1,0,0,3,0,1,0,1,9,1,1,1,0,1,1,128,33
ba,93,440000000,offer,2,1,2,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
ba,94,440000000,blocked,2,1,2,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
ba,95,440000000,offer,3,1,3,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
ba,96,440000000,blocked,3,1,3,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
ba,97,451501000,ingress_before,1,2,2,1,1,0,0,1,1,0,1,1,-1,-1,0,0,0,0,0,128,33
ba,98,451501000,ingress_after,1,2,2,1,1,0,0,1,2,0,1,1,-1,-1,0,0,0,0,0,128,33
ba,99,460000000,offer,2,1,2,2,0,0,0,1,0,0,0,0,9,1,1,1,0,1,1,0,0
ba,100,460000000,blocked,2,1,2,2,0,0,0,1,0,0,0,0,9,1,1,1,0,1,1,0,0
ba,101,460000000,offer,3,1,3,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
ba,102,460000000,blocked,3,1,3,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
ba,103,480000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ba,104,480000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ba,105,480000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
