schema,event_index,time_s,event,node,peer,packet_type,src,dst,sequence,rate_kbps,size_bytes,success,reason,pathloss_db,rx_power_dbm,noise_dbm,snr_db,jsr_db,header_errors,payload_errors,total_errors,route_cost,next_hop,security_count,reservation_slot,reservation_counter,detail,statistic,value
csr-differential-trace-v1,244,0.089999999999999997,t22_checkpoint,7,,,,,92,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,245,0.091999999999999998,hop_completion,7,8,data,7,1,31,,,1,ack,,,,,,,,,,8,,,,hop_sequence=31;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=10;threshold_after=10;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,246,0.091999999999999998,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,247,0.091999999999999998,t22_checkpoint,7,,,,,93,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,248,0.092999999999999999,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,249,0.092999999999999999,hop_admission,7,8,data,7,1,32,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=32;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=10;neighbor_spad_before=11;neighbor_spad_after=10;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,250,0.092999999999999999,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,251,0.092999999999999999,t22_checkpoint,7,,,,,94,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,252,0.092999999999999999,t22_checkpoint,7,,,,,95,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,253,0.095000000000000001,hop_completion,7,8,data,7,1,32,,,1,ack,,,,,,,,,,8,,,,hop_sequence=32;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=10;threshold_after=10;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,254,0.095000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,255,0.095000000000000001,t22_checkpoint,7,,,,,96,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,256,0.096000000000000002,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,257,0.096000000000000002,hop_admission,7,8,data,7,1,33,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=33;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=10;neighbor_spad_before=11;neighbor_spad_after=10;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
