event,count
app_send,5
hop_admission,10
hop_completion,10
hop_feedback,10
link_disable,1
link_enable,1
mac_state,5831
manual_discovery,9
nwk_admission,32
nwk_delivery,5
nwk_enqueue,10
nwk_forward,10
nwk_nsdp_release,10
post_phy_eligibility_drop,31
reservation_advertise,630
reservation_holdoff,46
reservation_prepare,630
reservation_tick,10848
route_change,123
rx_accept,773
rx_drop,487
statistic_sample,1802
tx_start,630
