case,checkpoint,time_seconds,field,actual,expected,pass
preamble_after_wake,after_end,2.039104001,search,1,1,1
preamble_after_wake,after_end,2.039104001,received,1,1,1
preamble_after_wake,after_end,2.039104001,sync_present,0,0,1
preamble_after_wake,before_sleep,2.046903999,search,1,1,1
preamble_after_wake,after_sleep,2.046904001,idle,1,1,1
preamble_after_wake,after_sleep,2.046904001,received,1,1,1
acquisition_canceled_by_sleep,initial,0,idle,1,1,1
acquisition_canceled_by_sleep,initial,0,sync_present,0,0,1
acquisition_canceled_by_sleep,initial,0,received,0,0,1
acquisition_canceled_by_sleep,initial,0,wire_bytes,617,617,1
acquisition_canceled_by_sleep,before_wake,0.987999999,idle,1,1,1
acquisition_canceled_by_sleep,after_wake,0.988000001,search,1,1,1
acquisition_canceled_by_sleep,transmit,0.991,duration_seconds,1.0491,1.0491,1
acquisition_canceled_by_sleep,before_arrival,0.991003999,sync_present,0,0,1
acquisition_canceled_by_sleep,after_arrival,0.991004001,sync_present,1,1,1
acquisition_canceled_by_sleep,after_arrival,0.991004001,idle,0,0,1
acquisition_canceled_by_sleep,after_first_sleep,0.996900001,idle,1,1,1
acquisition_canceled_by_sleep,after_first_sleep,0.996900001,sync_present,1,1,1
acquisition_canceled_by_sleep,after_first_sleep,0.996900001,received,0,0,1
acquisition_canceled_by_sleep,before_second_wake,1.975999999,idle,1,1,1
acquisition_canceled_by_sleep,after_second_wake,1.976000001,search,1,1,1
acquisition_canceled_by_sleep,before_track,1.982629999,search,1,1,1
acquisition_canceled_by_sleep,before_track,1.982629999,received,0,0,1
acquisition_canceled_by_sleep,after_track,1.982630001,track,1,1,1
acquisition_canceled_by_sleep,before_preamble_end,1.996723999,sync_present,1,1,1
acquisition_canceled_by_sleep,before_preamble_end,1.996723999,track,1,1,1
acquisition_canceled_by_sleep,after_preamble_end,1.996724001,sync_present,0,0,1
acquisition_canceled_by_sleep,after_preamble_end,1.996724001,track,1,1,1
acquisition_canceled_by_sleep,before_end,2.040103999,track,1,1,1
acquisition_canceled_by_sleep,before_end,2.040103999,received,0,0,1
acquisition_canceled_by_sleep,delivery,2.040104,received,1,1,1
acquisition_canceled_by_sleep,delivery,2.040104,sequence,1,1,1
acquisition_canceled_by_sleep,delivery,2.040104,track,1,1,1
acquisition_canceled_by_sleep,delivery,2.040104,time_seconds,2.040104,2.040104,1
acquisition_canceled_by_sleep,delivery,2.040104,success,1,1,1
acquisition_canceled_by_sleep,delivery,2.040104,header_ber,0,0,1
acquisition_canceled_by_sleep,delivery,2.040104,payload_ber,0,0,1
acquisition_canceled_by_sleep,delivery,2.040104,header_errors,0,0,1
acquisition_canceled_by_sleep,delivery,2.040104,payload_errors,0,0,1
acquisition_canceled_by_sleep,delivery,2.040104,sync_present,0,0,1
acquisition_canceled_by_sleep,after_end,2.040104001,search,1,1,1
acquisition_canceled_by_sleep,after_end,2.040104001,received,1,1,1
acquisition_canceled_by_sleep,after_end,2.040104001,sync_present,0,0,1
acquisition_canceled_by_sleep,before_sleep,2.047903999,search,1,1,1
acquisition_canceled_by_sleep,after_sleep,2.047904001,idle,1,1,1
acquisition_canceled_by_sleep,after_sleep,2.047904001,received,1,1,1
