source,destination,ordinal,matlab_packet_id,ns3_sequence,matlab_payload_bytes,ns3_payload_bytes,matlab_dscp,ns3_dscp,matlab_generated_s,ns3_generated_s,matlab_status,ns3_status,matlab_latency_s,ns3_latency_s,latency_delta_s,delivery_equal
3,1,1,1,374,64,64,0,0,120.0,120.0,delivered,delivered,2.7288733333339934,2.9758733329999956,-0.24699999966600217,True
3,1,2,2,392,64,64,0,0,135.0,135.0,delivered,delivered,0.6984133333390048,0.7504133330000116,-0.05199999966100677,True
3,1,3,3,411,64,64,0,0,150.0,150.0,delivered,delivered,0.518413333344995,0.531413332999989,-0.012999999654994099,True
