case,node,supplied,consumed,unused
tie_early,1,64,6,58
tie_early,4,64,0,64
tie_early,5,64,6,58
tie_late,1,64,7,57
tie_late,4,64,0,64
tie_late,5,64,6,58
before,1,64,6,58
before,4,64,0,64
before,5,64,6,58
after,1,64,7,57
after,4,64,0,64
after,5,64,6,58
continuous,1,64,6,58
continuous,4,64,0,64
continuous,5,64,6,58
quantized,1,64,6,58
quantized,4,64,0,64
quantized,5,64,6,58
