candidate,reference,statistic,unit,aggregation,aligned_bucket_count,numeric_pair_count,exact_numeric_difference_count,candidate_observed_bucket_count,reference_observed_bucket_count,candidate_observed_bucket_mean,reference_observed_bucket_mean,observed_bucket_mean_difference,observed_bucket_mean_relative_difference_percent,paired_candidate_bucket_mean,paired_reference_bucket_mean,paired_bucket_mean_difference,paired_bucket_mean_relative_difference_percent,maximum_absolute_bucket_difference,both_missing_count,candidate_missing_only_count,reference_missing_only_count
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,100,100,70,100,100,9.438333333333333,9.51,-0.07166666666666721,-0.7535927094286773,9.438333333333333,9.51,-0.07166666666666721,-0.7535927094286773,1.833333333333334,0,0,0
matlab,ns3,Generator.Traffic Sent (bits/sec),bits/s,bucket_sum_per_second,100,100,70,100,100,44699.94666666666,45039.36,-339.4133333333375,-0.7535927094286808,44699.94666666666,45039.36,-339.4133333333375,-0.7535927094286808,8682.666666666672,0,0,0
matlab,ns3,Generator.Packet Size (bits),bits,bucket_sample_mean,100,75,0,75,75,4736.0,4736.0,0.0,0.0,4736.0,4736.0,0.0,0.0,0.0,25,0,0
matlab,ns3,Sink.Traffic Received (packets/sec),packets/s,bucket_sum_per_second,100,100,71,100,100,9.429166666666667,9.496666666666666,-0.067499999999999,-0.7107757107757003,9.429166666666667,9.496666666666666,-0.067499999999999,-0.7107757107757003,2.083333333333334,0,0,0
matlab,ns3,Sink.Traffic Received (packets),packets,bucket_sum,100,100,71,100,100,113.15,113.96,-0.8099999999999881,-0.7107757107757003,113.15,113.96,-0.8099999999999881,-0.7107757107757003,25.0,0,0,0
matlab,ns3,Sink.Traffic Received (bits/sec),bits/s,bucket_sum_per_second,100,100,71,100,100,44656.53333333333,44976.21333333333,-319.6800000000003,-0.7107757107757114,44656.53333333333,44976.21333333333,-319.6800000000003,-0.7107757107757114,9866.666666666664,0,0,0
matlab,ns3,Sink.Traffic Received (bits),bits,bucket_sum,100,100,71,100,100,535878.4,539714.56,-3836.1600000000326,-0.7107757107757167,535878.4,539714.56,-3836.1600000000326,-0.7107757107757167,118400.0,0,0,0
matlab,ns3,Sink.End-to-End Delay (seconds),s,bucket_sample_mean,100,75,75,75,75,0.9504424823129616,0.9472246974836864,0.00321778482927515,0.3397066015933952,0.9504424823129616,0.9472246974836864,0.00321778482927515,0.3397066015933952,0.38873104689735016,25,0,0
