schema,stage,time_s,node_id,peer_id,frame_type,hop_sequence,decision_id,packet_uid,has_ack_window,ack_bitmap,dack_bitmap,selected_rate_key_kbps,selected_rate_bps,selected_power_dbm,advertised_rx_power_dbm,peer_known,peer_s0_dbm,path_loss_db,hop_failure_count,min_rate_key_kbps,max_rate_key_kbps,min_power_dbm,max_power_dbm,link_margin_db,incoming_rate_key_kbps,incoming_rate_bps,incoming_power_dbm,actual_rate_key_kbps,actual_rate_bps,actual_power_dbm,aggregate_id,segment_index,segment_count
csr-ns3-feedback-observation-v1,ota_segment,12.727,2,1,ACK,4,8,37,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934598,3,6
csr-ns3-feedback-observation-v1,ota_segment,12.727,2,1,ACK,5,9,39,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934598,4,6
csr-ns3-feedback-observation-v1,feedback_selection,12.757844,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.757844,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.869999999999999,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901893,1,4
csr-ns3-feedback-observation-v1,ota_segment,12.869999999999999,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901893,2,4
csr-ns3-feedback-observation-v1,feedback_selection,12.894544,1,3,ACK,3,13,60,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.894544,1,3,ACK,4,14,62,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,13.013,2,1,ACK,3,4,21,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934599,1,3
csr-ns3-feedback-observation-v1,ota_segment,13.013,2,1,ACK,4,8,37,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934599,2,3
csr-ns3-feedback-observation-v1,ota_segment,13.013,2,1,ACK,5,9,39,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934599,3,3
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,2,ACK,2,3,13,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,1,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,3,ACK,2,5,23,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,2,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,2,ACK,3,6,27,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,3,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,2,ACK,4,7,29,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,4,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,5,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,6,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,3,ACK,3,13,60,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,7,11
csr-ns3-feedback-observation-v1,ota_segment,13.052,1,3,ACK,4,14,62,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967301,8,11
csr-ns3-feedback-observation-v1,feedback_selection,13.091244,2,1,ACK,6,15,70,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,13.091244,2,1,ACK,7,16,72,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,13.091244,3,1,ACK,4,17,74,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,13.091244,3,1,ACK,5,18,76,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
