app_sequence,generated_s,outcome,delivered_s,latency_s,delivery_count,no_ack_completion_count,no_ack_nodes,no_ack_times_s
1,450,undelivered_retry_exhaustion_observed,,,0,1,3,458.94800002800002
2,486,undelivered_retry_exhaustion_observed,,,0,1,3,494.85400002799997
3,522,undelivered_retry_exhaustion_observed,,,0,1,3,531.50100002800002
4,558,delivered,589.68521266699997,31.685212666999973,1,0,,
5,594,delivered,597.03401266699996,3.0340126669999563,1,0,,
