case_id,step,time_s,action,packet,peer,accepted,threshold,ack_count,outstanding,global_pending,dack_holds,resend,can_send,ack_total,dack_total,fail_total,nsdp_release_total,retry_total,tx_total,dack_expired_total
retried_third_ack,16,2.21,PROBE,,8,-1,1,1,0,0,0,0,1,4,0,0,4,1,5,0
retried_second_ack,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
retried_second_ack,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
retried_second_ack,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
retried_second_ack,4,0.1,SEND,retry,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
retried_second_ack,5,0.1,TX,retry,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
retried_second_ack,6,2.11,TX,retry,8,-1,0,1,1,1,0,1,0,1,0,0,1,1,3,0
retried_second_ack,7,2.12,FEEDBACK,,8,-1,0,0,0,0,0,0,1,2,0,0,2,1,3,0
retried_second_ack,8,2.2,SEND,after1,8,1,0,0,1,1,0,1,0,2,0,0,2,1,3,0
retried_second_ack,9,2.2,TX,after1,8,-1,0,0,1,1,0,1,0,2,0,0,2,1,4,0
retried_second_ack,10,2.202,FEEDBACK,,8,-1,0,1,0,0,0,0,1,3,0,0,3,1,4,0
retried_second_ack,11,2.21,SEND,after2,8,1,0,1,1,1,0,1,0,3,0,0,3,1,4,0
retried_second_ack,12,2.21,TX,after2,8,-1,0,1,1,1,0,1,0,3,0,0,3,1,5,0
retried_second_ack,13,2.212,FEEDBACK,,8,-1,0,2,0,0,0,0,1,4,0,0,4,1,5,0
retried_second_ack,14,2.22,PROBE,,8,-1,0,2,0,0,0,0,1,4,0,0,4,1,5,0
retried_second_ack,15,2.23,SEND,third1,8,1,0,2,1,1,0,1,0,4,0,0,4,1,5,0
retried_second_ack,16,2.23,TX,third1,8,-1,0,2,1,1,0,1,0,4,0,0,4,1,6,0
retried_second_ack,17,2.232,FEEDBACK,,8,-1,1,0,0,0,0,0,1,5,0,0,5,1,6,0
retried_second_ack,18,2.24,PROBE,,8,-1,1,0,0,0,0,0,1,5,0,0,5,1,6,0
dack_hold_20,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
dack_hold_20,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
dack_hold_20,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
dack_hold_20,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
dack_hold_20,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
dack_hold_20,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
dack_hold_20,7,0.02,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
dack_hold_20,8,0.02,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
dack_hold_20,9,0.022,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,0,3,0,3,0
dack_hold_20,10,0.03,SEND,w4,8,1,1,0,1,1,0,1,1,3,0,0,3,0,3,0
dack_hold_20,11,0.03,TX,w4,8,-1,1,0,1,1,0,1,1,3,0,0,3,0,4,0
dack_hold_20,12,0.032,FEEDBACK,,8,-1,1,1,0,0,0,0,1,4,0,0,4,0,4,0
dack_hold_20,13,0.04,SEND,w5,8,1,1,1,1,1,0,1,1,4,0,0,4,0,4,0
dack_hold_20,14,0.04,TX,w5,8,-1,1,1,1,1,0,1,1,4,0,0,4,0,5,0
dack_hold_20,15,0.042,FEEDBACK,,8,-1,1,2,0,0,0,0,1,5,0,0,5,0,5,0
dack_hold_20,16,0.2,SEND,held,8,1,1,2,1,1,0,1,1,5,0,0,5,0,5,0
dack_hold_20,17,0.2,TX,held,8,-1,1,2,1,1,0,1,1,5,0,0,5,0,6,0
dack_hold_20,18,0.21,FEEDBACK,,8,-1,1,0,1,1,1,0,1,5,1,0,6,0,6,0
dack_hold_20,19,0.22,SEND,other,8,1,1,0,2,2,1,1,0,5,1,0,6,0,6,0
dack_hold_20,20,0.22,TX,other,8,-1,1,0,2,2,1,1,0,5,1,0,6,0,7,0
dack_hold_20,21,0.221,SEND,blocked,8,0,1,0,2,2,1,1,0,5,1,0,6,0,7,0
dack_hold_20,22,0.23,FEEDBACK,,8,-1,1,1,1,1,1,0,1,6,1,0,7,0,7,0
dack_hold_20,23,20.209,PROBE,,8,-1,1,1,1,1,1,0,1,6,1,0,7,0,7,0
dack_hold_20,24,20.211,PROBE,,8,-1,1,1,0,0,0,0,1,6,1,0,7,0,7,1
dack_hold_40,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
dack_hold_40,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
dack_hold_40,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
dack_hold_40,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
dack_hold_40,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
dack_hold_40,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
dack_hold_40,7,0.1,SEND,held,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
dack_hold_40,8,0.1,TX,held,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
dack_hold_40,9,2.11,TX,held,8,-1,0,2,1,1,0,1,0,2,0,0,2,1,4,0
dack_hold_40,10,4.12,TX,held,8,-1,0,2,1,1,0,1,0,2,0,0,2,2,5,0
dack_hold_40,11,4.13,FEEDBACK,,8,-1,0,0,1,1,1,0,0,2,1,0,3,2,5,0
dack_hold_40,12,24.131,PROBE,,8,-1,0,0,1,1,1,0,0,2,1,0,3,2,5,0
dack_hold_40,13,44.129,PROBE,,8,-1,0,0,1,1,1,0,0,2,1,0,3,2,5,0
dack_hold_40,14,44.131,PROBE,,8,-1,0,0,0,0,0,0,1,2,1,0,3,2,5,1
final_failure_floor,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
final_failure_floor,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
final_failure_floor,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
final_failure_floor,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
final_failure_floor,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
final_failure_floor,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
final_failure_floor,7,0.02,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
final_failure_floor,8,0.02,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
final_failure_floor,9,0.022,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,0,3,0,3,0
final_failure_floor,10,0.1,SEND,fail1,8,1,1,0,1,1,0,1,1,3,0,0,3,0,3,0
final_failure_floor,11,0.1,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,0,3,0,4,0
final_failure_floor,12,2.11,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,0,3,1,5,0
final_failure_floor,13,4.12,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,0,3,2,6,0
final_failure_floor,14,8.119,PROBE,,8,-1,1,0,1,1,0,1,1,3,0,0,3,2,6,0
final_failure_floor,15,8.121,PROBE,,8,-1,0,0,0,0,0,0,1,3,0,1,4,2,6,0
final_failure_floor,16,9,SEND,fail2,8,1,0,0,1,1,0,1,0,3,0,1,4,2,6,0
final_failure_floor,17,9,TX,fail2,8,-1,0,0,1,1,0,1,0,3,0,1,4,2,7,0
final_failure_floor,18,11.01,TX,fail2,8,-1,0,0,1,1,0,1,0,3,0,1,4,3,8,0
final_failure_floor,19,13.02,TX,fail2,8,-1,0,0,1,1,0,1,0,3,0,1,4,4,9,0
final_failure_floor,20,17.021,PROBE,,8,-1,0,0,0,0,0,0,1,3,0,2,5,4,9,0
final_failure_floor,21,17.1,SEND,next,8,1,0,0,1,1,0,1,0,3,0,2,5,4,9,0
ceiling_global_capacity,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
ceiling_global_capacity,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
ceiling_global_capacity,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
ceiling_global_capacity,4,0.003,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
ceiling_global_capacity,5,0.003,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
ceiling_global_capacity,6,0.005,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
ceiling_global_capacity,7,0.006,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
ceiling_global_capacity,8,0.006,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
ceiling_global_capacity,9,0.008,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,0,3,0,3,0
ceiling_global_capacity,10,0.009,SEND,w4,8,1,1,0,1,1,0,1,1,3,0,0,3,0,3,0
ceiling_global_capacity,11,0.009,TX,w4,8,-1,1,0,1,1,0,1,1,3,0,0,3,0,4,0
ceiling_global_capacity,12,0.011,FEEDBACK,,8,-1,1,1,0,0,0,0,1,4,0,0,4,0,4,0
ceiling_global_capacity,13,0.012,SEND,w5,8,1,1,1,1,1,0,1,1,4,0,0,4,0,4,0
ceiling_global_capacity,14,0.012,TX,w5,8,-1,1,1,1,1,0,1,1,4,0,0,4,0,5,0
ceiling_global_capacity,15,0.014,FEEDBACK,,8,-1,1,2,0,0,0,0,1,5,0,0,5,0,5,0
ceiling_global_capacity,16,0.015,SEND,w6,8,1,1,2,1,1,0,1,1,5,0,0,5,0,5,0
ceiling_global_capacity,17,0.015,TX,w6,8,-1,1,2,1,1,0,1,1,5,0,0,5,0,6,0
ceiling_global_capacity,18,0.017,FEEDBACK,,8,-1,2,0,0,0,0,0,1,6,0,0,6,0,6,0
ceiling_global_capacity,19,0.018,SEND,w7,8,1,2,0,1,1,0,1,1,6,0,0,6,0,6,0
ceiling_global_capacity,20,0.018,TX,w7,8,-1,2,0,1,1,0,1,1,6,0,0,6,0,7,0
ceiling_global_capacity,21,0.02,FEEDBACK,,8,-1,2,1,0,0,0,0,1,7,0,0,7,0,7,0
ceiling_global_capacity,22,0.021,SEND,w8,8,1,2,1,1,1,0,1,1,7,0,0,7,0,7,0
ceiling_global_capacity,23,0.021,TX,w8,8,-1,2,1,1,1,0,1,1,7,0,0,7,0,8,0
ceiling_global_capacity,24,0.023,FEEDBACK,,8,-1,2,2,0,0,0,0,1,8,0,0,8,0,8,0
ceiling_global_capacity,25,0.024,SEND,w9,8,1,2,2,1,1,0,1,1,8,0,0,8,0,8,0
ceiling_global_capacity,26,0.024,TX,w9,8,-1,2,2,1,1,0,1,1,8,0,0,8,0,9,0
ceiling_global_capacity,27,0.026,FEEDBACK,,8,-1,3,0,0,0,0,0,1,9,0,0,9,0,9,0
