app_sequence,generated_s,outcome,delivered_s,latency_s,delivery_count,no_ack_completion_count,no_ack_nodes,no_ack_times_s
1,450,undelivered_retry_exhaustion_observed,,,0,1,3,459.05200002800001
2,486,undelivered_retry_exhaustion_observed,,,0,1,3,494.932000028
3,522,undelivered_retry_exhaustion_observed,,,0,1,3,531.098000028
4,558,delivered,560.84187266699996,2.8418726669999614,1,0,,
5,594,delivered,595.06261266700005,1.062612667000053,1,0,,
