schema,scenario,application_profile,flow_index,source,configured_destination,destination_mode,attempts,admitted,blocked_discovery,blocked_topology,blocked_gateway_route,blocked_destination,blocked_nsdp,first_admitted_s,last_admitted_s
csr-app-admission-diagnostics-v1,tranche8-three-node-contention-s130,legacy-send-only-no-dscp,0,2,1,fixed,30000,473,0,0,0,0,29527,300,359.91399999999999
csr-app-admission-diagnostics-v1,tranche8-three-node-contention-s130,legacy-send-only-no-dscp,1,3,1,fixed,30000,475,0,0,0,0,29525,300,359.91399999999999
