schema,scenario,application_profile,flow_index,source,configured_destination,destination_mode,attempts,admitted,blocked_discovery,blocked_topology,blocked_gateway_route,blocked_destination,blocked_nsdp,first_admitted_s,last_admitted_s
csr-app-admission-diagnostics-v1,csr_t18_m129,legacy-send-only-no-dscp,0,4,1,fixed,15000,214,0,0,0,0,14786,300,599.96000000000004
csr-app-admission-diagnostics-v1,csr_t18_m129,legacy-send-only-no-dscp,1,5,1,fixed,15000,174,0,0,0,0,14826,300,591.48000000000002
