case,node,ordinal,time_ns,min,max,draw,resolved,purpose
local,1,38,2128501028,0,31,1,1,advertise
local,1,39,2167501028,0,31,1,1,advertise
local,1,40,2206501028,0,31,1,1,advertise
local,5,16,2210000028,0,31,1,1,advertise
local,1,41,2245501028,0,31,1,1,prepare
local,1,42,2271501028,0,31,1,1,advertise
local,5,17,2301000028,0,31,9,9,prepare
local,1,43,2310501028,0,31,1,1,advertise
local,1,44,2349501028,0,31,1,1,advertise
local,1,45,2388501028,0,31,1,1,advertise
local,1,46,2427501028,0,31,1,1,advertise
local,5,18,2431000028,0,31,1,1,advertise
local,1,47,2466501028,0,31,1,1,advertise
local,1,48,2505501028,0,31,1,1,advertise
local,1,49,2544501028,0,31,1,1,advertise
local,1,50,2583501028,0,31,1,1,advertise
local,1,51,2622501028,0,31,1,1,advertise
mix,4,1,13000028,0,31,3,3,prepare
mix,5,1,13000028,0,31,9,9,prepare
mix,4,2,351000028,0,31,7,7,advertise
mix,5,2,429000028,0,31,1,1,advertise
mix,1,1,466961028,0,31,1,1,prepare
mix,4,3,468000028,0,31,3,3,advertise
mix,5,3,468000028,0,31,9,9,advertise
mix,5,4,611000028,0,31,1,1,advertise
mix,4,4,637000028,0,31,7,7,prepare
mix,5,5,650000028,0,31,9,9,advertise
mix,4,5,741000028,0,31,3,4,advertise
mix,1,2,778961028,0,31,1,1,advertise
mix,5,6,793000028,0,31,1,2,advertise
mix,1,3,817961028,0,31,1,1,advertise
mix,4,6,819000028,0,31,7,7,prepare
mix,5,7,845000028,0,31,9,9,advertise
mix,1,4,856961028,0,31,1,1,advertise
mix,1,5,895961028,0,31,1,1,advertise
mix,4,7,923000028,0,31,3,3,advertise
mix,1,6,934961028,0,31,1,1,advertise
mix,1,7,973961028,0,31,1,1,advertise
mix,5,8,988000028,0,31,1,1,advertise
mix,1,8,1012961028,0,31,1,1,advertise
mix,4,8,1014000028,0,31,7,7,prepare
mix,5,9,1027000028,0,31,9,9,advertise
mix,1,9,1051961028,0,31,1,1,advertise
mix,1,10,1090961028,0,31,1,1,advertise
mix,4,9,1118000028,0,31,3,4,advertise
mix,1,11,1129961028,0,31,1,1,advertise
mix,1,12,1168961028,0,31,1,1,advertise
mix,5,10,1170000028,0,31,1,2,advertise
mix,1,13,1207961028,0,31,1,2,prepare
mix,4,10,1209000028,0,31,7,7,prepare
mix,5,11,1235000028,0,31,9,9,advertise
mix,1,14,1246961028,0,31,1,1,advertise
mix,1,15,1285961028,0,31,1,1,advertise
mix,4,11,1313000028,0,31,3,3,advertise
mix,1,16,1324961028,0,31,1,1,advertise
mix,1,17,1363961028,0,31,1,1,advertise
mix,5,12,1378000028,0,31,1,1,advertise
mix,1,18,1402961028,0,31,1,1,advertise
mix,4,12,1417000028,0,31,7,7,prepare
mix,5,13,1430000028,0,31,9,9,advertise
mix,1,19,1441961028,0,31,1,1,advertise
mix,1,20,1480961028,0,31,1,1,advertise
mix,1,21,1519961028,0,31,1,1,advertise
mix,4,13,1521000028,0,31,3,4,advertise
mix,1,22,1558961028,0,31,1,1,advertise
mix,5,14,1573000028,0,31,1,1,advertise
mix,1,23,1597961028,0,31,1,1,advertise
