Experiment,Parameter,Value,Metric,SeedCount,FiniteCount,MissingCount,Mean,SampleStd,Min,Max
offered_load,LoadMultiplier,4.0,NwkPendingControlMessages,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,4.0,HopPendingData,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,4.0,NwkPendingCustody,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,4.0,ResendQueueDepth,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,4.0,DackHoldCount,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,4.0,PhysicalPending,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,4.0,DataDrained,3,3,0,1,0.0,1,1
offered_load,LoadMultiplier,4.0,ControlsDrained,3,3,0,1,0.0,1,1
offered_load,LoadMultiplier,4.0,OwnershipDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,60.0,DeliveryRatio,3,3,0,1.0,0.0,1.0,1.0
recovery_freshness,FreshnessTimeoutSeconds,60.0,LatencyP95Seconds,3,3,0,135.333252666691,0.9829273934554608,134.199212666688,135.940412666693
recovery_freshness,FreshnessTimeoutSeconds,60.0,MaxLatencySeconds,3,3,0,135.333252666691,0.9829273934554608,134.199212666688,135.940412666693
recovery_freshness,FreshnessTimeoutSeconds,60.0,Generated,3,3,0,5,0.0,5,5
recovery_freshness,FreshnessTimeoutSeconds,60.0,Received,3,3,0,5,0.0,5,5
recovery_freshness,FreshnessTimeoutSeconds,60.0,Dropped,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,Pending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,PhysicalTransmissions,3,3,0,710.3333333333334,27.061657993059725,687,740
recovery_freshness,FreshnessTimeoutSeconds,60.0,HopDataRetransmissions,3,3,0,3.3333333333333335,1.5275252316519468,2,5
recovery_freshness,FreshnessTimeoutSeconds,60.0,HopControlRetransmissions,3,3,0,42.333333333333336,12.42309676905615,28,50
recovery_freshness,FreshnessTimeoutSeconds,60.0,ControlFailures,3,3,0,0.3333333333333333,0.5773502691896257,0,1
recovery_freshness,FreshnessTimeoutSeconds,60.0,HopControlFailures,3,3,0,1.6666666666666667,2.8867513459481287,0,5
recovery_freshness,FreshnessTimeoutSeconds,60.0,NeighborDeactivations,3,3,0,26,2.6457513110645907,24,29
recovery_freshness,FreshnessTimeoutSeconds,60.0,RouteChanges,3,3,0,107.66666666666667,8.962886439832502,102,118
recovery_freshness,FreshnessTimeoutSeconds,60.0,ControlPending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,ControlPendingTargets,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,NwkPendingControlMessages,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,HopPendingData,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,NwkPendingCustody,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,ResendQueueDepth,3,3,0,0,0.0,0,0
