case_id,step,time_s,action,packet,accepted,nsdp_relay,nsdp_local,nwk_waiting,nwk_owned,hop_pending,hop_outstanding,hop_resend,hop_holds,rx_highest,rx_ack_hex,rx_dack_hex,ack_generated,dack_generated,rx_received,rx_delivered,rx_duplicates,nsdp_releases,ack_completed,dack_completed,dack_expired,data_tx
local_relay_independence,22,0.31000100000000003,RX,r05,-1,5,16,20,21,1,1,1,0,5,000000000000001F,0000000000000000,5,0,5,5,0,0,0,0,0,0
local_relay_independence,23,0.32000099999999998,RX,r06,-1,6,16,21,22,1,1,1,0,6,000000000000003F,0000000000000000,6,0,6,6,0,0,0,0,0,0
local_relay_independence,24,0.33000099999999999,RX,r07,-1,7,16,22,23,1,1,1,0,7,000000000000007F,0000000000000000,7,0,7,7,0,0,0,0,0,0
local_relay_independence,25,0.340001,RX,r08,-1,8,16,23,24,1,1,1,0,8,00000000000000FF,0000000000000000,8,0,8,8,0,0,0,0,0,0
local_relay_independence,26,0.35000100000000001,RX,r09,-1,9,16,24,25,1,1,1,0,9,00000000000001FF,0000000000000000,9,0,9,9,0,0,0,0,0,0
local_relay_independence,27,0.36000100000000002,RX,r10,-1,10,16,25,26,1,1,1,0,10,00000000000003FF,0000000000000000,10,0,10,10,0,0,0,0,0,0
local_relay_independence,28,0.37000100000000002,RX,r11,-1,11,16,26,27,1,1,1,0,11,00000000000007FF,0000000000000000,11,0,11,11,0,0,0,0,0,0
local_relay_independence,29,0.38000099999999998,RX,r12,-1,12,16,27,28,1,1,1,0,12,0000000000000FFF,0000000000000000,12,0,12,12,0,0,0,0,0,0
local_relay_independence,30,0.39000099999999999,RX,r13,-1,13,16,28,29,1,1,1,0,13,0000000000001FFF,0000000000000000,13,0,13,13,0,0,0,0,0,0
local_relay_independence,31,0.400001,RX,r14,-1,14,16,29,30,1,1,1,0,14,0000000000003FFF,0000000000000000,14,0,14,14,0,0,0,0,0,0
local_relay_independence,32,0.410001,RX,r15,-1,15,16,30,31,1,1,1,0,15,0000000000007FFF,0000000000000000,15,0,15,15,0,0,0,0,0,0
local_relay_independence,33,0.42000100000000001,RX,r16,-1,16,16,31,32,1,1,1,0,16,000000000000FFFF,0000000000000000,16,0,16,16,0,0,0,0,0,0
local_relay_independence,34,0.43000100000000002,RX,r17,-1,17,16,32,33,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,0,0,0,0,0
ack_duplicate,1,0.10000100000000001,RX,r01,-1,1,0,0,1,1,1,1,0,1,0000000000000001,0000000000000000,1,0,1,1,0,0,0,0,0,0
ack_duplicate,2,0.110001,RX,r01,-1,1,0,0,1,1,1,1,0,1,0000000000000001,0000000000000000,2,0,2,1,1,0,0,0,0,0
dack_duplicate_pressure,1,0.10000100000000001,RX,r01,-1,1,0,0,1,1,1,1,0,1,0000000000000001,0000000000000000,1,0,1,1,0,0,0,0,0,0
dack_duplicate_pressure,2,0.110001,RX,r02,-1,2,0,1,2,1,1,1,0,2,0000000000000003,0000000000000000,2,0,2,2,0,0,0,0,0,0
dack_duplicate_pressure,3,0.120001,RX,r03,-1,3,0,2,3,1,1,1,0,3,0000000000000007,0000000000000000,3,0,3,3,0,0,0,0,0,0
dack_duplicate_pressure,4,0.13000100000000001,RX,r04,-1,4,0,3,4,1,1,1,0,4,000000000000000F,0000000000000000,4,0,4,4,0,0,0,0,0,0
dack_duplicate_pressure,5,0.14000099999999999,RX,r05,-1,5,0,4,5,1,1,1,0,5,000000000000001F,0000000000000000,5,0,5,5,0,0,0,0,0,0
dack_duplicate_pressure,6,0.150001,RX,r06,-1,6,0,5,6,1,1,1,0,6,000000000000003F,0000000000000000,6,0,6,6,0,0,0,0,0,0
dack_duplicate_pressure,7,0.160001,RX,r07,-1,7,0,6,7,1,1,1,0,7,000000000000007F,0000000000000000,7,0,7,7,0,0,0,0,0,0
dack_duplicate_pressure,8,0.17000100000000001,RX,r08,-1,8,0,7,8,1,1,1,0,8,00000000000000FF,0000000000000000,8,0,8,8,0,0,0,0,0,0
dack_duplicate_pressure,9,0.18000099999999999,RX,r09,-1,9,0,8,9,1,1,1,0,9,00000000000001FF,0000000000000000,9,0,9,9,0,0,0,0,0,0
dack_duplicate_pressure,10,0.190001,RX,r10,-1,10,0,9,10,1,1,1,0,10,00000000000003FF,0000000000000000,10,0,10,10,0,0,0,0,0,0
dack_duplicate_pressure,11,0.20000100000000001,RX,r11,-1,11,0,10,11,1,1,1,0,11,00000000000007FF,0000000000000000,11,0,11,11,0,0,0,0,0,0
dack_duplicate_pressure,12,0.21000099999999999,RX,r12,-1,12,0,11,12,1,1,1,0,12,0000000000000FFF,0000000000000000,12,0,12,12,0,0,0,0,0,0
dack_duplicate_pressure,13,0.220001,RX,r13,-1,13,0,12,13,1,1,1,0,13,0000000000001FFF,0000000000000000,13,0,13,13,0,0,0,0,0,0
dack_duplicate_pressure,14,0.23000100000000001,RX,r14,-1,14,0,13,14,1,1,1,0,14,0000000000003FFF,0000000000000000,14,0,14,14,0,0,0,0,0,0
dack_duplicate_pressure,15,0.24000099999999999,RX,r15,-1,15,0,14,15,1,1,1,0,15,0000000000007FFF,0000000000000000,15,0,15,15,0,0,0,0,0,0
dack_duplicate_pressure,16,0.25000099999999997,RX,r16,-1,16,0,15,16,1,1,1,0,16,000000000000FFFF,0000000000000000,16,0,16,16,0,0,0,0,0,0
dack_duplicate_pressure,17,0.26000099999999998,RX,r17,-1,17,0,16,17,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,0,0,0,0,0
dack_duplicate_pressure,18,0.27000099999999999,RX,r17,-1,18,0,17,18,1,1,1,0,17,000000000001FFFE,0000000000000001,16,2,18,18,0,0,0,0,0,0
dack_reassessment_after_release,1,0.10000100000000001,RX,r01,-1,1,0,0,1,1,1,1,0,1,0000000000000001,0000000000000000,1,0,1,1,0,0,0,0,0,0
dack_reassessment_after_release,2,0.110001,RX,r02,-1,2,0,1,2,1,1,1,0,2,0000000000000003,0000000000000000,2,0,2,2,0,0,0,0,0,0
dack_reassessment_after_release,3,0.120001,RX,r03,-1,3,0,2,3,1,1,1,0,3,0000000000000007,0000000000000000,3,0,3,3,0,0,0,0,0,0
dack_reassessment_after_release,4,0.13000100000000001,RX,r04,-1,4,0,3,4,1,1,1,0,4,000000000000000F,0000000000000000,4,0,4,4,0,0,0,0,0,0
dack_reassessment_after_release,5,0.14000099999999999,RX,r05,-1,5,0,4,5,1,1,1,0,5,000000000000001F,0000000000000000,5,0,5,5,0,0,0,0,0,0
dack_reassessment_after_release,6,0.150001,RX,r06,-1,6,0,5,6,1,1,1,0,6,000000000000003F,0000000000000000,6,0,6,6,0,0,0,0,0,0
dack_reassessment_after_release,7,0.160001,RX,r07,-1,7,0,6,7,1,1,1,0,7,000000000000007F,0000000000000000,7,0,7,7,0,0,0,0,0,0
dack_reassessment_after_release,8,0.17000100000000001,RX,r08,-1,8,0,7,8,1,1,1,0,8,00000000000000FF,0000000000000000,8,0,8,8,0,0,0,0,0,0
dack_reassessment_after_release,9,0.18000099999999999,RX,r09,-1,9,0,8,9,1,1,1,0,9,00000000000001FF,0000000000000000,9,0,9,9,0,0,0,0,0,0
dack_reassessment_after_release,10,0.190001,RX,r10,-1,10,0,9,10,1,1,1,0,10,00000000000003FF,0000000000000000,10,0,10,10,0,0,0,0,0,0
dack_reassessment_after_release,11,0.20000100000000001,RX,r11,-1,11,0,10,11,1,1,1,0,11,00000000000007FF,0000000000000000,11,0,11,11,0,0,0,0,0,0
dack_reassessment_after_release,12,0.21000099999999999,RX,r12,-1,12,0,11,12,1,1,1,0,12,0000000000000FFF,0000000000000000,12,0,12,12,0,0,0,0,0,0
dack_reassessment_after_release,13,0.220001,RX,r13,-1,13,0,12,13,1,1,1,0,13,0000000000001FFF,0000000000000000,13,0,13,13,0,0,0,0,0,0
dack_reassessment_after_release,14,0.23000100000000001,RX,r14,-1,14,0,13,14,1,1,1,0,14,0000000000003FFF,0000000000000000,14,0,14,14,0,0,0,0,0,0
dack_reassessment_after_release,15,0.24000099999999999,RX,r15,-1,15,0,14,15,1,1,1,0,15,0000000000007FFF,0000000000000000,15,0,15,15,0,0,0,0,0,0
dack_reassessment_after_release,16,0.25000099999999997,RX,r16,-1,16,0,15,16,1,1,1,0,16,000000000000FFFF,0000000000000000,16,0,16,16,0,0,0,0,0,0
dack_reassessment_after_release,17,0.26000099999999998,RX,r17,-1,17,0,16,17,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,0,0,0,0,0
dack_reassessment_after_release,18,0.27000099999999999,TX,,-1,17,0,16,17,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,0,0,0,0,1
dack_reassessment_after_release,19,0.280001,FEEDBACK,,-1,16,0,15,16,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,1,1,0,0,1
dack_reassessment_after_release,20,0.29000100000000001,TX,,-1,16,0,15,16,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,1,1,0,0,2
dack_reassessment_after_release,21,0.30000100000000002,FEEDBACK,,-1,15,0,14,15,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,2,2,0,0,2
dack_reassessment_after_release,22,0.31000100000000003,TX,,-1,15,0,14,15,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,2,2,0,0,3
dack_reassessment_after_release,23,0.32000099999999998,FEEDBACK,,-1,14,0,12,14,2,2,2,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,3,3,0,0,3
dack_reassessment_after_release,24,0.33000099999999999,RX,r17,-1,15,0,13,15,2,2,2,0,17,000000000001FFFF,0000000000000001,17,1,18,18,0,3,3,0,0,3
