case_id,step,time_s,action,packet,peer,accepted,threshold,ack_count,outstanding,global_pending,dack_holds,resend,can_send,ack_total,dack_total,fail_total,nsdp_release_total,retry_total,tx_total,dack_expired_total
dack_hold_40,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
dack_hold_40,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
dack_hold_40,7,0.10000000000000001,SEND,held,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
dack_hold_40,8,0.10000000000000001,TX,held,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
dack_hold_40,9,2.1099999999999999,TX,held,8,-1,0,2,1,1,0,1,0,2,0,0,2,1,4,0
dack_hold_40,10,4.1200000000000001,TX,held,8,-1,0,2,1,1,0,1,0,2,0,0,2,2,5,0
dack_hold_40,11,4.1299999999999999,FEEDBACK,,8,-1,0,0,1,1,1,0,0,2,1,0,3,2,5,0
dack_hold_40,12,24.131,PROBE,,8,-1,0,0,1,1,1,0,0,2,1,0,3,2,5,0
dack_hold_40,13,44.128999999999998,PROBE,,8,-1,0,0,1,1,1,0,0,2,1,0,3,2,5,0
dack_hold_40,14,44.131,PROBE,,8,-1,0,0,0,0,0,0,1,2,1,0,3,2,5,1
final_failure_floor,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
final_failure_floor,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
final_failure_floor,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
final_failure_floor,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
final_failure_floor,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
final_failure_floor,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
final_failure_floor,7,0.02,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
final_failure_floor,8,0.02,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
final_failure_floor,9,0.021999999999999999,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,0,3,0,3,0
final_failure_floor,10,0.10000000000000001,SEND,fail1,8,1,1,0,1,1,0,1,1,3,0,0,3,0,3,0
final_failure_floor,11,0.10000000000000001,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,0,3,0,4,0
final_failure_floor,12,2.1099999999999999,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,0,3,1,5,0
final_failure_floor,13,4.1200000000000001,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,0,3,2,6,0
final_failure_floor,14,8.1189999999999998,PROBE,,8,-1,1,0,1,1,0,1,1,3,0,0,3,2,6,0
final_failure_floor,15,8.1210000000000004,PROBE,,8,-1,0,0,0,0,0,0,1,3,0,1,4,2,6,0
final_failure_floor,16,9,SEND,fail2,8,1,0,0,1,1,0,1,0,3,0,1,4,2,6,0
final_failure_floor,17,9,TX,fail2,8,-1,0,0,1,1,0,1,0,3,0,1,4,2,7,0
final_failure_floor,18,11.01,TX,fail2,8,-1,0,0,1,1,0,1,0,3,0,1,4,3,8,0
final_failure_floor,19,13.02,TX,fail2,8,-1,0,0,1,1,0,1,0,3,0,1,4,4,9,0
final_failure_floor,20,17.021000000000001,PROBE,,8,-1,0,0,0,0,0,0,1,3,0,2,5,4,9,0
final_failure_floor,21,17.100000000000001,SEND,next,8,1,0,0,1,1,0,1,0,3,0,2,5,4,9,0
ceiling_global_capacity,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
ceiling_global_capacity,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
ceiling_global_capacity,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
ceiling_global_capacity,4,0.0030000000000000001,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
ceiling_global_capacity,5,0.0030000000000000001,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
ceiling_global_capacity,6,0.0050000000000000001,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
ceiling_global_capacity,7,0.0060000000000000001,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
ceiling_global_capacity,8,0.0060000000000000001,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
ceiling_global_capacity,9,0.0080000000000000002,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,0,3,0,3,0
ceiling_global_capacity,10,0.0089999999999999993,SEND,w4,8,1,1,0,1,1,0,1,1,3,0,0,3,0,3,0
ceiling_global_capacity,11,0.0089999999999999993,TX,w4,8,-1,1,0,1,1,0,1,1,3,0,0,3,0,4,0
ceiling_global_capacity,12,0.010999999999999999,FEEDBACK,,8,-1,1,1,0,0,0,0,1,4,0,0,4,0,4,0
ceiling_global_capacity,13,0.012,SEND,w5,8,1,1,1,1,1,0,1,1,4,0,0,4,0,4,0
ceiling_global_capacity,14,0.012,TX,w5,8,-1,1,1,1,1,0,1,1,4,0,0,4,0,5,0
ceiling_global_capacity,15,0.014,FEEDBACK,,8,-1,1,2,0,0,0,0,1,5,0,0,5,0,5,0
ceiling_global_capacity,16,0.014999999999999999,SEND,w6,8,1,1,2,1,1,0,1,1,5,0,0,5,0,5,0
ceiling_global_capacity,17,0.014999999999999999,TX,w6,8,-1,1,2,1,1,0,1,1,5,0,0,5,0,6,0
ceiling_global_capacity,18,0.017000000000000001,FEEDBACK,,8,-1,2,0,0,0,0,0,1,6,0,0,6,0,6,0
ceiling_global_capacity,19,0.017999999999999999,SEND,w7,8,1,2,0,1,1,0,1,1,6,0,0,6,0,6,0
ceiling_global_capacity,20,0.017999999999999999,TX,w7,8,-1,2,0,1,1,0,1,1,6,0,0,6,0,7,0
ceiling_global_capacity,21,0.02,FEEDBACK,,8,-1,2,1,0,0,0,0,1,7,0,0,7,0,7,0
ceiling_global_capacity,22,0.021000000000000001,SEND,w8,8,1,2,1,1,1,0,1,1,7,0,0,7,0,7,0
ceiling_global_capacity,23,0.021000000000000001,TX,w8,8,-1,2,1,1,1,0,1,1,7,0,0,7,0,8,0
ceiling_global_capacity,24,0.023,FEEDBACK,,8,-1,2,2,0,0,0,0,1,8,0,0,8,0,8,0
ceiling_global_capacity,25,0.024,SEND,w9,8,1,2,2,1,1,0,1,1,8,0,0,8,0,8,0
ceiling_global_capacity,26,0.024,TX,w9,8,-1,2,2,1,1,0,1,1,8,0,0,8,0,9,0
ceiling_global_capacity,27,0.025999999999999999,FEEDBACK,,8,-1,3,0,0,0,0,0,1,9,0,0,9,0,9,0
ceiling_global_capacity,28,0.027,SEND,w10,8,1,3,0,1,1,0,1,1,9,0,0,9,0,9,0
ceiling_global_capacity,29,0.027,TX,w10,8,-1,3,0,1,1,0,1,1,9,0,0,9,0,10,0
ceiling_global_capacity,30,0.029000000000000001,FEEDBACK,,8,-1,3,1,0,0,0,0,1,10,0,0,10,0,10,0
ceiling_global_capacity,31,0.029999999999999999,SEND,w11,8,1,3,1,1,1,0,1,1,10,0,0,10,0,10,0
ceiling_global_capacity,32,0.029999999999999999,TX,w11,8,-1,3,1,1,1,0,1,1,10,0,0,10,0,11,0
ceiling_global_capacity,33,0.032000000000000001,FEEDBACK,,8,-1,3,2,0,0,0,0,1,11,0,0,11,0,11,0
ceiling_global_capacity,34,0.033000000000000002,SEND,w12,8,1,3,2,1,1,0,1,1,11,0,0,11,0,11,0
ceiling_global_capacity,35,0.033000000000000002,TX,w12,8,-1,3,2,1,1,0,1,1,11,0,0,11,0,12,0
ceiling_global_capacity,36,0.035000000000000003,FEEDBACK,,8,-1,4,0,0,0,0,0,1,12,0,0,12,0,12,0
ceiling_global_capacity,37,0.035999999999999997,SEND,w13,8,1,4,0,1,1,0,1,1,12,0,0,12,0,12,0
ceiling_global_capacity,38,0.035999999999999997,TX,w13,8,-1,4,0,1,1,0,1,1,12,0,0,12,0,13,0
ceiling_global_capacity,39,0.037999999999999999,FEEDBACK,,8,-1,4,1,0,0,0,0,1,13,0,0,13,0,13,0
ceiling_global_capacity,40,0.039,SEND,w14,8,1,4,1,1,1,0,1,1,13,0,0,13,0,13,0
ceiling_global_capacity,41,0.039,TX,w14,8,-1,4,1,1,1,0,1,1,13,0,0,13,0,14,0
ceiling_global_capacity,42,0.041000000000000002,FEEDBACK,,8,-1,4,2,0,0,0,0,1,14,0,0,14,0,14,0
ceiling_global_capacity,43,0.042000000000000003,SEND,w15,8,1,4,2,1,1,0,1,1,14,0,0,14,0,14,0
ceiling_global_capacity,44,0.042000000000000003,TX,w15,8,-1,4,2,1,1,0,1,1,14,0,0,14,0,15,0
ceiling_global_capacity,45,0.043999999999999997,FEEDBACK,,8,-1,5,0,0,0,0,0,1,15,0,0,15,0,15,0
ceiling_global_capacity,46,0.044999999999999998,SEND,w16,8,1,5,0,1,1,0,1,1,15,0,0,15,0,15,0
ceiling_global_capacity,47,0.044999999999999998,TX,w16,8,-1,5,0,1,1,0,1,1,15,0,0,15,0,16,0
ceiling_global_capacity,48,0.047,FEEDBACK,,8,-1,5,1,0,0,0,0,1,16,0,0,16,0,16,0
ceiling_global_capacity,49,0.048000000000000001,SEND,w17,8,1,5,1,1,1,0,1,1,16,0,0,16,0,16,0
ceiling_global_capacity,50,0.048000000000000001,TX,w17,8,-1,5,1,1,1,0,1,1,16,0,0,16,0,17,0
ceiling_global_capacity,51,0.050000000000000003,FEEDBACK,,8,-1,5,2,0,0,0,0,1,17,0,0,17,0,17,0
ceiling_global_capacity,52,0.050999999999999997,SEND,w18,8,1,5,2,1,1,0,1,1,17,0,0,17,0,17,0
ceiling_global_capacity,53,0.050999999999999997,TX,w18,8,-1,5,2,1,1,0,1,1,17,0,0,17,0,18,0
ceiling_global_capacity,54,0.052999999999999999,FEEDBACK,,8,-1,6,0,0,0,0,0,1,18,0,0,18,0,18,0
ceiling_global_capacity,55,0.053999999999999999,SEND,w19,8,1,6,0,1,1,0,1,1,18,0,0,18,0,18,0
ceiling_global_capacity,56,0.053999999999999999,TX,w19,8,-1,6,0,1,1,0,1,1,18,0,0,18,0,19,0
ceiling_global_capacity,57,0.056000000000000001,FEEDBACK,,8,-1,6,1,0,0,0,0,1,19,0,0,19,0,19,0
ceiling_global_capacity,58,0.057000000000000002,SEND,w20,8,1,6,1,1,1,0,1,1,19,0,0,19,0,19,0
ceiling_global_capacity,59,0.057000000000000002,TX,w20,8,-1,6,1,1,1,0,1,1,19,0,0,19,0,20,0
ceiling_global_capacity,60,0.058999999999999997,FEEDBACK,,8,-1,6,2,0,0,0,0,1,20,0,0,20,0,20,0
ceiling_global_capacity,61,0.059999999999999998,SEND,w21,8,1,6,2,1,1,0,1,1,20,0,0,20,0,20,0
ceiling_global_capacity,62,0.059999999999999998,TX,w21,8,-1,6,2,1,1,0,1,1,20,0,0,20,0,21,0
ceiling_global_capacity,63,0.062,FEEDBACK,,8,-1,7,0,0,0,0,0,1,21,0,0,21,0,21,0
