case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm,nwk_waiting,nwk_custody,nsdp4,nsdp5,dack_holds
sw,47,220000000,offer,5,1,5,12,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,11,0,0,10,11,0,11,0
sw,48,220000000,admit,5,1,5,12,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,12,0,0,11,12,0,12,0
sw,49,240000000,offer,4,5,4,13,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,12,0,0,11,12,12,0,0
sw,50,240000000,admit,4,5,4,13,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,13,0,0,12,13,13,0,0
sw,51,240000000,offer,5,1,5,13,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,12,0,0,11,12,0,12,0
sw,52,240000000,admit,5,1,5,13,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,13,0,0,12,13,0,13,0
sw,53,260000000,offer,4,5,4,14,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,13,0,0,12,13,13,0,0
sw,54,260000000,admit,4,5,4,14,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,14,0,0,13,14,14,0,0
sw,55,260000000,offer,5,1,5,14,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,13,0,0,12,13,0,13,0
sw,56,260000000,admit,5,1,5,14,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,14,0,0,13,14,0,14,0
sw,57,280000000,offer,4,5,4,15,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,14,0,0,13,14,14,0,0
sw,58,280000000,admit,4,5,4,15,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,15,0,0,14,15,15,0,0
sw,59,280000000,offer,5,1,5,15,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,14,0,0,13,14,0,14,0
sw,60,280000000,admit,5,1,5,15,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,15,0,0,14,15,0,15,0
sw,61,300000000,offer,4,5,4,16,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,15,0,0,14,15,15,0,0
sw,62,300000000,admit,4,5,4,16,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,16,0,0,15,16,16,0,0
sw,63,300000000,offer,5,1,5,16,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,15,0,0,14,15,0,15,0
sw,64,300000000,admit,5,1,5,16,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
